survey_id,advertiser_id,campaign_id,date,campaign_accuracy_score,pop_timeliness_score,communication_score,renewal_likelihood
SAT-001,ADV-001,CMP-025,2026-03-01,7.2,5.8,8.2,73.2
SAT-002,ADV-002,CMP-040,2026-03-01,9.2,8.2,7.0,83.4
SAT-003,ADV-003,CMP-018,2026-03-01,7.9,8.9,6.6,63.0
SAT-004,ADV-004,CMP-030,2026-03-01,8.5,6.6,8.2,58.5
SAT-005,ADV-005,CMP-002,2026-03-01,7.0,9.4,6.1,93.8
SAT-006,ADV-006,CMP-019,2026-03-01,7.4,8.4,8.5,60.5
SAT-007,ADV-007,CMP-010,2026-03-01,6.5,6.4,7.5,85.4
SAT-008,ADV-008,CMP-032,2026-03-01,9.8,7.4,8.8,64.9
SAT-009,ADV-009,CMP-010,2026-03-01,6.7,8.6,6.2,71.2
SAT-010,ADV-010,CMP-013,2026-03-01,9.5,6.5,7.3,50.6
SAT-011,ADV-011,CMP-016,2026-03-01,7.8,9.4,6.9,94.8
SAT-012,ADV-012,CMP-013,2026-03-01,8.0,8.6,7.8,94.2
SAT-013,ADV-013,CMP-031,2026-03-01,7.8,9.3,9.3,57.1
SAT-014,ADV-014,CMP-003,2026-03-01,9.0,7.7,6.4,71.7
SAT-015,ADV-015,CMP-020,2026-03-01,7.2,9.1,9.0,59.8
SAT-016,ADV-016,CMP-008,2026-03-01,7.3,7.2,6.1,85.7
SAT-017,ADV-017,CMP-038,2026-03-01,6.9,8.7,6.0,51.9
SAT-018,ADV-018,CMP-031,2026-03-01,8.8,6.1,8.7,61.2
SAT-019,ADV-019,CMP-032,2026-03-01,6.8,8.0,9.3,94.9
SAT-020,ADV-020,CMP-004,2026-03-01,6.7,8.1,8.5,85.6
SAT-021,ADV-021,CMP-009,2026-03-01,8.1,6.8,8.0,79.0
SAT-022,ADV-022,CMP-023,2026-03-01,9.2,7.3,6.7,81.0
SAT-023,ADV-023,CMP-023,2026-03-01,8.9,6.5,6.1,81.8
SAT-024,ADV-024,CMP-036,2026-03-01,7.5,8.3,6.7,58.4
SAT-025,ADV-025,CMP-023,2026-03-01,7.6,7.4,9.0,76.9
SAT-026,ADV-026,CMP-036,2026-03-01,7.0,7.6,7.6,86.9
SAT-027,ADV-027,CMP-035,2026-03-01,7.7,5.5,8.2,67.1
SAT-028,ADV-028,CMP-012,2026-03-01,9.4,8.0,7.3,77.9
SAT-029,ADV-029,CMP-021,2026-03-01,8.9,8.1,7.9,67.4
SAT-030,ADV-030,CMP-034,2026-03-01,8.8,8.6,6.5,62.7
