survey_id,ae_id,date,admin_burden_score,quota_pressure_score,overtime_hours,after_hours_doc_min,fatigue_score,work_life_balance
WEL-001,AE-001,2026-03-15,9.2,8.5,18,145,8.8,2.5
WEL-002,AE-002,2026-03-15,7.4,5.9,11,87,5.8,4.0
WEL-003,AE-003,2026-03-15,7.6,6.4,16,49,6.4,3.7
WEL-004,AE-004,2026-03-15,5.8,7.0,14,78,6.2,6.0
WEL-005,AE-005,2026-03-15,5.9,8.0,11,92,8.0,6.1
WEL-006,AE-006,2026-03-15,8.0,5.4,8,50,6.5,5.2
WEL-007,AE-007,2026-03-15,5.9,6.9,6,97,5.8,5.7
WEL-008,AE-008,2026-03-15,5.9,7.3,13,51,5.4,4.5
WEL-009,AE-009,2026-03-15,6.6,6.3,13,89,5.0,4.9
WEL-010,AE-010,2026-03-15,9.5,9.0,22,160,9.2,2.0
WEL-011,AE-011,2026-03-15,7.3,7.9,11,107,5.6,5.4
WEL-012,AE-012,2026-03-15,7.1,5.7,11,79,5.4,4.3
WEL-013,AE-013,2026-03-15,6.9,2.3,5,39,6.4,5.9
WEL-014,AE-014,2026-03-15,6.8,3.0,8,58,6.0,5.3
WEL-015,AE-015,2026-03-15,7.5,3.0,6,35,6.4,6.8
WEL-016,AE-016,2026-03-15,8.8,3.0,15,95,7.5,3.5
WEL-017,AE-017,2026-03-15,6.5,5.7,8,67,7.2,5.1
WEL-018,AE-018,2026-03-15,5.9,6.1,16,44,6.1,5.2
WEL-019,AE-019,2026-03-15,7.4,6.9,15,46,7.0,5.3
WEL-020,AE-020,2026-03-15,6.5,3.4,9,63,6.1,5.1
WEL-021,AE-021,2026-03-15,7.2,2.3,11,75,5.5,4.8
WEL-022,AE-022,2026-03-15,6.7,3.0,10,73,6.6,4.8
WEL-023,AE-023,2026-03-15,7.8,3.0,10,42,5.9,5.6
WEL-024,AE-024,2026-03-15,4.7,4.2,14,48,5.7,7.4
WEL-025,AE-025,2026-03-15,4.5,3.8,9,41,5.1,7.3
