order_id,campaign_id,ae_id,date,order_type,units_booked,doc_time_min,proof_cycles,status,production_vendor_id
ORD-0001,CMP-011,AE-011,2026-03-01,extension,4,48,2,in_progress,VND-011
ORD-0002,CMP-040,AE-012,2026-03-03,add_on,1,23,1,completed,VND-009
ORD-0003,CMP-009,AE-010,2026-01-18,make_good,7,78,4,completed,VND-013
ORD-0004,CMP-001,AE-001,2026-02-23,extension,5,74,2,cancelled,VND-006
ORD-0005,CMP-001,AE-002,2026-01-13,extension,6,53,1,in_progress,VND-009
ORD-0006,CMP-002,AE-002,2026-03-03,extension,11,66,5,completed,VND-002
ORD-0007,CMP-039,AE-001,2026-02-08,new_contract,4,67,4,completed,VND-011
ORD-0008,CMP-006,AE-006,2026-02-12,renewal,11,54,1,in_progress,VND-003
ORD-0009,CMP-010,AE-009,2026-02-06,add_on,5,48,3,pending_approval,VND-013
ORD-0010,CMP-001,AE-001,2026-01-27,extension,7,89,1,completed,VND-010
ORD-0011,CMP-032,AE-012,2026-03-07,add_on,7,78,2,completed,VND-004
ORD-0012,CMP-040,AE-012,2026-02-18,make_good,7,71,3,completed,VND-003
ORD-0013,CMP-025,AE-009,2026-01-03,new_contract,3,40,4,completed,VND-007
ORD-0014,CMP-033,AE-007,2026-02-17,make_good,1,34,5,in_progress,VND-013
ORD-0015,CMP-020,AE-011,2026-02-04,add_on,3,78,1,cancelled,VND-015
ORD-0016,CMP-032,AE-012,2026-01-17,make_good,2,58,5,in_progress,VND-003
ORD-0017,CMP-006,AE-006,2026-03-18,new_contract,10,61,4,completed,VND-015
ORD-0018,CMP-027,AE-006,2026-01-08,renewal,10,30,1,in_progress,VND-014
ORD-0019,CMP-014,AE-002,2026-01-25,renewal,11,80,5,completed,VND-009
ORD-0020,CMP-031,AE-010,2026-03-07,renewal,12,89,4,cancelled,VND-011
ORD-0021,CMP-035,AE-006,2026-02-17,new_contract,4,48,1,completed,VND-010
ORD-0022,CMP-010,AE-009,2026-01-19,new_contract,2,27,2,completed,VND-001
ORD-0023,CMP-005,AE-006,2026-01-17,extension,11,82,2,completed,VND-012
ORD-0024,CMP-038,AE-010,2026-01-16,add_on,7,74,1,completed,VND-007
ORD-0025,CMP-035,AE-006,2026-02-14,new_contract,11,32,1,completed,VND-006
