ccn_id,campaign_id,ae_id,timestamp,change_type,units_affected,revenue_impact,doc_time_min,approval_status
CCN-0001,CMP-013,AE-001,2026-03-25T09:52:00Z,creative_change,4,43925,67,rejected
CCN-0002,CMP-032,AE-008,2026-02-27T09:18:00Z,market_change,6,13987,75,approved
CCN-0003,CMP-012,AE-007,2026-02-25T17:46:00Z,creative_change,8,25418,48,pending
CCN-0004,CMP-007,AE-007,2026-02-24T10:17:00Z,unit_add,2,3476,88,approved
CCN-0005,CMP-036,AE-002,2026-02-26T09:32:00Z,unit_remove,7,34105,46,approved
CCN-0006,CMP-033,AE-001,2026-02-27T09:40:00Z,market_change,7,20043,76,pending
CCN-0007,CMP-026,AE-001,2026-03-24T09:45:00Z,budget_increase,6,35849,87,approved
CCN-0008,CMP-006,AE-009,2026-03-25T10:30:00Z,unit_add,3,-2641,27,approved
CCN-0009,CMP-012,AE-005,2026-03-24T10:04:00Z,unit_swap,5,-4881,81,approved
CCN-0010,CMP-014,AE-012,2026-02-24T15:44:00Z,unit_swap,2,26199,64,approved
CCN-0011,CMP-039,AE-001,2026-03-24T11:59:00Z,budget_decrease,6,6265,50,approved
CCN-0012,CMP-027,AE-001,2026-03-24T11:43:00Z,date_change,4,-12339,46,pending
CCN-0013,CMP-003,AE-007,2026-02-28T13:20:00Z,budget_decrease,4,46002,75,rejected
CCN-0014,CMP-008,AE-004,2026-02-25T13:20:00Z,budget_increase,1,27709,65,approved
CCN-0015,CMP-014,AE-008,2026-02-25T12:41:00Z,unit_remove,1,-16175,52,approved
CCN-0016,CMP-039,AE-008,2026-02-24T12:06:00Z,unit_remove,7,-7577,67,approved
CCN-0017,CMP-021,AE-011,2026-02-27T13:01:00Z,market_change,7,41981,54,approved
CCN-0018,CMP-001,AE-004,2026-02-24T12:15:00Z,creative_change,4,-14595,32,approved
CCN-0019,CMP-032,AE-005,2026-02-25T14:13:00Z,unit_swap,4,33160,67,approved
CCN-0020,CMP-021,AE-011,2026-03-24T12:48:00Z,unit_swap,4,18420,68,approved
CCN-0021,CMP-035,AE-001,2026-02-25T17:55:00Z,creative_change,6,-943,81,approved
CCN-0022,CMP-005,AE-008,2026-02-24T08:40:00Z,budget_increase,4,-8543,36,approved
CCN-0023,CMP-036,AE-004,2026-02-25T14:46:00Z,market_change,5,-3484,50,approved
CCN-0024,CMP-012,AE-010,2026-03-25T12:36:00Z,market_change,4,10633,86,approved
CCN-0025,CMP-024,AE-007,2026-02-27T15:28:00Z,creative_change,7,-4569,86,approved
CCN-0026,CMP-025,AE-007,2026-03-24T17:34:00Z,budget_increase,3,8723,73,approved
CCN-0027,CMP-030,AE-005,2026-03-27T09:21:00Z,budget_increase,8,652,44,rejected
CCN-0028,CMP-001,AE-001,2026-03-28T15:25:00Z,creative_change,7,23908,74,approved
CCN-0029,CMP-038,AE-002,2026-02-27T09:24:00Z,budget_increase,4,32186,57,pending
CCN-0030,CMP-023,AE-009,2026-03-27T08:41:00Z,creative_change,7,7347,56,approved
CCN-0031,CMP-024,AE-011,2026-02-24T12:38:00Z,market_change,3,8330,56,approved
CCN-0032,CMP-011,AE-001,2026-02-24T14:25:00Z,date_change,4,30436,46,pending
CCN-0033,CMP-017,AE-012,2026-03-26T17:19:00Z,creative_change,2,-10678,69,pending
CCN-0034,CMP-018,AE-012,2026-03-25T12:00:00Z,budget_increase,8,-24794,37,approved
CCN-0035,CMP-027,AE-009,2026-03-27T14:10:00Z,budget_increase,6,-569,42,approved
CCN-0036,CMP-012,AE-009,2026-03-24T17:52:00Z,budget_decrease,3,1337,32,pending
CCN-0037,CMP-013,AE-005,2026-03-27T17:06:00Z,budget_increase,2,13420,35,approved
CCN-0038,CMP-018,AE-002,2026-02-26T17:15:00Z,market_change,8,-11787,26,approved
CCN-0039,CMP-001,AE-011,2026-02-28T09:13:00Z,unit_swap,7,43167,59,rejected
CCN-0040,CMP-031,AE-006,2026-03-28T13:23:00Z,unit_remove,6,6404,71,pending
CCN-0041,CMP-025,AE-010,2026-03-24T13:51:00Z,date_change,1,34889,76,pending
CCN-0042,CMP-009,AE-001,2026-02-28T16:17:00Z,budget_decrease,6,34233,85,approved
CCN-0043,CMP-013,AE-001,2026-02-26T13:55:00Z,unit_swap,6,33236,54,approved
CCN-0044,CMP-026,AE-012,2026-02-28T13:27:00Z,market_change,2,25444,62,approved
CCN-0045,CMP-010,AE-009,2026-02-28T10:31:00Z,date_change,5,46925,84,approved
CCN-0046,CMP-029,AE-002,2026-02-27T11:13:00Z,budget_increase,2,-11176,80,rejected
CCN-0047,CMP-002,AE-003,2026-03-26T12:14:00Z,unit_add,8,-8866,42,rejected
CCN-0048,CMP-032,AE-002,2026-02-26T17:49:00Z,date_change,6,24415,73,pending
CCN-0049,CMP-036,AE-007,2026-02-25T12:07:00Z,unit_add,2,-10401,36,approved
CCN-0050,CMP-038,AE-004,2026-03-24T10:54:00Z,unit_remove,7,-24780,64,approved
CCN-0051,CMP-035,AE-004,2026-03-27T13:49:00Z,unit_remove,3,43124,53,approved
CCN-0052,CMP-001,AE-009,2026-03-27T10:52:00Z,unit_add,4,40514,83,approved
CCN-0053,CMP-019,AE-003,2026-03-24T12:32:00Z,date_change,5,37689,52,approved
CCN-0054,CMP-025,AE-001,2026-02-26T11:54:00Z,budget_decrease,1,-1536,87,pending
CCN-0055,CMP-020,AE-011,2026-02-25T16:25:00Z,unit_remove,7,37052,69,pending
CCN-0056,CMP-026,AE-002,2026-03-28T12:44:00Z,budget_decrease,7,-12245,41,approved
CCN-0057,CMP-038,AE-001,2026-03-26T10:36:00Z,budget_increase,8,38234,62,pending
CCN-0058,CMP-014,AE-004,2026-02-25T13:46:00Z,date_change,3,24355,79,pending
CCN-0059,CMP-011,AE-001,2026-03-24T15:11:00Z,unit_swap,2,42559,68,approved
CCN-0060,CMP-010,AE-011,2026-02-27T08:07:00Z,budget_decrease,7,39045,63,pending
CCN-0061,CMP-012,AE-011,2026-02-27T15:55:00Z,creative_change,5,33342,72,approved
CCN-0062,CMP-008,AE-002,2026-03-24T16:14:00Z,unit_swap,8,10877,37,pending
CCN-0063,CMP-012,AE-007,2026-03-27T12:36:00Z,budget_increase,2,17628,33,pending
CCN-0064,CMP-035,AE-003,2026-02-27T14:35:00Z,market_change,2,43013,93,pending
CCN-0065,CMP-008,AE-004,2026-02-24T17:44:00Z,budget_increase,1,47708,82,pending
CCN-0066,CMP-008,AE-001,2026-02-25T10:05:00Z,unit_add,1,-13910,40,approved
CCN-0067,CMP-024,AE-009,2026-03-25T08:15:00Z,unit_add,1,43084,62,pending
CCN-0068,CMP-029,AE-003,2026-03-28T13:33:00Z,unit_remove,4,-12023,30,approved
CCN-0069,CMP-013,AE-003,2026-02-26T10:38:00Z,budget_decrease,6,11358,41,pending
CCN-0070,CMP-028,AE-002,2026-03-28T12:24:00Z,budget_increase,7,34777,35,rejected
CCN-0071,CMP-028,AE-012,2026-02-25T09:40:00Z,unit_add,4,23777,90,approved
CCN-0072,CMP-027,AE-003,2026-03-26T14:01:00Z,budget_decrease,2,10405,40,approved
CCN-0073,CMP-036,AE-007,2026-03-24T09:23:00Z,unit_remove,5,-5821,53,approved
CCN-0074,CMP-007,AE-007,2026-03-25T09:50:00Z,date_change,3,44006,64,approved
CCN-0075,CMP-032,AE-002,2026-03-28T17:55:00Z,unit_add,5,-12016,31,approved
CCN-0076,CMP-025,AE-003,2026-03-26T15:37:00Z,budget_increase,5,-23756,90,pending
CCN-0077,CMP-009,AE-003,2026-03-27T08:58:00Z,unit_remove,4,29820,83,approved
CCN-0078,CMP-023,AE-008,2026-03-28T12:27:00Z,budget_decrease,5,-13605,64,approved
CCN-0079,CMP-021,AE-002,2026-02-24T11:05:00Z,budget_increase,1,-13914,61,approved
CCN-0080,CMP-032,AE-001,2026-02-27T15:31:00Z,date_change,7,-23179,49,rejected
