interaction_id,ae_id,timestamp,system,module,action,duration_ms,campaign_id
INT-0001,AE-017,2026-02-28T07:53:00Z,IMS,units,create,22009,CMP-012
INT-0002,AE-002,2026-02-25T07:36:00Z,OMS,orders,upload,87115,CMP-025
INT-0003,AE-019,2026-03-24T10:38:00Z,Salesforce,reports,export,99089,CMP-005
INT-0004,AE-001,2026-02-27T12:35:00Z,OMS,billing,create,117039,CMP-024
INT-0005,AE-002,2026-03-24T08:13:00Z,Salesforce,opportunities,view,71089,CMP-007
INT-0006,AE-004,2026-02-25T15:42:00Z,OMS,charting,reject,35605,CMP-037
INT-0007,AE-006,2026-03-24T17:29:00Z,Salesforce,reports,reject,58977,CMP-007
INT-0008,AE-006,2026-03-28T17:10:00Z,OMS,charting,reject,72979,CMP-039
INT-0009,AE-018,2026-03-26T19:40:00Z,IMS,holds,approve,61438,CMP-021
INT-0010,AE-023,2026-03-27T12:28:00Z,OMS,charting,search,61654,CMP-026
INT-0011,AE-001,2026-02-28T11:00:00Z,Boostr,reporting,view,86730,CMP-015
INT-0012,AE-007,2026-02-28T08:02:00Z,IMS,units,export,63341,CMP-023
INT-0013,AE-005,2026-02-28T10:16:00Z,OMS,inventory,approve,42361,CMP-006
INT-0014,AE-022,2026-03-24T19:30:00Z,Workforce,photos,search,25662,CMP-032
INT-0015,AE-022,2026-03-24T08:49:00Z,Boostr,commissions,export,10329,CMP-022
INT-0016,AE-012,2026-02-25T17:49:00Z,Workforce,installation,create,85862,CMP-025
INT-0017,AE-002,2026-02-26T12:32:00Z,IMS,offboarding,view,31940,CMP-010
INT-0018,AE-002,2026-03-25T11:50:00Z,Workforce,installation,create,54684,CMP-010
INT-0019,AE-005,2026-02-28T15:25:00Z,IMS,units,upload,37413,CMP-006
INT-0020,AE-016,2026-03-25T15:12:00Z,Salesforce,activities,update,68944,CMP-026
INT-0021,AE-022,2026-02-25T11:49:00Z,OMS,charting,search,59369,CMP-021
INT-0022,AE-022,2026-03-27T12:12:00Z,Boostr,proposals,reject,45039,CMP-023
INT-0023,AE-023,2026-03-26T16:09:00Z,Boostr,reporting,update,60732,CMP-003
INT-0024,AE-008,2026-02-24T18:03:00Z,OMS,inventory,update,34856,CMP-040
INT-0025,AE-005,2026-03-24T14:30:00Z,IMS,units,approve,5981,CMP-022
INT-0026,AE-007,2026-03-28T15:30:00Z,Salesforce,accounts,search,84663,CMP-010
INT-0027,AE-001,2026-02-26T07:18:00Z,Workforce,photos,view,60611,CMP-040
INT-0028,AE-009,2026-03-24T17:17:00Z,Boostr,pipeline,view,89898,CMP-024
INT-0029,AE-004,2026-03-25T15:45:00Z,Boostr,reporting,reject,16055,CMP-021
INT-0030,AE-019,2026-02-25T15:29:00Z,Salesforce,reports,create,78490,CMP-002
INT-0031,AE-002,2026-03-26T13:47:00Z,OMS,charting,export,23578,CMP-002
INT-0032,AE-012,2026-03-25T19:03:00Z,IMS,holds,export,85023,CMP-017
