alert_id,campaign_id,unit_id,timestamp,alert_type,severity,description,photos_missing,resolution_status
ALT-0001,CMP-005,UNIT-060,2026-03-25T15:46:00Z,wrong_creative,Low,Wrong Creative on unit UNIT-060,0,open
ALT-0002,CMP-004,UNIT-039,2026-03-27T12:17:00Z,obscured_view,Low,Obscured View on unit UNIT-039,0,resolved
ALT-0003,CMP-016,UNIT-022,2026-03-25T10:29:00Z,incorrect_location,Medium,Incorrect Location on unit UNIT-022,0,resolved
ALT-0004,CMP-016,UNIT-029,2026-03-27T08:22:00Z,wrong_creative,Low,Wrong Creative on unit UNIT-029,0,in_progress
ALT-0005,CMP-039,UNIT-015,2026-03-27T10:36:00Z,damaged_unit,Low,Damaged Unit on unit UNIT-015,0,resolved
ALT-0006,CMP-027,UNIT-044,2026-02-28T16:16:00Z,expired_posting,High,Expired Posting on unit UNIT-044,0,resolved
ALT-0007,CMP-027,UNIT-027,2026-02-28T16:31:00Z,obscured_view,Low,Obscured View on unit UNIT-027,0,in_progress
ALT-0008,CMP-001,UNIT-011,2026-03-24T11:48:00Z,lighting_out,Medium,Lighting Out on unit UNIT-011,0,resolved
ALT-0009,CMP-003,UNIT-054,2026-02-27T18:10:00Z,wrong_creative,High,Wrong Creative on unit UNIT-054,0,in_progress
ALT-0010,CMP-025,UNIT-058,2026-03-27T09:25:00Z,obscured_view,Medium,Obscured View on unit UNIT-058,0,resolved
ALT-0011,CMP-022,UNIT-038,2026-02-28T18:02:00Z,wrong_creative,Medium,Wrong Creative on unit UNIT-038,0,resolved
ALT-0012,CMP-029,UNIT-059,2026-03-27T18:53:00Z,digital_malfunction,High,Digital Malfunction on unit UNIT-059,0,open
ALT-0013,CMP-009,UNIT-047,2026-02-25T09:57:00Z,missing_photo,Medium,Missing Photo on unit UNIT-047,2,in_progress
ALT-0014,CMP-030,UNIT-025,2026-03-26T09:32:00Z,expired_posting,Low,Expired Posting on unit UNIT-025,0,resolved
ALT-0015,CMP-020,UNIT-032,2026-02-26T16:33:00Z,digital_malfunction,High,Digital Malfunction on unit UNIT-032,0,resolved
ALT-0016,CMP-012,UNIT-010,2026-02-24T13:33:00Z,expired_posting,Medium,Expired Posting on unit UNIT-010,0,open
