pop_id,campaign_id,ae_id,date,units_verified,photos_required,photos_submitted,compliance_pct,doc_time_min
POP-0001,CMP-003,AE-003,2026-02-19,14,14,12,82.6,34
POP-0002,CMP-019,AE-009,2026-03-06,11,33,30,91.6,27
POP-0003,CMP-009,AE-010,2026-03-09,10,10,2,75.5,72
POP-0004,CMP-008,AE-007,2026-02-24,6,6,3,86.6,75
POP-0005,CMP-002,AE-002,2026-02-28,14,14,13,96.2,57
POP-0006,CMP-032,AE-012,2026-03-28,4,12,11,95.7,72
POP-0007,CMP-004,AE-004,2026-03-19,10,20,19,87.7,65
POP-0008,CMP-006,AE-005,2026-03-19,10,30,30,84.4,68
POP-0009,CMP-008,AE-007,2026-02-09,13,13,12,84.6,40
POP-0010,CMP-018,AE-004,2026-03-13,4,12,10,93.0,44
POP-0011,CMP-007,AE-008,2026-02-21,8,24,22,94.2,43
POP-0012,CMP-030,AE-008,2026-02-11,14,42,42,94.8,49
POP-0013,CMP-020,AE-011,2026-02-28,14,42,39,85.8,47
POP-0014,CMP-024,AE-004,2026-03-09,6,12,11,91.9,51
POP-0015,CMP-005,AE-006,2026-02-02,12,24,24,84.2,74
POP-0016,CMP-028,AE-003,2026-02-15,8,8,7,97.4,39
POP-0017,CMP-024,AE-003,2026-03-03,6,6,4,93.6,61
POP-0018,CMP-003,AE-003,2026-03-13,13,39,38,89.5,25
POP-0019,CMP-011,AE-012,2026-02-01,9,9,8,92.4,53
POP-0020,CMP-037,AE-011,2026-02-01,13,26,26,99.3,47
POP-0021,CMP-011,AE-012,2026-02-16,5,10,10,94.8,26
POP-0022,CMP-002,AE-002,2026-03-12,4,8,7,93.2,63
POP-0023,CMP-003,AE-003,2026-02-17,11,33,32,89.7,66
POP-0024,CMP-018,AE-004,2026-02-24,8,24,21,97.0,25
POP-0025,CMP-001,AE-002,2026-02-25,11,33,30,88.2,47
POP-0026,CMP-006,AE-006,2026-03-08,12,12,11,91.7,58
POP-0027,CMP-040,AE-012,2026-02-10,12,24,23,91.1,52
POP-0028,CMP-018,AE-004,2026-03-13,12,12,11,90.7,27
POP-0029,CMP-024,AE-004,2026-02-21,10,10,8,98.3,28
POP-0030,CMP-033,AE-007,2026-02-12,14,28,28,82.3,24
POP-0031,CMP-013,AE-001,2026-02-07,2,4,2,93.0,52
POP-0032,CMP-033,AE-007,2026-03-23,3,9,8,86.9,39
POP-0033,CMP-014,AE-002,2026-02-07,10,20,17,92.3,68
POP-0034,CMP-011,AE-011,2026-03-10,13,13,13,86.3,47
POP-0035,CMP-002,AE-002,2026-02-20,6,18,17,84.1,65
POP-0036,CMP-003,AE-003,2026-03-06,7,21,19,84.9,28
POP-0037,CMP-032,AE-012,2026-02-24,14,14,12,96.1,37
POP-0038,CMP-009,AE-009,2026-02-09,9,18,16,83.0,74
POP-0039,CMP-010,AE-010,2026-02-12,6,6,1,79.5,59
POP-0040,CMP-018,AE-004,2026-02-17,2,2,1,82.8,43
POP-0041,CMP-023,AE-007,2026-02-06,10,30,27,85.9,35
POP-0042,CMP-030,AE-007,2026-02-09,11,22,22,90.8,23
POP-0043,CMP-013,AE-003,2026-02-26,8,8,5,97.2,69
POP-0044,CMP-006,AE-005,2026-03-03,2,4,3,87.1,70
POP-0045,CMP-005,AE-005,2026-03-15,11,22,21,94.8,54
POP-0046,CMP-004,AE-004,2026-03-01,2,2,1,93.1,64
POP-0047,CMP-013,AE-001,2026-03-01,13,39,37,83.8,53
POP-0048,CMP-024,AE-004,2026-02-16,4,12,10,83.6,34
POP-0049,CMP-025,AE-009,2026-03-23,9,27,27,92.2,52
POP-0050,CMP-028,AE-003,2026-02-03,8,24,23,86.1,36
POP-0051,CMP-035,AE-006,2026-03-23,7,14,12,86.1,32
POP-0052,CMP-003,AE-003,2026-02-05,4,8,5,87.5,27
POP-0053,CMP-019,AE-009,2026-02-25,9,18,15,86.6,27
POP-0054,CMP-001,AE-002,2026-03-26,13,39,39,85.8,74
POP-0055,CMP-006,AE-006,2026-02-03,7,14,14,93.9,36
POP-0056,CMP-003,AE-003,2026-03-13,10,30,29,83.7,26
POP-0057,CMP-003,AE-003,2026-02-01,14,14,13,85.5,45
POP-0058,CMP-005,AE-006,2026-03-19,3,3,3,85.5,61
POP-0059,CMP-008,AE-008,2026-03-03,3,3,1,82.9,56
POP-0060,CMP-033,AE-007,2026-02-16,8,24,21,85.0,33
POP-0061,CMP-024,AE-003,2026-03-09,4,4,3,93.3,51
POP-0062,CMP-033,AE-007,2026-02-02,6,12,11,89.3,61
POP-0063,CMP-010,AE-009,2026-02-21,8,24,22,90.4,70
POP-0064,CMP-017,AE-008,2026-03-19,8,16,15,82.5,58
POP-0065,CMP-004,AE-004,2026-03-26,2,4,2,95.4,34
POP-0066,CMP-003,AE-003,2026-02-08,6,18,18,95.4,34
POP-0067,CMP-031,AE-010,2026-02-12,4,4,1,73.4,90
POP-0068,CMP-009,AE-010,2026-03-23,11,33,29,77.6,69
POP-0069,CMP-017,AE-008,2026-03-06,2,2,2,86.1,34
POP-0070,CMP-039,AE-001,2026-02-16,7,21,20,96.1,41
POP-0071,CMP-011,AE-012,2026-03-26,2,2,1,92.3,29
POP-0072,CMP-014,AE-002,2026-03-28,3,6,3,92.3,41
POP-0073,CMP-006,AE-005,2026-02-05,13,26,23,93.4,31
POP-0074,CMP-040,AE-012,2026-03-23,5,15,14,88.6,66
POP-0075,CMP-032,AE-012,2026-02-05,13,13,10,96.9,69
POP-0076,CMP-009,AE-010,2026-03-06,14,42,38,78.9,58
POP-0077,CMP-008,AE-008,2026-02-11,5,10,8,84.9,25
POP-0078,CMP-040,AE-012,2026-03-21,9,9,7,85.7,64
POP-0079,CMP-002,AE-002,2026-02-09,13,13,13,88.8,66
POP-0080,CMP-023,AE-007,2026-03-14,8,16,13,83.8,50
POP-0081,CMP-010,AE-010,2026-03-06,3,3,1,68.3,78
POP-0082,CMP-001,AE-002,2026-02-11,8,8,8,91.6,25
POP-0083,CMP-035,AE-006,2026-02-23,8,24,23,92.6,47
POP-0084,CMP-003,AE-003,2026-03-04,5,5,2,94.2,66
POP-0085,CMP-040,AE-012,2026-03-09,6,6,6,82.9,56
POP-0086,CMP-025,AE-009,2026-02-05,7,7,4,83.5,72
POP-0087,CMP-037,AE-011,2026-02-07,2,2,1,93.2,25
POP-0088,CMP-007,AE-008,2026-03-10,9,18,16,83.6,54
POP-0089,CMP-023,AE-007,2026-03-12,7,7,4,82.8,48
POP-0090,CMP-017,AE-008,2026-03-08,11,11,10,95.2,62
POP-0091,CMP-001,AE-002,2026-03-22,14,42,39,99.0,57
POP-0092,CMP-018,AE-004,2026-03-02,10,20,17,92.0,35
POP-0093,CMP-017,AE-008,2026-03-03,13,13,12,84.1,68
POP-0094,CMP-008,AE-008,2026-02-06,14,14,13,82.7,25
POP-0095,CMP-037,AE-011,2026-02-07,11,22,20,97.9,71
POP-0096,CMP-001,AE-002,2026-03-13,10,20,18,91.1,75
POP-0097,CMP-039,AE-001,2026-03-20,3,6,5,84.6,57
POP-0098,CMP-009,AE-010,2026-02-04,14,28,21,83.0,97
POP-0099,CMP-006,AE-005,2026-03-21,11,33,30,82.7,37
POP-0100,CMP-023,AE-007,2026-03-20,2,4,2,94.1,23
POP-0101,CMP-032,AE-012,2026-03-09,2,4,2,87.4,73
POP-0102,CMP-007,AE-008,2026-02-28,4,8,5,95.5,40
POP-0103,CMP-006,AE-005,2026-02-20,5,10,9,98.0,46
POP-0104,CMP-032,AE-012,2026-03-25,2,6,5,83.1,65
POP-0105,CMP-025,AE-009,2026-02-05,4,4,3,96.6,35
POP-0106,CMP-013,AE-001,2026-03-02,13,13,11,88.4,49
POP-0107,CMP-025,AE-009,2026-02-21,12,12,11,88.5,58
POP-0108,CMP-008,AE-008,2026-03-28,11,33,31,88.0,73
POP-0109,CMP-005,AE-005,2026-02-10,8,8,7,96.9,69
POP-0110,CMP-004,AE-004,2026-02-21,12,12,10,93.4,52
POP-0111,CMP-039,AE-001,2026-03-01,4,12,11,92.5,20
POP-0112,CMP-024,AE-004,2026-03-20,13,39,37,89.4,44
POP-0113,CMP-035,AE-006,2026-02-09,9,18,15,92.2,20
POP-0114,CMP-019,AE-009,2026-03-18,6,18,18,90.4,41
POP-0115,CMP-006,AE-005,2026-03-28,6,18,16,85.3,53
POP-0116,CMP-004,AE-004,2026-03-26,12,24,23,94.6,61
POP-0117,CMP-017,AE-008,2026-03-09,8,16,16,92.2,56
POP-0118,CMP-024,AE-004,2026-02-24,12,36,33,97.9,62
POP-0119,CMP-027,AE-006,2026-02-28,12,36,35,87.1,50
POP-0120,CMP-024,AE-003,2026-02-24,12,24,24,85.9,34
