quality_id,order_id,ae_id,date,charting_accuracy_pct,proof_approval_rate,install_on_time_pct,pop_completeness_pct
QAL-0001,ORD-0177,AE-008,2026-01-11,88.0,92.1,96.8,96.7
QAL-0002,ORD-0172,AE-008,2026-01-05,96.6,81.4,94.4,97.7
QAL-0003,ORD-0165,AE-004,2026-02-15,90.9,80.9,95.6,97.2
QAL-0004,ORD-0075,AE-006,2026-03-26,91.4,93.3,86.2,95.6
QAL-0005,ORD-0012,AE-001,2026-01-28,91.6,77.6,84.3,87.3
QAL-0006,ORD-0160,AE-005,2026-01-24,92.1,86.2,86.5,90.6
QAL-0007,ORD-0117,AE-005,2026-02-27,95.6,88.6,90.5,97.4
QAL-0008,ORD-0043,AE-002,2026-03-05,96.0,97.7,96.0,86.5
QAL-0009,ORD-0152,AE-008,2026-03-26,95.5,83.3,89.9,90.0
QAL-0010,ORD-0008,AE-011,2026-03-27,98.7,82.4,97.0,86.6
QAL-0011,ORD-0106,AE-008,2026-01-02,90.9,85.7,94.2,94.5
QAL-0012,ORD-0197,AE-012,2026-03-19,94.2,97.6,93.7,89.7
QAL-0013,ORD-0134,AE-012,2026-03-23,89.0,91.9,88.2,89.8
QAL-0014,ORD-0174,AE-011,2026-01-13,97.2,90.1,97.8,85.8
QAL-0015,ORD-0165,AE-003,2026-02-17,97.4,95.6,86.0,91.9
QAL-0016,ORD-0062,AE-006,2026-01-09,93.6,89.9,89.9,96.4
QAL-0017,ORD-0021,AE-008,2026-03-15,92.9,95.4,90.8,86.7
QAL-0018,ORD-0128,AE-012,2026-01-21,89.1,87.4,92.2,85.0
QAL-0019,ORD-0024,AE-010,2026-03-20,81.0,72.6,74.7,77.4
QAL-0020,ORD-0088,AE-006,2026-01-27,97.0,95.2,89.3,95.7
QAL-0021,ORD-0154,AE-008,2026-03-23,92.0,88.1,86.3,94.2
QAL-0022,ORD-0001,AE-006,2026-03-12,98.6,85.3,91.8,94.8
QAL-0023,ORD-0012,AE-003,2026-01-16,97.0,93.4,90.3,88.6
QAL-0024,ORD-0051,AE-004,2026-02-04,90.4,94.8,87.5,89.7
QAL-0025,ORD-0194,AE-007,2026-03-02,97.2,90.6,95.0,91.3
QAL-0026,ORD-0169,AE-010,2026-01-17,87.6,65.1,81.6,75.7
QAL-0027,ORD-0111,AE-010,2026-03-16,85.8,78.7,81.0,70.4
QAL-0028,ORD-0033,AE-002,2026-03-13,94.6,95.9,91.6,90.4
QAL-0029,ORD-0156,AE-012,2026-01-25,91.0,97.3,97.6,91.3
QAL-0030,ORD-0035,AE-003,2026-03-14,95.7,93.5,88.9,94.8
QAL-0031,ORD-0081,AE-012,2026-03-24,95.0,83.6,93.1,89.1
QAL-0032,ORD-0089,AE-011,2026-03-05,95.2,97.2,91.6,94.7
QAL-0033,ORD-0083,AE-012,2026-02-04,94.2,90.5,97.3,94.9
QAL-0034,ORD-0173,AE-012,2026-03-27,91.1,95.3,95.5,92.3
QAL-0035,ORD-0007,AE-007,2026-01-05,95.4,83.6,94.8,87.3
QAL-0036,ORD-0074,AE-011,2026-01-09,97.2,92.4,88.8,95.6
QAL-0037,ORD-0009,AE-006,2026-02-27,89.1,95.6,94.6,97.1
QAL-0038,ORD-0191,AE-011,2026-02-18,90.6,94.1,95.4,89.0
QAL-0039,ORD-0171,AE-001,2026-02-13,89.2,86.8,88.2,93.6
QAL-0040,ORD-0014,AE-001,2026-02-24,87.0,88.0,90.3,87.3
QAL-0041,ORD-0058,AE-011,2026-03-23,95.1,93.6,92.1,93.4
QAL-0042,ORD-0199,AE-012,2026-02-07,92.9,97.7,86.0,98.5
QAL-0043,ORD-0189,AE-009,2026-02-04,88.4,85.0,88.4,87.3
QAL-0044,ORD-0066,AE-001,2026-02-11,92.1,77.3,81.8,85.9
QAL-0045,ORD-0014,AE-011,2026-03-20,91.3,94.2,92.2,86.0
QAL-0046,ORD-0182,AE-006,2026-01-17,98.5,89.4,95.2,87.2
QAL-0047,ORD-0140,AE-009,2026-01-13,91.8,95.9,93.6,89.6
QAL-0048,ORD-0076,AE-004,2026-03-25,93.8,97.9,95.7,98.7
QAL-0049,ORD-0003,AE-002,2026-02-22,92.9,96.3,93.0,93.7
QAL-0050,ORD-0011,AE-011,2026-02-11,98.1,97.0,90.0,92.6
QAL-0051,ORD-0073,AE-001,2026-02-17,90.1,82.6,85.8,85.6
QAL-0052,ORD-0167,AE-004,2026-03-11,88.9,81.7,97.6,95.8
QAL-0053,ORD-0137,AE-001,2026-01-21,87.1,84.4,82.6,90.2
QAL-0054,ORD-0027,AE-004,2026-03-18,97.7,93.3,90.7,96.4
QAL-0055,ORD-0019,AE-012,2026-01-22,88.3,92.9,85.5,86.0
QAL-0056,ORD-0046,AE-005,2026-01-18,94.3,84.1,88.4,90.4
QAL-0057,ORD-0162,AE-007,2026-02-14,88.2,92.1,92.0,94.0
QAL-0058,ORD-0159,AE-002,2026-03-25,94.4,92.6,85.9,98.0
QAL-0059,ORD-0028,AE-005,2026-03-26,91.3,81.6,94.9,91.1
QAL-0060,ORD-0102,AE-011,2026-02-01,89.7,84.0,94.7,96.2
QAL-0061,ORD-0140,AE-005,2026-01-21,91.3,96.0,97.5,97.1
QAL-0062,ORD-0166,AE-006,2026-03-01,97.6,82.5,85.5,93.0
QAL-0063,ORD-0101,AE-009,2026-01-18,91.4,93.5,96.7,89.8
QAL-0064,ORD-0106,AE-011,2026-03-28,89.6,83.3,93.0,88.5
QAL-0065,ORD-0030,AE-003,2026-03-22,97.4,95.3,97.1,98.9
QAL-0066,ORD-0119,AE-011,2026-01-18,91.2,81.2,86.3,95.2
QAL-0067,ORD-0125,AE-006,2026-01-12,95.4,84.2,88.7,86.0
QAL-0068,ORD-0050,AE-006,2026-02-16,91.6,91.9,94.0,87.1
QAL-0069,ORD-0146,AE-006,2026-02-26,98.5,83.0,89.1,96.0
QAL-0070,ORD-0183,AE-012,2026-02-21,91.0,86.5,93.8,89.6
QAL-0071,ORD-0123,AE-008,2026-02-15,96.5,88.8,86.4,94.0
QAL-0072,ORD-0021,AE-005,2026-01-28,97.8,83.5,94.5,93.8
QAL-0073,ORD-0187,AE-002,2026-03-01,94.9,94.6,92.5,95.8
QAL-0074,ORD-0055,AE-001,2026-02-18,90.4,90.0,85.7,91.3
QAL-0075,ORD-0094,AE-007,2026-03-08,96.1,85.2,91.0,92.1
