approval_id,order_id,ae_id,timestamp,proof_type,status,reviewer,cycle_time_hours,revision_count
PRF-0001,ORD-0191,AE-001,2026-03-27T11:47:00Z,digital_proof,pending,client,59.1,1
PRF-0002,ORD-0173,AE-009,2026-02-25T09:23:00Z,revision,rejected,client,41.7,3
PRF-0003,ORD-0044,AE-006,2026-03-24T18:15:00Z,digital_proof,revision_requested,client,29.3,3
PRF-0004,ORD-0076,AE-005,2026-02-25T18:36:00Z,reprint_proof,approved,production_manager,89.3,5
PRF-0005,ORD-0132,AE-001,2026-03-27T08:22:00Z,initial_proof,pending,production_manager,30.0,0
PRF-0006,ORD-0002,AE-006,2026-03-25T13:00:00Z,initial_proof,rejected,ae,10.0,4
PRF-0007,ORD-0040,AE-007,2026-03-24T08:09:00Z,final_proof,approved,creative_director,37.2,2
PRF-0008,ORD-0110,AE-003,2026-03-28T09:28:00Z,reprint_proof,approved,production_manager,72.2,0
PRF-0009,ORD-0092,AE-012,2026-02-25T11:18:00Z,initial_proof,approved,creative_director,71.9,0
PRF-0010,ORD-0042,AE-011,2026-03-25T18:17:00Z,initial_proof,rejected,sales_manager,48.6,5
PRF-0011,ORD-0183,AE-003,2026-03-26T16:46:00Z,reprint_proof,approved,client,76.5,1
PRF-0012,ORD-0040,AE-006,2026-02-28T18:15:00Z,initial_proof,pending,production_manager,42.4,4
PRF-0013,ORD-0189,AE-001,2026-03-27T12:18:00Z,reprint_proof,approved,creative_director,25.3,1
PRF-0014,ORD-0187,AE-009,2026-02-25T12:49:00Z,initial_proof,revision_requested,ae,64.6,3
PRF-0015,ORD-0051,AE-008,2026-02-24T11:54:00Z,digital_proof,pending,ae,23.6,1
PRF-0016,ORD-0103,AE-001,2026-02-26T10:27:00Z,initial_proof,pending,client,83.2,3
PRF-0017,ORD-0105,AE-009,2026-02-26T11:21:00Z,reprint_proof,rejected,sales_manager,42.1,0
PRF-0018,ORD-0078,AE-002,2026-03-26T12:22:00Z,reprint_proof,approved,client,19.1,0
PRF-0019,ORD-0014,AE-011,2026-02-26T12:30:00Z,final_proof,revision_requested,client,42.5,2
PRF-0020,ORD-0126,AE-006,2026-03-26T09:06:00Z,initial_proof,pending,ae,33.1,5
PRF-0021,ORD-0093,AE-012,2026-03-28T11:41:00Z,final_proof,approved,creative_director,10.2,0
PRF-0022,ORD-0034,AE-011,2026-02-28T08:37:00Z,revision,approved,creative_director,89.0,0
PRF-0023,ORD-0140,AE-010,2026-03-26T15:48:00Z,revision,rejected,ae,6.1,1
PRF-0024,ORD-0108,AE-009,2026-03-26T13:28:00Z,initial_proof,revision_requested,client,47.4,4
PRF-0025,ORD-0129,AE-001,2026-03-25T10:18:00Z,initial_proof,revision_requested,client,76.7,5
PRF-0026,ORD-0049,AE-012,2026-03-27T18:34:00Z,digital_proof,revision_requested,ae,43.1,4
PRF-0027,ORD-0099,AE-009,2026-03-27T17:17:00Z,revision,approved,ae,55.8,4
PRF-0028,ORD-0179,AE-001,2026-03-28T16:45:00Z,digital_proof,approved,ae,29.9,2
PRF-0029,ORD-0142,AE-002,2026-02-25T08:34:00Z,revision,approved,ae,90.6,2
PRF-0030,ORD-0035,AE-005,2026-02-24T11:34:00Z,initial_proof,approved,production_manager,61.5,2
PRF-0031,ORD-0084,AE-002,2026-03-28T10:26:00Z,digital_proof,approved,client,60.8,0
PRF-0032,ORD-0092,AE-004,2026-02-26T12:01:00Z,digital_proof,pending,sales_manager,12.0,5
PRF-0033,ORD-0177,AE-007,2026-02-26T15:14:00Z,final_proof,approved,sales_manager,61.2,3
PRF-0034,ORD-0040,AE-008,2026-03-25T13:09:00Z,reprint_proof,approved,ae,45.2,1
PRF-0035,ORD-0049,AE-010,2026-02-27T18:18:00Z,initial_proof,approved,ae,78.8,5
PRF-0036,ORD-0156,AE-004,2026-02-24T09:27:00Z,revision,rejected,creative_director,11.4,4
PRF-0037,ORD-0036,AE-012,2026-02-24T14:24:00Z,initial_proof,approved,client,73.8,5
PRF-0038,ORD-0012,AE-003,2026-02-25T12:09:00Z,digital_proof,approved,client,92.0,0
PRF-0039,ORD-0139,AE-012,2026-02-26T11:08:00Z,reprint_proof,pending,creative_director,78.7,2
PRF-0040,ORD-0085,AE-008,2026-02-25T08:34:00Z,final_proof,pending,client,4.0,0
PRF-0041,ORD-0027,AE-009,2026-02-26T16:56:00Z,reprint_proof,approved,ae,4.3,3
PRF-0042,ORD-0099,AE-003,2026-03-26T11:58:00Z,reprint_proof,pending,client,48.2,0
PRF-0043,ORD-0058,AE-002,2026-03-26T09:39:00Z,final_proof,approved,client,86.2,4
PRF-0044,ORD-0039,AE-003,2026-03-27T17:11:00Z,reprint_proof,approved,production_manager,60.7,2
PRF-0045,ORD-0090,AE-002,2026-03-26T18:23:00Z,final_proof,pending,client,76.2,1
PRF-0046,ORD-0200,AE-011,2026-03-25T10:24:00Z,reprint_proof,pending,creative_director,78.6,0
PRF-0047,ORD-0148,AE-007,2026-02-26T09:20:00Z,revision,approved,creative_director,35.1,3
PRF-0048,ORD-0109,AE-008,2026-03-27T10:51:00Z,revision,approved,sales_manager,48.7,4
PRF-0049,ORD-0127,AE-009,2026-02-28T14:05:00Z,digital_proof,pending,sales_manager,56.3,5
PRF-0050,ORD-0192,AE-004,2026-02-24T13:00:00Z,revision,revision_requested,client,36.1,3
PRF-0051,ORD-0035,AE-002,2026-03-24T13:54:00Z,revision,approved,ae,80.5,4
PRF-0052,ORD-0108,AE-004,2026-02-25T08:47:00Z,revision,approved,ae,37.5,0
PRF-0053,ORD-0179,AE-007,2026-02-26T09:42:00Z,digital_proof,approved,sales_manager,83.8,0
PRF-0054,ORD-0038,AE-006,2026-02-25T11:04:00Z,initial_proof,rejected,creative_director,16.1,1
PRF-0055,ORD-0121,AE-012,2026-03-25T15:26:00Z,final_proof,rejected,client,29.0,1
PRF-0056,ORD-0016,AE-011,2026-02-24T16:10:00Z,initial_proof,approved,creative_director,65.9,3
PRF-0057,ORD-0142,AE-012,2026-03-26T11:27:00Z,revision,approved,client,51.0,1
PRF-0058,ORD-0191,AE-004,2026-02-27T11:25:00Z,revision,pending,sales_manager,58.9,0
PRF-0059,ORD-0178,AE-008,2026-03-27T18:41:00Z,reprint_proof,pending,ae,7.1,2
PRF-0060,ORD-0166,AE-007,2026-03-25T09:06:00Z,initial_proof,approved,production_manager,4.6,2
PRF-0061,ORD-0042,AE-009,2026-02-24T11:38:00Z,initial_proof,pending,production_manager,19.6,1
PRF-0062,ORD-0164,AE-001,2026-03-25T09:36:00Z,digital_proof,approved,creative_director,6.3,2
PRF-0063,ORD-0024,AE-005,2026-03-24T12:25:00Z,digital_proof,approved,creative_director,70.2,1
PRF-0064,ORD-0180,AE-011,2026-03-24T14:57:00Z,digital_proof,approved,ae,4.2,3
PRF-0065,ORD-0123,AE-010,2026-03-24T10:09:00Z,reprint_proof,approved,client,91.6,1
PRF-0066,ORD-0056,AE-011,2026-02-25T16:33:00Z,digital_proof,pending,production_manager,44.1,1
PRF-0067,ORD-0087,AE-005,2026-03-26T08:57:00Z,reprint_proof,approved,sales_manager,59.0,1
PRF-0068,ORD-0146,AE-011,2026-02-27T08:09:00Z,final_proof,rejected,client,48.9,3
PRF-0069,ORD-0081,AE-003,2026-02-26T09:17:00Z,digital_proof,approved,client,8.7,5
PRF-0070,ORD-0198,AE-008,2026-03-26T12:48:00Z,reprint_proof,pending,ae,90.3,4
PRF-0071,ORD-0125,AE-001,2026-03-26T14:26:00Z,digital_proof,revision_requested,ae,43.4,4
PRF-0072,ORD-0160,AE-006,2026-02-26T18:26:00Z,digital_proof,rejected,client,60.3,5
PRF-0073,ORD-0015,AE-012,2026-02-25T10:54:00Z,initial_proof,approved,ae,55.6,0
PRF-0074,ORD-0058,AE-007,2026-02-27T13:29:00Z,reprint_proof,pending,creative_director,12.3,1
PRF-0075,ORD-0188,AE-002,2026-03-27T11:25:00Z,final_proof,approved,production_manager,95.7,3
PRF-0076,ORD-0055,AE-012,2026-02-27T12:29:00Z,initial_proof,rejected,creative_director,15.7,1
PRF-0077,ORD-0082,AE-010,2026-03-24T08:59:00Z,final_proof,pending,creative_director,22.1,1
PRF-0078,ORD-0006,AE-011,2026-03-27T12:40:00Z,revision,approved,client,27.7,0
PRF-0079,ORD-0077,AE-012,2026-03-27T16:13:00Z,final_proof,approved,client,10.7,3
PRF-0080,ORD-0088,AE-005,2026-02-25T13:26:00Z,reprint_proof,rejected,ae,92.8,3
PRF-0081,ORD-0091,AE-012,2026-03-28T08:35:00Z,digital_proof,approved,sales_manager,60.0,2
PRF-0082,ORD-0171,AE-012,2026-02-26T10:57:00Z,reprint_proof,revision_requested,creative_director,83.2,0
PRF-0083,ORD-0173,AE-007,2026-02-26T15:53:00Z,revision,pending,sales_manager,11.2,1
PRF-0084,ORD-0191,AE-004,2026-02-27T17:24:00Z,revision,approved,ae,93.3,4
PRF-0085,ORD-0004,AE-006,2026-02-26T12:57:00Z,final_proof,rejected,client,67.7,5
PRF-0086,ORD-0117,AE-007,2026-03-27T13:53:00Z,digital_proof,rejected,production_manager,12.7,1
PRF-0087,ORD-0118,AE-007,2026-02-26T16:38:00Z,revision,rejected,creative_director,28.8,5
PRF-0088,ORD-0177,AE-011,2026-03-27T17:59:00Z,initial_proof,revision_requested,client,10.4,0
PRF-0089,ORD-0158,AE-007,2026-03-24T17:59:00Z,digital_proof,approved,creative_director,49.3,0
PRF-0090,ORD-0171,AE-005,2026-02-27T11:49:00Z,reprint_proof,rejected,client,20.4,3
PRF-0091,ORD-0032,AE-006,2026-03-27T18:45:00Z,reprint_proof,approved,production_manager,75.5,4
PRF-0092,ORD-0073,AE-005,2026-03-26T14:43:00Z,revision,approved,creative_director,5.1,0
PRF-0093,ORD-0040,AE-006,2026-03-28T13:10:00Z,digital_proof,revision_requested,ae,54.2,3
PRF-0094,ORD-0050,AE-010,2026-02-27T17:27:00Z,revision,revision_requested,creative_director,93.9,1
PRF-0095,ORD-0104,AE-006,2026-02-28T14:14:00Z,initial_proof,pending,ae,49.4,5
PRF-0096,ORD-0148,AE-007,2026-02-26T13:13:00Z,initial_proof,approved,creative_director,3.1,4
PRF-0097,ORD-0040,AE-001,2026-02-28T17:24:00Z,initial_proof,pending,ae,94.4,5
PRF-0098,ORD-0162,AE-006,2026-02-25T18:57:00Z,revision,approved,sales_manager,81.0,5
PRF-0099,ORD-0200,AE-007,2026-02-26T12:05:00Z,revision,pending,sales_manager,83.5,0
PRF-0100,ORD-0118,AE-010,2026-02-24T10:18:00Z,final_proof,revision_requested,client,9.3,2
