wo_id,campaign_id,unit_id,timestamp,wo_type,posting_instructions,vendor_id,install_status,doc_time_min
WO-0001,CMP-014,UNIT-026,2026-03-24T06:26:00Z,initial_posting,transit_wrap,VND-011,completed,58
WO-0002,CMP-027,UNIT-025,2026-03-26T08:11:00Z,rotation,standard_vinyl,VND-015,completed,51
WO-0003,CMP-039,UNIT-055,2026-02-24T11:22:00Z,replacement,shelter_insert,VND-010,completed,25
WO-0004,CMP-034,UNIT-048,2026-02-26T09:38:00Z,initial_posting,shelter_insert,VND-001,completed,63
WO-0005,CMP-010,UNIT-014,2026-02-26T09:01:00Z,rotation,backlit_vinyl,VND-004,completed,59
WO-0006,CMP-009,UNIT-018,2026-03-26T09:05:00Z,rotation,poster_standard,VND-009,in_progress,44
WO-0007,CMP-032,UNIT-028,2026-03-28T09:16:00Z,takedown,backlit_vinyl,VND-011,scheduled,60
WO-0008,CMP-018,UNIT-026,2026-03-24T08:50:00Z,takedown,poster_standard,VND-008,completed,43
WO-0009,CMP-028,UNIT-039,2026-03-26T15:06:00Z,maintenance,transit_wrap,VND-007,completed,37
WO-0010,CMP-024,UNIT-058,2026-03-24T08:56:00Z,initial_posting,shelter_insert,VND-005,in_progress,33
WO-0011,CMP-039,UNIT-053,2026-03-28T12:01:00Z,initial_posting,backlit_vinyl,VND-013,completed,65
WO-0012,CMP-012,UNIT-023,2026-02-25T09:42:00Z,rotation,digital_upload,VND-003,scheduled,22
WO-0013,CMP-001,UNIT-021,2026-03-24T09:29:00Z,maintenance,digital_upload,VND-015,completed,19
WO-0014,CMP-025,UNIT-019,2026-02-28T14:13:00Z,initial_posting,shelter_insert,VND-005,scheduled,57
WO-0015,CMP-005,UNIT-037,2026-03-27T11:52:00Z,rotation,backlit_vinyl,VND-004,completed,46
WO-0016,CMP-032,UNIT-003,2026-03-26T07:07:00Z,replacement,backlit_vinyl,VND-010,completed,39
WO-0017,CMP-016,UNIT-037,2026-03-24T06:41:00Z,maintenance,standard_vinyl,VND-015,completed,23
WO-0018,CMP-026,UNIT-003,2026-02-28T11:41:00Z,initial_posting,standard_vinyl,VND-008,completed,41
