pacing_id,campaign_id,timestamp,impressions_delivered,impressions_target,spend_pct,pacing_status
PAC-0001,CMP-010,2026-03-21T18:41:00Z,304385,269204,56.7,over_delivering
PAC-0002,CMP-007,2026-03-20T04:39:00Z,291582,375016,35.2,under_delivering
PAC-0003,CMP-001,2026-03-20T10:39:00Z,95017,181040,70.7,under_delivering
PAC-0004,CMP-048,2026-03-20T23:38:00Z,413342,464124,65.9,on_pace
PAC-0005,CMP-015,2026-03-20T14:23:00Z,453114,429091,41.4,over_delivering
PAC-0006,CMP-020,2026-03-21T04:18:00Z,89928,83980,43.5,over_delivering
PAC-0007,CMP-025,2026-03-22T19:28:00Z,176385,176816,93.2,on_pace
PAC-0008,CMP-010,2026-03-22T10:55:00Z,77917,133501,76.9,under_delivering
PAC-0009,CMP-011,2026-03-20T21:43:00Z,276272,263042,94.7,over_delivering
PAC-0010,CMP-007,2026-03-21T08:56:00Z,341580,425377,76.5,under_delivering
PAC-0011,CMP-005,2026-03-22T00:28:00Z,308368,302081,33.9,on_pace
PAC-0012,CMP-014,2026-03-22T01:23:00Z,243194,259416,63.3,on_pace
PAC-0013,CMP-001,2026-03-20T03:09:00Z,294920,494108,83.6,under_delivering
PAC-0014,CMP-010,2026-03-22T05:23:00Z,237802,266474,39.2,on_pace
PAC-0015,CMP-003,2026-03-20T08:06:00Z,196605,223028,34.8,on_pace
PAC-0016,CMP-003,2026-03-20T08:21:00Z,187796,204818,51.5,on_pace
PAC-0017,CMP-030,2026-03-22T08:38:00Z,66745,68740,39.6,on_pace
PAC-0018,CMP-025,2026-03-21T18:23:00Z,262354,424238,91.4,under_delivering
PAC-0019,CMP-008,2026-03-21T15:45:00Z,253944,280614,40.0,on_pace
PAC-0020,CMP-014,2026-03-20T19:18:00Z,149101,251445,44.8,under_delivering
PAC-0021,CMP-006,2026-03-21T04:37:00Z,33489,56326,76.9,under_delivering
PAC-0022,CMP-004,2026-03-21T15:39:00Z,157360,139343,71.9,over_delivering
PAC-0023,CMP-004,2026-03-21T16:23:00Z,260343,248169,61.5,on_pace
PAC-0024,CMP-004,2026-03-21T05:30:00Z,102324,249162,91.6,under_delivering
PAC-0025,CMP-032,2026-03-20T07:09:00Z,167799,195917,77.4,on_pace
PAC-0026,CMP-020,2026-03-21T15:29:00Z,377993,348533,88.9,over_delivering
PAC-0027,CMP-015,2026-03-22T07:47:00Z,105060,156184,32.1,under_delivering
PAC-0028,CMP-037,2026-03-22T02:17:00Z,381312,340080,85.0,over_delivering
PAC-0029,CMP-007,2026-03-20T14:36:00Z,189959,324175,46.6,under_delivering
PAC-0030,CMP-010,2026-03-22T07:14:00Z,386065,411568,41.5,on_pace
PAC-0031,CMP-030,2026-03-22T08:05:00Z,238489,439603,84.0,under_delivering
PAC-0032,CMP-014,2026-03-22T09:03:00Z,90688,158911,68.1,under_delivering
PAC-0033,CMP-002,2026-03-20T17:56:00Z,201485,459685,81.4,under_delivering
PAC-0034,CMP-003,2026-03-20T14:05:00Z,164183,299579,65.3,under_delivering
PAC-0035,CMP-003,2026-03-21T18:00:00Z,256411,354985,88.8,under_delivering
PAC-0036,CMP-002,2026-03-22T06:37:00Z,413963,472453,79.1,on_pace
PAC-0037,CMP-030,2026-03-21T19:17:00Z,269222,308266,51.4,on_pace
PAC-0038,CMP-032,2026-03-22T09:16:00Z,193057,329020,47.9,under_delivering
PAC-0039,CMP-032,2026-03-22T14:07:00Z,495492,446682,61.7,over_delivering
PAC-0040,CMP-004,2026-03-21T15:10:00Z,64563,143740,58.1,under_delivering
PAC-0041,CMP-015,2026-03-21T10:40:00Z,329748,410164,41.9,under_delivering
PAC-0042,CMP-012,2026-03-20T06:19:00Z,196937,313077,79.8,under_delivering
PAC-0043,CMP-009,2026-03-21T19:13:00Z,315802,349372,51.0,on_pace
PAC-0044,CMP-054,2026-03-20T05:39:00Z,205787,397388,92.2,under_delivering
PAC-0045,CMP-008,2026-03-22T13:49:00Z,259404,430878,90.6,under_delivering
PAC-0046,CMP-015,2026-03-21T11:09:00Z,136920,210553,53.0,under_delivering
PAC-0047,CMP-002,2026-03-21T13:36:00Z,249157,256329,30.4,on_pace
PAC-0048,CMP-006,2026-03-21T11:41:00Z,238459,472246,59.7,under_delivering
PAC-0049,CMP-014,2026-03-22T06:13:00Z,372289,397107,49.2,on_pace
PAC-0050,CMP-037,2026-03-21T12:20:00Z,280915,342588,43.0,under_delivering
PAC-0051,CMP-004,2026-03-21T08:06:00Z,51841,89021,51.2,under_delivering
PAC-0052,CMP-011,2026-03-22T15:02:00Z,411130,459588,74.7,on_pace
PAC-0053,CMP-003,2026-03-20T08:38:00Z,243410,357292,36.6,under_delivering
PAC-0054,CMP-030,2026-03-22T11:28:00Z,96181,199021,38.7,under_delivering
PAC-0055,CMP-037,2026-03-22T13:52:00Z,136758,129572,68.3,over_delivering
PAC-0056,CMP-005,2026-03-20T14:15:00Z,184063,221883,79.6,under_delivering
PAC-0057,CMP-004,2026-03-21T22:01:00Z,121057,123645,34.4,on_pace
PAC-0058,CMP-010,2026-03-22T10:54:00Z,258258,239388,59.0,over_delivering
PAC-0059,CMP-015,2026-03-21T14:14:00Z,195849,291593,42.9,under_delivering
PAC-0060,CMP-030,2026-03-21T19:47:00Z,31388,62131,71.7,under_delivering
PAC-0061,CMP-013,2026-03-21T01:53:00Z,145599,327032,94.3,under_delivering
PAC-0062,CMP-006,2026-03-21T01:32:00Z,302341,468527,65.0,under_delivering
PAC-0063,CMP-037,2026-03-22T02:47:00Z,73837,89611,93.3,under_delivering
PAC-0064,CMP-005,2026-03-20T16:54:00Z,231232,496423,90.0,under_delivering
PAC-0065,CMP-020,2026-03-20T21:27:00Z,290905,478739,59.3,under_delivering
PAC-0066,CMP-011,2026-03-20T20:21:00Z,47343,88286,67.4,under_delivering
PAC-0067,CMP-012,2026-03-22T23:52:00Z,295252,276700,56.1,over_delivering
PAC-0068,CMP-007,2026-03-21T00:00:00Z,107874,168085,39.8,under_delivering
PAC-0069,CMP-006,2026-03-22T10:34:00Z,258155,289994,43.0,on_pace
PAC-0070,CMP-048,2026-03-22T18:09:00Z,145991,149010,43.4,on_pace
PAC-0071,CMP-002,2026-03-22T19:54:00Z,69595,70684,65.1,on_pace
PAC-0072,CMP-037,2026-03-21T07:42:00Z,87914,159475,40.6,under_delivering
PAC-0073,CMP-025,2026-03-20T11:01:00Z,129094,121991,91.4,over_delivering
PAC-0074,CMP-054,2026-03-20T14:55:00Z,457923,440040,43.6,paused
PAC-0075,CMP-002,2026-03-21T06:13:00Z,311310,454217,82.9,under_delivering
PAC-0076,CMP-015,2026-03-22T18:46:00Z,157597,320792,79.2,under_delivering
PAC-0077,CMP-003,2026-03-22T19:22:00Z,507963,443049,57.0,over_delivering
PAC-0078,CMP-007,2026-03-22T11:30:00Z,143681,183842,91.4,paused
PAC-0079,CMP-054,2026-03-21T12:54:00Z,68241,102463,91.5,under_delivering
PAC-0080,CMP-001,2026-03-22T09:14:00Z,193507,417638,71.8,under_delivering
