status_id,order_id,campaign_id,timestamp,creative_status,proof_stage,days_pending,blocker_type
CST-0001,ORD-0121,CMP-002,2026-03-21T18:57:00Z,approved,round_2,0,none
CST-0002,ORD-0064,CMP-012,2026-03-22T08:08:00Z,approved,round_2,0,none
CST-0003,ORD-0178,CMP-031,2026-03-20T08:38:00Z,in_production,round_3,0,art_revision
CST-0004,ORD-0159,CMP-027,2026-03-20T14:11:00Z,pending_approval,pre_flight,2,approval_chain
CST-0005,ORD-0172,CMP-012,2026-03-21T09:50:00Z,pending_approval,final,3,art_revision
CST-0006,ORD-0104,CMP-024,2026-03-21T17:20:00Z,pending_approval,initial,5,none
CST-0007,ORD-0121,CMP-003,2026-03-22T10:58:00Z,approved,pre_flight,0,none
CST-0008,ORD-0097,CMP-039,2026-03-22T16:10:00Z,pending_approval,initial,5,client_review
CST-0009,ORD-0024,CMP-027,2026-03-20T09:30:00Z,approved,final,0,none
CST-0010,ORD-0138,CMP-029,2026-03-20T17:51:00Z,revision_requested,round_3,7,spec_mismatch
CST-0011,ORD-0066,CMP-009,2026-03-21T18:34:00Z,approved,pre_flight,0,none
CST-0012,ORD-0172,CMP-007,2026-03-21T15:47:00Z,in_production,pre_flight,0,client_review
CST-0013,ORD-0033,CMP-015,2026-03-22T10:51:00Z,delivered,round_2,0,none
CST-0014,ORD-0169,CMP-006,2026-03-22T09:45:00Z,approved,pre_flight,0,none
CST-0015,ORD-0027,CMP-016,2026-03-20T12:11:00Z,in_production,round_3,0,art_revision
CST-0016,ORD-0182,CMP-030,2026-03-22T17:33:00Z,approved,round_3,0,none
CST-0017,ORD-0195,CMP-009,2026-03-21T14:23:00Z,revision_requested,pre_flight,11,none
CST-0018,ORD-0192,CMP-025,2026-03-22T08:50:00Z,pending_approval,round_2,0,client_review
CST-0019,ORD-0163,CMP-003,2026-03-20T10:25:00Z,approved,pre_flight,0,none
CST-0020,ORD-0124,CMP-031,2026-03-21T11:40:00Z,delivered,pre_flight,0,none
CST-0021,ORD-0104,CMP-029,2026-03-20T15:39:00Z,approved,final,0,none
CST-0022,ORD-0031,CMP-018,2026-03-22T16:59:00Z,approved,round_2,0,none
CST-0023,ORD-0066,CMP-022,2026-03-21T16:29:00Z,revision_requested,round_3,12,vendor_delay
CST-0024,ORD-0068,CMP-005,2026-03-21T14:41:00Z,pending_approval,pre_flight,2,none
CST-0025,ORD-0059,CMP-030,2026-03-20T09:35:00Z,in_production,round_2,0,art_revision
CST-0026,ORD-0079,CMP-029,2026-03-21T16:05:00Z,rejected,pre_flight,0,client_review
CST-0027,ORD-0102,CMP-033,2026-03-20T10:53:00Z,revision_requested,initial,3,approval_chain
CST-0028,ORD-0191,CMP-023,2026-03-22T17:49:00Z,pending_approval,pre_flight,8,none
CST-0029,ORD-0137,CMP-024,2026-03-22T11:44:00Z,delivered,pre_flight,0,none
CST-0030,ORD-0043,CMP-024,2026-03-20T09:43:00Z,pending_approval,pre_flight,3,approval_chain
CST-0031,ORD-0039,CMP-035,2026-03-22T14:54:00Z,pending_approval,initial,6,art_revision
CST-0032,ORD-0100,CMP-034,2026-03-21T15:29:00Z,approved,round_3,0,none
CST-0033,ORD-0001,CMP-005,2026-03-21T16:42:00Z,approved,pre_flight,0,none
