impression_id,campaign_id,unit_id,timestamp,impressions_count,dwell_time_sec,audience_segment
IMP-0001,CMP-021,UNIT-048,2026-03-21T22:21:00Z,778,9.0,families
IMP-0002,CMP-021,UNIT-058,2026-03-20T23:39:00Z,585,10.1,business_travelers
IMP-0003,CMP-032,UNIT-058,2026-03-21T05:20:00Z,1146,10.8,affluent_55_plus
IMP-0004,CMP-010,UNIT-059,2026-03-21T07:33:00Z,2810,6.6,tourists
IMP-0005,CMP-005,UNIT-042,2026-03-21T11:50:00Z,665,9.1,students
IMP-0006,CMP-004,UNIT-048,2026-03-20T12:40:00Z,106,5.3,urban_millennials
IMP-0007,CMP-036,UNIT-014,2026-03-21T15:31:00Z,743,8.0,business_travelers
IMP-0008,CMP-013,UNIT-059,2026-03-22T08:18:00Z,1048,9.4,business_travelers
IMP-0009,CMP-034,UNIT-054,2026-03-21T12:50:00Z,870,6.2,commuters_18_34
IMP-0010,CMP-020,UNIT-026,2026-03-20T09:18:00Z,903,2.3,affluent_55_plus
IMP-0011,CMP-006,UNIT-032,2026-03-21T09:28:00Z,3363,5.8,families
IMP-0012,CMP-039,UNIT-042,2026-03-21T08:59:00Z,1920,6.6,business_travelers
IMP-0013,CMP-039,UNIT-042,2026-03-21T10:37:00Z,363,5.2,commuters_18_34
IMP-0014,CMP-008,UNIT-004,2026-03-21T22:30:00Z,855,3.4,affluent_55_plus
IMP-0015,CMP-036,UNIT-002,2026-03-22T18:41:00Z,2126,6.0,students
IMP-0016,CMP-040,UNIT-004,2026-03-22T14:20:00Z,180,10.8,commuters_18_34
IMP-0017,CMP-009,UNIT-048,2026-03-20T07:08:00Z,1420,3.0,families
IMP-0018,CMP-016,UNIT-008,2026-03-21T16:21:00Z,1132,6.1,commuters_35_54
IMP-0019,CMP-032,UNIT-034,2026-03-22T06:33:00Z,952,8.4,affluent_55_plus
IMP-0020,CMP-010,UNIT-055,2026-03-20T11:28:00Z,425,3.2,tourists
IMP-0021,CMP-015,UNIT-022,2026-03-20T22:01:00Z,207,8.4,business_travelers
IMP-0022,CMP-031,UNIT-004,2026-03-20T12:48:00Z,576,11.5,families
IMP-0023,CMP-033,UNIT-029,2026-03-21T17:48:00Z,3398,8.7,commuters_18_34
