event_id,wo_id,unit_id,timestamp,event_type,crew_id,status,photo_uploaded,gps_lat,gps_lng
INS-0001,WO-0041,UNIT-056,2026-03-20T15:03:00Z,qc_check,CREW-010,completed,false,40.7614,-73.9782
INS-0002,WO-0094,UNIT-011,2026-03-22T09:15:00Z,posting_started,CREW-003,completed,false,41.9129,-87.6468
INS-0003,WO-0013,UNIT-026,2026-03-22T17:43:00Z,departure,CREW-007,completed,false,33.8347,-84.4017
INS-0004,WO-0040,UNIT-023,2026-03-20T17:27:00Z,photo_taken,CREW-008,completed,true,29.7361,-95.4599
INS-0005,WO-0045,UNIT-042,2026-03-22T07:21:00Z,issue_reported,CREW-002,completed,true,41.9006,-87.5818
INS-0006,WO-0008,UNIT-044,2026-03-21T07:10:00Z,crew_dispatched,CREW-009,completed,false,34.0306,-118.29
INS-0007,WO-0073,UNIT-037,2026-03-21T07:11:00Z,posting_completed,CREW-010,completed,true,40.7535,-73.9515
INS-0008,WO-0013,UNIT-056,2026-03-22T08:38:00Z,qc_check,CREW-010,completed,false,40.7846,-73.9637
INS-0009,WO-0065,UNIT-010,2026-03-21T06:39:00Z,crew_dispatched,CREW-009,pending,false,41.852,-87.5866
INS-0010,WO-0120,UNIT-019,2026-03-20T11:43:00Z,posting_started,CREW-010,completed,false,29.7598,-95.3793
INS-0011,WO-0079,UNIT-059,2026-03-21T13:59:00Z,departure,CREW-008,failed,false,33.7565,-84.3954
INS-0012,WO-0019,UNIT-016,2026-03-21T09:50:00Z,departure,CREW-001,completed,false,34.0921,-118.2878
INS-0013,WO-0117,UNIT-043,2026-03-22T15:06:00Z,arrived_on_site,CREW-006,failed,false,34.0702,-118.3457
INS-0014,WO-0097,UNIT-035,2026-03-22T09:18:00Z,qc_check,CREW-003,completed,true,28.5388,-81.4647
INS-0015,WO-0056,UNIT-025,2026-03-20T13:01:00Z,issue_reported,CREW-002,completed,false,33.7889,-84.3702
INS-0016,WO-0101,UNIT-050,2026-03-21T16:44:00Z,crew_dispatched,CREW-009,pending,true,33.7589,-84.3308
INS-0017,WO-0096,UNIT-058,2026-03-22T14:11:00Z,qc_check,CREW-001,completed,true,34.0303,-118.4124
INS-0018,WO-0069,UNIT-004,2026-03-22T12:47:00Z,posting_started,CREW-009,completed,false,40.7911,-74.0041
INS-0019,WO-0024,UNIT-058,2026-03-20T17:20:00Z,arrived_on_site,CREW-004,completed,false,34.0613,-118.441
INS-0020,WO-0049,UNIT-014,2026-03-22T07:59:00Z,photo_taken,CREW-001,failed,true,34.066,-118.267
INS-0021,WO-0043,UNIT-012,2026-03-21T09:23:00Z,departure,CREW-001,completed,false,41.9022,-87.6542
INS-0022,WO-0119,UNIT-028,2026-03-22T15:45:00Z,photo_taken,CREW-004,failed,true,33.8153,-84.3286
INS-0023,WO-0053,UNIT-045,2026-03-20T12:52:00Z,departure,CREW-007,completed,false,34.0817,-118.3524
INS-0024,WO-0077,UNIT-001,2026-03-22T17:25:00Z,crew_dispatched,CREW-008,completed,false,40.7071,-74.0031
INS-0025,WO-0021,UNIT-058,2026-03-21T07:11:00Z,qc_check,CREW-003,failed,false,34.0681,-118.2639
INS-0026,WO-0051,UNIT-019,2026-03-22T10:18:00Z,photo_taken,CREW-002,in_progress,true,29.7495,-95.3229
INS-0027,WO-0026,UNIT-006,2026-03-22T13:12:00Z,posting_started,CREW-009,failed,false,40.7109,-73.9963
INS-0028,WO-0107,UNIT-025,2026-03-20T07:48:00Z,arrived_on_site,CREW-004,completed,false,33.8238,-84.3758
INS-0029,WO-0099,UNIT-003,2026-03-22T14:49:00Z,posting_completed,CREW-004,in_progress,true,40.7044,-74.0091
INS-0030,WO-0020,UNIT-022,2026-03-21T08:22:00Z,issue_reported,CREW-004,failed,true,29.748,-95.3106
INS-0031,WO-0065,UNIT-005,2026-03-20T08:40:00Z,posting_completed,CREW-006,in_progress,true,40.7439,-73.9577
INS-0032,WO-0009,UNIT-054,2026-03-20T15:33:00Z,photo_taken,CREW-009,completed,true,28.4594,-81.4865
INS-0033,WO-0015,UNIT-044,2026-03-20T12:33:00Z,crew_dispatched,CREW-010,in_progress,false,34.0322,-118.4423
INS-0034,WO-0116,UNIT-007,2026-03-22T09:00:00Z,departure,CREW-001,completed,false,41.9169,-87.668
INS-0035,WO-0029,UNIT-049,2026-03-22T06:36:00Z,arrived_on_site,CREW-001,in_progress,false,33.8437,-84.3555
INS-0036,WO-0037,UNIT-044,2026-03-22T12:28:00Z,posting_completed,CREW-008,in_progress,true,34.0345,-118.2524
INS-0037,WO-0059,UNIT-031,2026-03-20T13:34:00Z,qc_check,CREW-004,completed,false,28.3849,-81.3565
INS-0038,WO-0033,UNIT-057,2026-03-20T11:47:00Z,crew_dispatched,CREW-007,pending,true,41.886,-87.6089
INS-0039,WO-0070,UNIT-055,2026-03-20T12:08:00Z,qc_check,CREW-004,failed,false,40.7418,-73.966
INS-0040,WO-0057,UNIT-025,2026-03-21T11:21:00Z,qc_check,CREW-007,completed,false,33.7746,-84.3487
