avail_id,unit_id,market_id,timestamp,availability_status,hold_type,campaign_id,days_available
AVL-0001,UNIT-021,MKT-004,2026-03-20T13:51:00Z,available,none,,84
AVL-0002,UNIT-031,MKT-006,2026-03-21T13:13:00Z,available,none,,49
AVL-0003,UNIT-036,MKT-006,2026-03-22T16:34:00Z,maintenance,none,,0
AVL-0004,UNIT-005,MKT-001,2026-03-20T16:08:00Z,maintenance,none,,0
AVL-0005,UNIT-010,MKT-002,2026-03-20T13:32:00Z,offline,none,,0
AVL-0006,UNIT-005,MKT-001,2026-03-22T08:15:00Z,booked,none,CMP-027,0
AVL-0007,UNIT-054,MKT-006,2026-03-22T11:14:00Z,booked,none,CMP-027,0
AVL-0008,UNIT-004,MKT-001,2026-03-21T06:55:00Z,held,short_term,CMP-002,0
AVL-0009,UNIT-013,MKT-003,2026-03-22T17:59:00Z,held,short_term,CMP-039,0
AVL-0010,UNIT-054,MKT-006,2026-03-20T17:58:00Z,available,none,,78
AVL-0011,UNIT-051,MKT-005,2026-03-22T12:41:00Z,maintenance,none,,0
AVL-0012,UNIT-041,MKT-002,2026-03-20T09:38:00Z,held,short_term,CMP-005,0
AVL-0013,UNIT-028,MKT-005,2026-03-22T06:26:00Z,available,none,,10
AVL-0014,UNIT-046,MKT-004,2026-03-20T18:41:00Z,available,none,,35
AVL-0015,UNIT-026,MKT-005,2026-03-21T13:41:00Z,booked,none,CMP-022,0
AVL-0016,UNIT-020,MKT-004,2026-03-22T15:20:00Z,maintenance,none,,0
AVL-0017,UNIT-055,MKT-001,2026-03-21T14:31:00Z,held,long_term,CMP-036,0
AVL-0018,UNIT-060,MKT-006,2026-03-22T15:38:00Z,booked,none,CMP-037,0
AVL-0019,UNIT-009,MKT-002,2026-03-21T11:05:00Z,booked,none,CMP-022,0
AVL-0020,UNIT-035,MKT-006,2026-03-22T15:40:00Z,available,none,,80
AVL-0021,UNIT-018,MKT-003,2026-03-21T10:38:00Z,held,out_of_market,CMP-021,0
AVL-0022,UNIT-059,MKT-005,2026-03-20T15:12:00Z,held,out_of_market,CMP-013,0
AVL-0023,UNIT-053,MKT-006,2026-03-21T14:43:00Z,held,out_of_market,CMP-039,0
AVL-0024,UNIT-028,MKT-005,2026-03-22T16:12:00Z,booked,none,CMP-009,0
AVL-0025,UNIT-052,MKT-006,2026-03-22T10:12:00Z,booked,none,CMP-024,0
AVL-0026,UNIT-046,MKT-004,2026-03-22T14:20:00Z,available,none,,59
AVL-0027,UNIT-038,MKT-001,2026-03-22T08:07:00Z,booked,none,CMP-019,0
AVL-0028,UNIT-041,MKT-002,2026-03-20T09:38:00Z,booked,none,CMP-022,0
AVL-0029,UNIT-012,MKT-002,2026-03-22T18:31:00Z,held,short_term,CMP-031,0
AVL-0030,UNIT-046,MKT-004,2026-03-21T15:29:00Z,held,in_market,CMP-017,0
AVL-0031,UNIT-039,MKT-001,2026-03-20T10:07:00Z,offline,none,,0
AVL-0032,UNIT-053,MKT-006,2026-03-22T12:00:00Z,available,none,,32
AVL-0033,UNIT-060,MKT-006,2026-03-21T13:59:00Z,offline,none,,0
AVL-0034,UNIT-038,MKT-001,2026-03-21T14:36:00Z,held,out_of_market,CMP-004,0
AVL-0035,UNIT-028,MKT-005,2026-03-22T13:38:00Z,available,none,,55
AVL-0036,UNIT-025,MKT-005,2026-03-21T07:08:00Z,available,none,,46
AVL-0037,UNIT-049,MKT-005,2026-03-20T06:54:00Z,available,none,,13
AVL-0038,UNIT-036,MKT-006,2026-03-22T10:08:00Z,booked,none,CMP-028,0
AVL-0039,UNIT-014,MKT-003,2026-03-20T16:36:00Z,available,none,,14
AVL-0040,UNIT-022,MKT-004,2026-03-22T17:17:00Z,available,none,,30
AVL-0041,UNIT-015,MKT-003,2026-03-20T15:38:00Z,booked,none,CMP-018,0
AVL-0042,UNIT-060,MKT-006,2026-03-22T11:53:00Z,available,none,,2
AVL-0043,UNIT-036,MKT-006,2026-03-22T11:48:00Z,available,none,,49
AVL-0044,UNIT-014,MKT-003,2026-03-22T15:01:00Z,offline,none,,0
AVL-0045,UNIT-006,MKT-001,2026-03-22T17:39:00Z,offline,none,,0
AVL-0046,UNIT-018,MKT-003,2026-03-21T07:06:00Z,available,none,,52
AVL-0047,UNIT-015,MKT-003,2026-03-20T13:39:00Z,available,none,,22
AVL-0048,UNIT-059,MKT-005,2026-03-20T10:06:00Z,available,none,,85
AVL-0049,UNIT-020,MKT-004,2026-03-21T15:55:00Z,booked,none,CMP-025,0
AVL-0050,UNIT-029,MKT-005,2026-03-20T09:06:00Z,booked,none,CMP-027,0
AVL-0051,UNIT-046,MKT-004,2026-03-21T13:09:00Z,booked,none,CMP-025,0
AVL-0052,UNIT-055,MKT-001,2026-03-22T18:24:00Z,available,none,,34
AVL-0053,UNIT-014,MKT-003,2026-03-22T13:27:00Z,booked,none,CMP-034,0
AVL-0054,UNIT-022,MKT-004,2026-03-21T06:31:00Z,held,short_term,CMP-029,0
AVL-0055,UNIT-039,MKT-001,2026-03-20T11:09:00Z,booked,none,CMP-039,0
AVL-0056,UNIT-054,MKT-006,2026-03-22T16:24:00Z,available,none,,51
AVL-0057,UNIT-014,MKT-003,2026-03-20T11:22:00Z,held,in_market,CMP-019,0
AVL-0058,UNIT-058,MKT-003,2026-03-20T12:38:00Z,maintenance,none,,0
AVL-0059,UNIT-002,MKT-001,2026-03-22T15:15:00Z,booked,none,CMP-005,0
AVL-0060,UNIT-029,MKT-005,2026-03-22T18:01:00Z,held,out_of_market,CMP-024,0
AVL-0061,UNIT-025,MKT-005,2026-03-20T13:27:00Z,booked,none,CMP-028,0
AVL-0062,UNIT-006,MKT-001,2026-03-21T10:22:00Z,available,none,,46
AVL-0063,UNIT-059,MKT-005,2026-03-21T13:10:00Z,available,none,,74
AVL-0064,UNIT-042,MKT-002,2026-03-22T15:33:00Z,booked,none,CMP-003,0
AVL-0065,UNIT-025,MKT-005,2026-03-21T06:48:00Z,available,none,,90
AVL-0066,UNIT-059,MKT-005,2026-03-20T07:39:00Z,booked,none,CMP-004,0
AVL-0067,UNIT-017,MKT-003,2026-03-20T14:59:00Z,available,none,,19
AVL-0068,UNIT-019,MKT-004,2026-03-20T12:17:00Z,maintenance,none,,0
AVL-0069,UNIT-012,MKT-002,2026-03-20T12:19:00Z,available,none,,8
AVL-0070,UNIT-015,MKT-003,2026-03-20T15:03:00Z,booked,none,CMP-012,0
AVL-0071,UNIT-019,MKT-004,2026-03-22T13:27:00Z,maintenance,none,,0
AVL-0072,UNIT-016,MKT-003,2026-03-20T18:12:00Z,booked,none,CMP-005,0
AVL-0073,UNIT-005,MKT-001,2026-03-20T10:52:00Z,booked,none,CMP-035,0
AVL-0074,UNIT-008,MKT-002,2026-03-21T14:48:00Z,held,in_market,CMP-010,0
AVL-0075,UNIT-035,MKT-006,2026-03-20T09:50:00Z,available,none,,21
AVL-0076,UNIT-050,MKT-005,2026-03-21T14:52:00Z,available,none,,64
AVL-0077,UNIT-058,MKT-003,2026-03-20T12:08:00Z,available,none,,60
AVL-0078,UNIT-010,MKT-002,2026-03-20T09:55:00Z,booked,none,CMP-024,0
AVL-0079,UNIT-037,MKT-001,2026-03-21T13:15:00Z,held,client_hold,CMP-016,0
AVL-0080,UNIT-011,MKT-002,2026-03-22T15:48:00Z,available,none,,48
