quality_id,inspection_id,supervisor_id,date,completeness_pct,photo_coverage_pct,defect_identification_rate
QI-0001,SI-0001,SUP-007,2026-02-24,94.5,88.0,0.92
QI-0002,SI-0002,SUP-007,2026-02-24,91.0,82.5,0.88
QI-0003,SI-0003,SUP-004,2026-02-24,96.2,92.0,0.95
QI-0004,SI-0004,SUP-014,2026-02-24,88.5,78.0,0.85
QI-0005,SI-0005,SUP-009,2026-02-24,85.0,72.5,0.82
QI-0006,SI-0006,SUP-011,2026-02-24,92.8,86.0,0.90
QI-0007,SI-0007,SUP-013,2026-02-24,87.5,75.0,0.84
QI-0008,SI-0008,SUP-019,2026-02-24,97.0,95.0,0.96
QI-0009,SI-0009,SUP-025,2026-02-24,90.2,80.5,0.87
QI-0010,SI-0010,SUP-007,2026-02-25,93.0,85.0,0.90
QI-0011,SI-0011,SUP-003,2026-02-25,95.5,90.0,0.93
QI-0012,SI-0012,SUP-014,2026-02-25,86.8,74.0,0.83
QI-0013,SI-0013,SUP-011,2026-02-25,91.5,84.0,0.89
QI-0014,SI-0014,SUP-015,2026-02-25,89.0,78.5,0.86
QI-0015,SI-0015,SUP-019,2026-02-25,96.5,94.0,0.95
QI-0016,SI-0016,SUP-023,2026-02-25,82.0,68.0,0.78
QI-0017,SI-0017,SUP-007,2026-02-26,94.0,87.5,0.91
QI-0018,SI-0018,SUP-004,2026-02-26,95.8,91.0,0.94
QI-0019,SI-0019,SUP-006,2026-02-26,90.5,82.0,0.88
QI-0020,SI-0020,SUP-009,2026-02-26,88.2,76.0,0.85
QI-0021,SI-0021,SUP-010,2026-02-26,91.8,83.5,0.89
QI-0022,SI-0022,SUP-012,2026-02-26,93.5,88.0,0.91
QI-0023,SI-0023,SUP-017,2026-02-26,78.5,62.0,0.72
QI-0024,SI-0024,SUP-020,2026-02-26,95.2,90.5,0.93
QI-0025,SI-0025,SUP-025,2026-02-26,89.5,79.0,0.86
QI-0026,SI-0026,SUP-007,2026-02-27,96.8,94.5,0.96
QI-0027,SI-0027,SUP-003,2026-02-27,93.2,86.0,0.90
QI-0028,SI-0028,SUP-014,2026-02-27,87.0,75.5,0.84
QI-0029,SI-0029,SUP-011,2026-02-27,92.5,85.0,0.90
QI-0030,SI-0030,SUP-015,2026-02-27,84.5,70.0,0.80
QI-0031,SI-0031,SUP-019,2026-02-27,97.5,96.0,0.97
QI-0032,SI-0032,SUP-021,2026-02-27,80.0,64.0,0.75
QI-0033,SI-0033,SUP-023,2026-02-27,83.5,68.5,0.79
QI-0034,SI-0034,SUP-007,2026-02-28,94.2,88.0,0.92
QI-0035,SI-0035,SUP-007,2026-02-28,91.5,84.0,0.89
QI-0036,SI-0036,SUP-004,2026-02-28,96.0,92.5,0.95
QI-0037,SI-0037,SUP-006,2026-02-28,89.8,80.0,0.87
QI-0038,SI-0038,SUP-009,2026-02-28,90.0,81.0,0.88
QI-0039,SI-0039,SUP-010,2026-02-28,93.8,87.0,0.91
QI-0040,SI-0040,SUP-012,2026-02-28,86.5,73.5,0.83
QI-0041,SI-0041,SUP-017,2026-02-28,76.0,58.0,0.70
QI-0042,SI-0042,SUP-019,2026-02-28,97.2,95.5,0.96
QI-0043,SI-0043,SUP-022,2026-02-28,81.0,65.0,0.76
QI-0044,SI-0044,SUP-024,2026-02-28,85.5,72.0,0.82
QI-0045,SI-0045,SUP-025,2026-02-28,90.8,82.0,0.88
QI-0046,SI-0046,SUP-007,2026-03-02,93.5,86.5,0.91
QI-0047,SI-0047,SUP-003,2026-03-02,94.8,89.0,0.93
QI-0048,SI-0048,SUP-014,2026-03-02,87.5,76.0,0.84
QI-0049,SI-0049,SUP-011,2026-03-02,92.0,84.5,0.89
QI-0050,SI-0050,SUP-013,2026-03-02,86.0,72.5,0.82
QI-0051,SI-0051,SUP-016,2026-03-02,88.5,78.0,0.85
QI-0052,SI-0052,SUP-019,2026-03-02,97.8,96.5,0.97
QI-0053,SI-0053,SUP-021,2026-03-02,79.0,62.0,0.74
QI-0054,SI-0054,SUP-023,2026-03-02,84.0,70.0,0.80
QI-0055,SI-0055,SUP-025,2026-03-02,91.2,83.0,0.89
QI-0056,SI-0056,SUP-007,2026-03-03,95.0,90.0,0.93
QI-0057,SI-0057,SUP-007,2026-03-03,93.8,87.5,0.92
QI-0058,SI-0058,SUP-004,2026-03-03,90.5,82.0,0.88
QI-0059,SI-0059,SUP-014,2026-03-03,88.0,76.5,0.85
QI-0060,SI-0060,SUP-009,2026-03-03,89.5,80.0,0.87
QI-0061,SI-0061,SUP-010,2026-03-03,92.2,85.0,0.90
QI-0062,SI-0062,SUP-012,2026-03-03,85.5,71.0,0.81
QI-0063,SI-0063,SUP-015,2026-03-03,88.0,77.0,0.85
QI-0064,SI-0064,SUP-018,2026-03-03,91.8,84.5,0.89
QI-0065,SI-0065,SUP-020,2026-03-03,94.5,89.5,0.93
QI-0066,SI-0066,SUP-022,2026-03-03,80.5,63.0,0.75
QI-0067,SI-0067,SUP-024,2026-03-03,84.8,70.5,0.81
QI-0068,SI-0068,SUP-001,2026-03-04,95.5,91.0,0.94
QI-0069,SI-0069,SUP-003,2026-03-04,96.0,92.5,0.95
QI-0070,SI-0070,SUP-006,2026-03-04,89.0,79.0,0.86
QI-0071,SI-0071,SUP-009,2026-03-04,90.5,81.5,0.88
QI-0072,SI-0072,SUP-011,2026-03-04,93.0,86.0,0.91
QI-0073,SI-0073,SUP-013,2026-03-04,85.0,71.0,0.81
QI-0074,SI-0074,SUP-016,2026-03-04,87.5,76.0,0.84
QI-0075,SI-0075,SUP-019,2026-03-04,98.0,97.0,0.98
QI-0076,SI-0076,SUP-023,2026-03-04,83.0,67.5,0.79
QI-0077,SI-0077,SUP-025,2026-03-04,91.5,83.5,0.89
QI-0078,SI-0078,SUP-007,2026-03-05,93.8,87.0,0.91
QI-0079,SI-0079,SUP-004,2026-03-05,91.0,82.5,0.88
QI-0080,SI-0080,SUP-014,2026-03-05,87.8,76.5,0.85
QI-0081,SI-0081,SUP-010,2026-03-05,90.0,80.0,0.87
QI-0082,SI-0082,SUP-012,2026-03-05,94.0,89.0,0.92
QI-0083,SI-0083,SUP-015,2026-03-05,89.5,79.5,0.87
QI-0084,SI-0084,SUP-017,2026-03-05,77.5,60.0,0.71
QI-0085,SI-0085,SUP-019,2026-03-05,97.5,96.0,0.97
QI-0086,SI-0086,SUP-021,2026-03-05,80.5,64.5,0.76
QI-0087,SI-0087,SUP-024,2026-03-05,85.0,72.0,0.82
QI-0088,SI-0088,SUP-025,2026-03-05,90.5,81.5,0.88
QI-0089,SI-0089,SUP-007,2026-03-06,95.2,90.5,0.94
QI-0090,SI-0090,SUP-007,2026-03-06,92.5,85.5,0.90
QI-0091,SI-0091,SUP-003,2026-03-06,94.0,88.0,0.92
QI-0092,SI-0092,SUP-006,2026-03-06,86.5,73.0,0.83
QI-0093,SI-0093,SUP-009,2026-03-06,89.0,78.5,0.86
QI-0094,SI-0094,SUP-011,2026-03-06,92.8,86.0,0.91
QI-0095,SI-0095,SUP-013,2026-03-06,87.0,74.5,0.84
QI-0096,SI-0096,SUP-016,2026-03-06,88.0,77.0,0.85
QI-0097,SI-0097,SUP-018,2026-03-06,93.5,88.5,0.92
QI-0098,SI-0098,SUP-020,2026-03-06,95.0,91.0,0.94
QI-0099,SI-0099,SUP-022,2026-03-06,81.5,65.5,0.77
QI-0100,SI-0100,SUP-023,2026-03-06,84.5,70.0,0.80
QI-0101,SI-0101,SUP-007,2026-03-07,94.5,89.0,0.93
QI-0102,SI-0102,SUP-004,2026-03-07,95.8,92.0,0.95
QI-0103,SI-0103,SUP-014,2026-03-07,88.5,77.0,0.85
QI-0104,SI-0104,SUP-011,2026-03-07,93.2,87.0,0.91
QI-0105,SI-0105,SUP-012,2026-03-07,86.0,72.0,0.82
QI-0106,SI-0106,SUP-015,2026-03-07,89.8,80.0,0.87
QI-0107,SI-0107,SUP-019,2026-03-07,97.0,95.5,0.96
QI-0108,SI-0108,SUP-023,2026-03-07,83.5,68.0,0.79
QI-0109,SI-0109,SUP-025,2026-03-07,90.0,81.0,0.87
QI-0110,SI-0110,SUP-007,2026-03-09,93.0,86.0,0.91
QI-0111,SI-0111,SUP-003,2026-03-09,95.5,91.5,0.94
QI-0112,SI-0112,SUP-006,2026-03-09,90.2,82.0,0.88
QI-0113,SI-0113,SUP-009,2026-03-09,88.0,76.5,0.85
QI-0114,SI-0114,SUP-010,2026-03-09,91.5,83.5,0.89
QI-0115,SI-0115,SUP-013,2026-03-09,85.5,71.5,0.82
QI-0116,SI-0116,SUP-016,2026-03-09,87.0,75.0,0.84
QI-0117,SI-0117,SUP-017,2026-03-09,79.0,63.0,0.73
QI-0118,SI-0118,SUP-019,2026-03-09,98.0,97.5,0.98
QI-0119,SI-0119,SUP-021,2026-03-09,80.0,63.5,0.75
QI-0120,SI-0120,SUP-025,2026-03-09,91.0,82.5,0.88
QI-0121,SI-0121,SUP-007,2026-03-10,94.8,89.5,0.93
QI-0122,SI-0122,SUP-007,2026-03-10,92.0,85.0,0.89
QI-0123,SI-0123,SUP-004,2026-03-10,95.0,90.5,0.94
QI-0124,SI-0124,SUP-014,2026-03-10,89.0,78.0,0.86
QI-0125,SI-0125,SUP-009,2026-03-10,88.5,77.5,0.85
QI-0126,SI-0126,SUP-011,2026-03-10,92.5,85.5,0.90
QI-0127,SI-0127,SUP-012,2026-03-10,93.0,87.5,0.91
QI-0128,SI-0128,SUP-015,2026-03-10,90.5,81.0,0.88
QI-0129,SI-0129,SUP-018,2026-03-10,91.8,84.0,0.89
QI-0130,SI-0130,SUP-020,2026-03-10,94.5,90.0,0.93
QI-0131,SI-0131,SUP-022,2026-03-10,82.0,66.0,0.77
QI-0132,SI-0132,SUP-024,2026-03-10,85.0,71.0,0.81
QI-0133,SI-0133,SUP-025,2026-03-10,91.0,83.0,0.89
QI-0134,SI-0134,SUP-007,2026-03-11,93.5,87.0,0.91
QI-0135,SI-0135,SUP-003,2026-03-11,94.2,88.5,0.92
QI-0136,SI-0136,SUP-006,2026-03-11,89.5,79.0,0.87
QI-0137,SI-0137,SUP-011,2026-03-11,92.8,86.5,0.91
QI-0138,SI-0138,SUP-013,2026-03-11,86.5,73.0,0.83
QI-0139,SI-0139,SUP-015,2026-03-11,88.5,77.5,0.85
QI-0140,SI-0140,SUP-019,2026-03-11,97.0,95.0,0.96
QI-0141,SI-0141,SUP-023,2026-03-11,83.0,67.0,0.78
QI-0142,SI-0142,SUP-025,2026-03-11,90.5,82.0,0.88
QI-0143,SI-0143,SUP-007,2026-03-12,94.0,88.0,0.92
QI-0144,SI-0144,SUP-004,2026-03-12,95.5,91.0,0.94
QI-0145,SI-0145,SUP-014,2026-03-12,87.0,75.0,0.84
QI-0146,SI-0146,SUP-009,2026-03-12,89.8,79.5,0.87
QI-0147,SI-0147,SUP-010,2026-03-12,91.2,83.0,0.89
QI-0148,SI-0148,SUP-019,2026-03-12,96.8,94.5,0.96
QI-0149,SI-0149,SUP-024,2026-03-12,85.5,72.5,0.82
QI-0150,SI-0150,SUP-025,2026-03-12,92.0,85.0,0.90
