interaction_id,supervisor_id,timestamp,system,module,action,duration_ms,document_type
INT-0001,SUP-001,2026-02-24T07:15:22,Procore,Daily Log,create_entry,45200,daily_report
INT-0002,SUP-001,2026-02-24T07:22:45,Procore,Daily Log,add_photo,12300,photo_documentation
INT-0003,SUP-001,2026-02-24T07:35:10,Procore,Daily Log,add_weather,3200,weather_log
INT-0004,SUP-001,2026-02-24T08:10:30,PlanGrid,Drawings,markup_sheet,28500,drawing_markup
INT-0005,SUP-001,2026-02-24T08:45:15,Procore,RFI,create_rfi,62000,rfi_document
INT-0006,SUP-001,2026-02-24T09:30:00,Bluebeam,Review,annotate_plan,35800,plan_annotation
INT-0007,SUP-001,2026-02-24T10:15:22,Procore,Safety,log_observation,18500,safety_observation
INT-0008,SUP-001,2026-02-24T14:20:00,Autodesk Build,Model,clash_review,42000,clash_report
INT-0009,SUP-002,2026-02-24T07:20:15,Procore,Daily Log,create_entry,38500,daily_report
INT-0010,SUP-002,2026-02-24T07:30:00,Procore,Daily Log,add_crew_count,5200,crew_log
INT-0011,SUP-002,2026-02-24T08:00:30,PlanGrid,Drawings,view_sheet,8500,drawing_review
INT-0012,SUP-002,2026-02-24T08:45:22,Procore,Inspections,create_inspection,52000,inspection_report
INT-0013,SUP-002,2026-02-24T10:30:15,Procore,Submittals,review_submittal,35000,submittal_review
INT-0014,SUP-002,2026-02-24T13:15:00,Bluebeam,Review,compare_drawings,28000,drawing_comparison
INT-0015,SUP-003,2026-02-24T06:45:30,Procore,Daily Log,create_entry,48000,daily_report
INT-0016,SUP-003,2026-02-24T07:15:00,Procore,Daily Log,add_photo,15600,photo_documentation
INT-0017,SUP-003,2026-02-24T07:45:22,PlanGrid,Drawings,markup_sheet,32000,drawing_markup
INT-0018,SUP-003,2026-02-24T08:30:00,Procore,RFI,respond_rfi,42000,rfi_response
INT-0019,SUP-003,2026-02-24T09:15:15,Procore,Change Orders,create_pco,55000,change_order
INT-0020,SUP-003,2026-02-24T11:00:30,Autodesk Build,Model,view_model,18000,model_review
INT-0021,SUP-004,2026-02-24T07:00:00,Procore,Daily Log,create_entry,42500,daily_report
INT-0022,SUP-004,2026-02-24T07:28:15,Procore,Daily Log,add_photo,18200,photo_documentation
INT-0023,SUP-004,2026-02-24T08:15:30,Procore,Inspections,create_inspection,48000,inspection_report
