perf_id,project_id,supervisor_id,month,budget_spent,budget_remaining,schedule_variance_days,rfi_count,change_order_count
PP-001,PRJ-001,SUP-001,2025-11,12500000,172500000,2,18,3
PP-002,PRJ-001,SUP-001,2025-12,14200000,158300000,3,22,4
PP-003,PRJ-001,SUP-001,2026-01,15800000,142500000,5,25,5
PP-004,PRJ-001,SUP-001,2026-02,16100000,126400000,4,20,3
PP-005,PRJ-002,SUP-003,2025-11,18500000,301500000,-1,24,4
PP-006,PRJ-002,SUP-003,2025-12,21200000,280300000,0,28,6
PP-007,PRJ-002,SUP-003,2026-01,22800000,257500000,2,32,5
PP-008,PRJ-002,SUP-003,2026-02,24100000,233400000,3,26,4
PP-009,PRJ-003,SUP-005,2025-11,9800000,135200000,0,12,2
PP-010,PRJ-003,SUP-005,2025-12,11500000,123700000,1,15,3
PP-011,PRJ-003,SUP-005,2026-01,12200000,111500000,2,14,2
PP-012,PRJ-003,SUP-005,2026-02,13100000,98400000,1,11,1
PP-013,PRJ-004,SUP-008,2025-11,6200000,85800000,0,8,1
PP-014,PRJ-004,SUP-008,2025-12,7100000,78700000,-1,10,2
PP-015,PRJ-004,SUP-008,2026-01,7800000,70900000,1,9,2
PP-016,PRJ-004,SUP-008,2026-02,8200000,62700000,2,12,3
PP-017,PRJ-005,SUP-010,2025-11,14500000,195500000,3,16,3
PP-018,PRJ-005,SUP-010,2025-12,16800000,178700000,5,20,4
PP-019,PRJ-005,SUP-010,2026-01,18200000,160500000,7,22,5
PP-020,PRJ-005,SUP-010,2026-02,17500000,143000000,6,18,3
PP-021,PRJ-006,SUP-012,2025-11,4800000,63200000,0,6,1
PP-022,PRJ-006,SUP-012,2025-12,5200000,58000000,-1,8,2
PP-023,PRJ-006,SUP-012,2026-01,5500000,52500000,0,7,1
PP-024,PRJ-006,SUP-012,2026-02,5800000,46700000,1,5,1
PP-025,PRJ-007,SUP-015,2025-11,3800000,51200000,0,5,1
PP-026,PRJ-007,SUP-015,2025-12,4200000,47000000,1,7,2
PP-027,PRJ-007,SUP-015,2026-01,4500000,42500000,2,8,2
PP-028,PRJ-007,SUP-015,2026-02,4800000,37700000,1,6,1
PP-029,PRJ-008,SUP-017,2025-11,11500000,163500000,-2,14,3
PP-030,PRJ-008,SUP-017,2025-12,13200000,150300000,0,16,4
PP-031,PRJ-008,SUP-017,2026-01,14500000,135800000,1,18,3
PP-032,PRJ-008,SUP-017,2026-02,15100000,120700000,2,15,2
PP-033,PRJ-009,SUP-019,2025-11,16800000,233200000,1,20,4
PP-034,PRJ-009,SUP-019,2025-12,19500000,213700000,3,24,5
PP-035,PRJ-009,SUP-019,2026-01,21200000,192500000,5,28,6
PP-036,PRJ-009,SUP-019,2026-02,22500000,170000000,4,22,4
PP-037,PRJ-010,SUP-021,2025-11,2800000,39200000,0,3,0
PP-038,PRJ-010,SUP-021,2025-12,3200000,36000000,0,4,1
PP-039,PRJ-010,SUP-021,2026-01,3500000,32500000,1,5,1
PP-040,PRJ-010,SUP-021,2026-02,3800000,28700000,0,3,0
PP-041,PRJ-011,SUP-023,2025-11,1800000,26200000,-1,4,1
PP-042,PRJ-011,SUP-023,2025-12,2100000,24100000,0,6,2
PP-043,PRJ-011,SUP-023,2026-01,2400000,21700000,2,8,3
PP-044,PRJ-011,SUP-023,2026-02,2200000,19500000,3,7,2
PP-045,PRJ-012,SUP-025,2025-11,5200000,72800000,0,8,2
PP-046,PRJ-012,SUP-025,2025-12,5800000,67000000,1,10,2
PP-047,PRJ-012,SUP-025,2026-01,6200000,60800000,2,12,3
PP-048,PRJ-012,SUP-025,2026-02,6500000,54300000,1,9,2
