inspection_id,supervisor_id,site_id,date,type,findings_count,critical_count,doc_time_min,corrective_actions
SI-0001,SUP-007,SITE-001,2026-02-24,INS-001,3,0,35,2
SI-0002,SUP-007,SITE-001,2026-02-24,INS-002,1,0,25,1
SI-0003,SUP-004,SITE-002,2026-02-24,INS-001,4,1,45,3
SI-0004,SUP-014,SITE-003,2026-02-24,INS-001,2,0,30,2
SI-0005,SUP-009,SITE-004,2026-02-24,INS-003,1,0,22,1
SI-0006,SUP-011,SITE-005,2026-02-24,INS-001,5,2,50,4
SI-0007,SUP-013,SITE-006,2026-02-24,INS-004,2,0,28,1
SI-0008,SUP-019,SITE-009,2026-02-24,INS-001,3,1,42,3
SI-0009,SUP-025,SITE-012,2026-02-24,INS-001,2,0,32,1
SI-0010,SUP-007,SITE-001,2026-02-25,INS-005,4,0,40,2
SI-0011,SUP-003,SITE-002,2026-02-25,INS-006,2,0,55,2
SI-0012,SUP-014,SITE-003,2026-02-25,INS-005,1,0,35,1
SI-0013,SUP-011,SITE-005,2026-02-25,INS-007,3,0,28,2
SI-0014,SUP-015,SITE-007,2026-02-25,INS-001,2,0,30,1
SI-0015,SUP-019,SITE-009,2026-02-25,INS-005,5,1,48,4
SI-0016,SUP-023,SITE-011,2026-02-25,INS-008,1,0,25,1
SI-0017,SUP-007,SITE-001,2026-02-26,INS-001,2,0,32,2
SI-0018,SUP-004,SITE-002,2026-02-26,INS-009,3,0,60,3
SI-0019,SUP-006,SITE-003,2026-02-26,INS-001,4,1,38,3
SI-0020,SUP-009,SITE-004,2026-02-26,INS-010,2,0,45,1
SI-0021,SUP-010,SITE-005,2026-02-26,INS-001,3,0,34,2
SI-0022,SUP-012,SITE-006,2026-02-26,INS-011,1,0,52,1
SI-0023,SUP-017,SITE-008,2026-02-26,INS-001,2,0,28,1
SI-0024,SUP-020,SITE-009,2026-02-26,INS-001,6,2,55,5
SI-0025,SUP-025,SITE-012,2026-02-26,INS-003,2,0,30,1
SI-0026,SUP-007,SITE-001,2026-02-27,INS-012,5,1,65,4
SI-0027,SUP-003,SITE-002,2026-02-27,INS-001,3,0,38,2
SI-0028,SUP-014,SITE-003,2026-02-27,INS-013,2,0,42,2
SI-0029,SUP-011,SITE-005,2026-02-27,INS-001,4,1,40,3
SI-0030,SUP-015,SITE-007,2026-02-27,INS-014,1,0,22,1
SI-0031,SUP-019,SITE-009,2026-02-27,INS-012,4,1,58,4
SI-0032,SUP-021,SITE-010,2026-02-27,INS-001,1,0,20,1
SI-0033,SUP-023,SITE-011,2026-02-27,INS-001,2,0,30,1
SI-0034,SUP-007,SITE-001,2026-02-28,INS-001,3,0,35,2
