ping_id,supervisor_id,timestamp,site_id,zone,floor,activity_type,dwell_minutes
LOC-0001,SUP-001,2026-02-24T06:45:12,SITE-001,Office Trailer,0,documentation,18
LOC-0002,SUP-001,2026-02-24T07:15:30,SITE-001,Foundation,0,inspection,12
LOC-0003,SUP-001,2026-02-24T07:35:00,SITE-001,Structure,8,observation,8
LOC-0004,SUP-001,2026-02-24T07:50:22,SITE-001,Structure,12,coordination,15
LOC-0005,SUP-001,2026-02-24T08:10:45,SITE-001,Structure,18,inspection,22
LOC-0006,SUP-001,2026-02-24T08:40:00,SITE-001,Envelope,20,observation,10
LOC-0007,SUP-001,2026-02-24T09:00:15,SITE-001,Interior,15,coordination,14
LOC-0008,SUP-001,2026-02-24T09:20:30,SITE-001,Mechanical,10,inspection,18
LOC-0009,SUP-001,2026-02-24T09:45:00,SITE-001,Office Trailer,0,documentation,35
LOC-0010,SUP-001,2026-02-24T10:25:22,SITE-001,Structure,22,observation,12
LOC-0011,SUP-001,2026-02-24T10:45:45,SITE-001,Electrical,16,inspection,20
LOC-0012,SUP-001,2026-02-24T11:10:00,SITE-001,Interior,18,coordination,9
LOC-0013,SUP-001,2026-02-24T11:25:15,SITE-001,Office Trailer,0,meeting,45
LOC-0014,SUP-001,2026-02-24T12:15:30,SITE-001,Office Trailer,0,documentation,25
LOC-0015,SUP-001,2026-02-24T12:45:00,SITE-001,Structure,24,inspection,15
LOC-0016,SUP-001,2026-02-24T13:05:22,SITE-001,Envelope,22,observation,8
LOC-0017,SUP-001,2026-02-24T13:20:45,SITE-001,Interior,20,coordination,12
LOC-0018,SUP-001,2026-02-24T13:40:00,SITE-001,Mechanical,14,inspection,16
LOC-0019,SUP-001,2026-02-24T14:00:15,SITE-001,Office Trailer,0,documentation,30
LOC-0020,SUP-001,2026-02-24T14:35:30,SITE-001,Structure,26,observation,10
LOC-0021,SUP-002,2026-02-24T06:50:00,SITE-001,Office Trailer,0,documentation,15
LOC-0022,SUP-002,2026-02-24T07:10:22,SITE-001,Structure,20,inspection,20
LOC-0023,SUP-002,2026-02-24T07:35:45,SITE-001,Envelope,24,observation,12
LOC-0024,SUP-002,2026-02-24T07:55:00,SITE-001,Interior,16,coordination,10
LOC-0025,SUP-002,2026-02-24T08:10:15,SITE-001,Mechanical,12,inspection,18
LOC-0026,SUP-002,2026-02-24T08:35:30,SITE-001,Structure,28,observation,14
LOC-0027,SUP-002,2026-02-24T09:00:00,SITE-001,Electrical,22,inspection,16
LOC-0028,SUP-002,2026-02-24T09:20:22,SITE-001,Office Trailer,0,documentation,40
LOC-0029,SUP-002,2026-02-24T10:05:45,SITE-001,Interior,18,coordination,8
LOC-0030,SUP-002,2026-02-24T10:20:00,SITE-001,Structure,24,inspection,22
LOC-0031,SUP-002,2026-02-24T10:50:15,SITE-001,Envelope,26,observation,10
LOC-0032,SUP-002,2026-02-24T11:05:30,SITE-001,Office Trailer,0,meeting,50
LOC-0033,SUP-002,2026-02-24T12:00:00,SITE-001,Office Trailer,0,documentation,20
LOC-0034,SUP-002,2026-02-24T12:25:22,SITE-001,Structure,30,observation,15
LOC-0035,SUP-002,2026-02-24T12:45:45,SITE-001,Interior,22,coordination,12
LOC-0036,SUP-002,2026-02-24T13:05:00,SITE-001,Mechanical,18,inspection,14
LOC-0037,SUP-002,2026-02-24T13:25:15,SITE-001,Electrical,20,inspection,18
LOC-0038,SUP-002,2026-02-24T13:50:30,SITE-001,Structure,26,observation,8
LOC-0039,SUP-002,2026-02-24T14:05:00,SITE-001,Office Trailer,0,documentation,28
LOC-0040,SUP-002,2026-02-24T14:40:22,SITE-001,Envelope,28,inspection,12
LOC-0041,SUP-007,2026-02-24T06:30:00,SITE-001,Office Trailer,0,documentation,20
LOC-0042,SUP-007,2026-02-24T06:55:45,SITE-001,Foundation,0,inspection,15
LOC-0043,SUP-007,2026-02-24T07:15:00,SITE-001,Structure,10,observation,10
LOC-0044,SUP-007,2026-02-24T07:30:15,SITE-001,Structure,18,coordination,12
LOC-0045,SUP-007,2026-02-24T07:50:30,SITE-001,Interior,14,inspection,18
LOC-0046,SUP-007,2026-02-24T08:15:00,SITE-001,Mechanical,8,inspection,14
LOC-0047,SUP-007,2026-02-24T08:35:22,SITE-001,Electrical,12,observation,10
LOC-0048,SUP-007,2026-02-24T08:50:45,SITE-001,Office Trailer,0,documentation,30
LOC-0049,SUP-007,2026-02-24T09:25:00,SITE-001,Structure,22,inspection,20
LOC-0050,SUP-007,2026-02-24T09:50:15,SITE-001,Envelope,24,observation,8
LOC-0051,SUP-003,2026-02-24T06:45:30,SITE-002,Office Trailer,0,documentation,22
LOC-0052,SUP-003,2026-02-24T07:15:00,SITE-002,Foundation,0,inspection,18
LOC-0053,SUP-003,2026-02-24T07:40:22,SITE-002,Structure,2,observation,10
LOC-0054,SUP-003,2026-02-24T07:55:45,SITE-002,Structure,4,coordination,15
LOC-0055,SUP-003,2026-02-24T08:15:00,SITE-002,Interior,2,inspection,20
LOC-0056,SUP-003,2026-02-24T08:40:15,SITE-002,Mechanical,1,inspection,16
LOC-0057,SUP-003,2026-02-24T09:00:30,SITE-002,Electrical,3,observation,12
LOC-0058,SUP-003,2026-02-24T09:20:00,SITE-002,Office Trailer,0,documentation,38
LOC-0059,SUP-003,2026-02-24T10:05:22,SITE-002,Structure,5,inspection,22
LOC-0060,SUP-003,2026-02-24T10:35:45,SITE-002,Interior,4,coordination,10
LOC-0061,SUP-003,2026-02-24T10:50:00,SITE-002,Office Trailer,0,meeting,40
LOC-0062,SUP-003,2026-02-24T11:35:15,SITE-002,Office Trailer,0,documentation,20
LOC-0063,SUP-003,2026-02-24T12:00:30,SITE-002,Foundation,0,inspection,14
LOC-0064,SUP-003,2026-02-24T12:20:00,SITE-002,Structure,3,observation,8
LOC-0065,SUP-003,2026-02-24T12:35:22,SITE-002,Mechanical,2,coordination,15
LOC-0066,SUP-003,2026-02-24T12:55:45,SITE-002,Interior,5,inspection,18
LOC-0067,SUP-003,2026-02-24T13:20:00,SITE-002,Electrical,4,inspection,14
LOC-0068,SUP-003,2026-02-24T13:40:15,SITE-002,Office Trailer,0,documentation,25
LOC-0069,SUP-003,2026-02-24T14:10:30,SITE-002,Structure,6,observation,10
LOC-0070,SUP-003,2026-02-24T14:25:00,SITE-002,Interior,3,coordination,12
LOC-0071,SUP-004,2026-02-24T06:50:22,SITE-002,Office Trailer,0,documentation,18
LOC-0072,SUP-004,2026-02-24T07:15:45,SITE-002,Foundation,0,inspection,20
LOC-0073,SUP-004,2026-02-24T07:40:00,SITE-002,Structure,3,observation,12
LOC-0074,SUP-004,2026-02-24T08:00:15,SITE-002,Interior,2,coordination,10
LOC-0075,SUP-004,2026-02-24T08:15:30,SITE-002,Mechanical,1,inspection,22
LOC-0076,SUP-004,2026-02-24T08:45:00,SITE-002,Electrical,4,inspection,16
LOC-0077,SUP-004,2026-02-24T09:05:22,SITE-002,Office Trailer,0,documentation,35
LOC-0078,SUP-004,2026-02-24T09:45:45,SITE-002,Structure,5,observation,14
LOC-0079,SUP-004,2026-02-24T10:05:00,SITE-002,Interior,3,coordination,8
LOC-0080,SUP-004,2026-02-24T10:20:15,SITE-002,Office Trailer,0,meeting,42
LOC-0081,SUP-004,2026-02-24T11:10:30,SITE-002,Office Trailer,0,documentation,22
LOC-0082,SUP-004,2026-02-24T11:40:00,SITE-002,Structure,6,inspection,18
LOC-0083,SUP-004,2026-02-24T12:05:22,SITE-002,Interior,4,observation,10
LOC-0084,SUP-004,2026-02-24T12:20:45,SITE-002,Mechanical,3,coordination,14
LOC-0085,SUP-004,2026-02-24T12:40:00,SITE-002,Electrical,5,inspection,16
LOC-0086,SUP-004,2026-02-24T13:00:15,SITE-002,Foundation,0,observation,12
LOC-0087,SUP-004,2026-02-24T13:20:30,SITE-002,Office Trailer,0,documentation,28
LOC-0088,SUP-004,2026-02-24T13:55:00,SITE-002,Structure,4,inspection,15
LOC-0089,SUP-004,2026-02-24T14:15:22,SITE-002,Interior,5,coordination,10
LOC-0090,SUP-004,2026-02-24T14:30:45,SITE-002,Office Trailer,0,documentation,20
LOC-0091,SUP-005,2026-02-24T06:40:00,SITE-003,Office Trailer,0,documentation,15
LOC-0092,SUP-005,2026-02-24T07:00:15,SITE-003,Foundation,0,inspection,14
LOC-0093,SUP-005,2026-02-24T07:20:30,SITE-003,Structure,2,observation,10
LOC-0094,SUP-005,2026-02-24T07:35:00,SITE-003,Envelope,4,coordination,12
LOC-0095,SUP-005,2026-02-24T07:55:22,SITE-003,Interior,3,inspection,18
LOC-0096,SUP-005,2026-02-24T08:20:45,SITE-003,Mechanical,1,inspection,14
LOC-0097,SUP-005,2026-02-24T08:40:00,SITE-003,Office Trailer,0,documentation,30
LOC-0098,SUP-005,2026-02-24T09:15:15,SITE-003,Structure,5,observation,12
LOC-0099,SUP-005,2026-02-24T09:35:30,SITE-003,Interior,4,coordination,8
LOC-0100,SUP-005,2026-02-24T09:50:00,SITE-003,Office Trailer,0,meeting,35
LOC-0101,SUP-005,2026-02-24T10:30:22,SITE-003,Electrical,3,inspection,16
LOC-0102,SUP-005,2026-02-24T10:50:45,SITE-003,Envelope,5,observation,10
LOC-0103,SUP-005,2026-02-24T11:05:00,SITE-003,Office Trailer,0,documentation,22
LOC-0104,SUP-005,2026-02-24T11:35:15,SITE-003,Structure,4,inspection,20
LOC-0105,SUP-005,2026-02-24T12:00:30,SITE-003,Interior,2,coordination,10
LOC-0106,SUP-006,2026-02-24T06:50:00,SITE-003,Office Trailer,0,documentation,18
LOC-0107,SUP-006,2026-02-24T07:15:22,SITE-003,Foundation,0,inspection,16
LOC-0108,SUP-006,2026-02-24T07:35:45,SITE-003,Structure,3,observation,12
LOC-0109,SUP-006,2026-02-24T07:55:00,SITE-003,Envelope,5,coordination,14
LOC-0110,SUP-006,2026-02-24T08:15:15,SITE-003,Interior,4,inspection,20
LOC-0111,SUP-006,2026-02-24T08:40:30,SITE-003,Mechanical,2,inspection,15
LOC-0112,SUP-006,2026-02-24T09:00:00,SITE-003,Office Trailer,0,documentation,32
LOC-0113,SUP-006,2026-02-24T09:40:22,SITE-003,Structure,6,observation,10
LOC-0114,SUP-006,2026-02-24T10:00:45,SITE-003,Electrical,4,coordination,8
LOC-0115,SUP-006,2026-02-24T10:15:00,SITE-003,Office Trailer,0,meeting,40
LOC-0116,SUP-014,2026-02-24T07:00:15,SITE-003,Office Trailer,0,documentation,20
LOC-0117,SUP-014,2026-02-24T07:25:30,SITE-003,Foundation,0,inspection,18
LOC-0118,SUP-014,2026-02-24T07:50:00,SITE-003,Structure,4,observation,14
LOC-0119,SUP-014,2026-02-24T08:10:22,SITE-003,Interior,3,coordination,10
LOC-0120,SUP-014,2026-02-24T08:25:45,SITE-003,Envelope,6,inspection,22
LOC-0121,SUP-008,2026-02-24T06:55:00,SITE-004,Office Trailer,0,documentation,16
LOC-0122,SUP-008,2026-02-24T07:15:15,SITE-004,Foundation,0,inspection,14
LOC-0123,SUP-008,2026-02-24T07:35:30,SITE-004,Structure,2,observation,10
LOC-0124,SUP-008,2026-02-24T07:50:00,SITE-004,Interior,1,coordination,12
LOC-0125,SUP-008,2026-02-24T08:10:22,SITE-004,Mechanical,1,inspection,18
LOC-0126,SUP-008,2026-02-24T08:35:45,SITE-004,Exterior,0,observation,8
LOC-0127,SUP-008,2026-02-24T08:50:00,SITE-004,Office Trailer,0,documentation,25
LOC-0128,SUP-008,2026-02-24T09:20:15,SITE-004,Structure,3,inspection,16
LOC-0129,SUP-008,2026-02-24T09:40:30,SITE-004,Interior,2,coordination,10
LOC-0130,SUP-008,2026-02-24T10:00:00,SITE-004,Office Trailer,0,meeting,35
LOC-0131,SUP-009,2026-02-24T07:00:22,SITE-004,Office Trailer,0,documentation,18
LOC-0132,SUP-009,2026-02-24T07:25:45,SITE-004,Foundation,0,inspection,16
LOC-0133,SUP-009,2026-02-24T07:45:00,SITE-004,Structure,2,observation,12
LOC-0134,SUP-009,2026-02-24T08:05:15,SITE-004,Exterior,0,coordination,14
LOC-0135,SUP-009,2026-02-24T08:25:30,SITE-004,Mechanical,1,inspection,20
LOC-0136,SUP-009,2026-02-24T08:50:00,SITE-004,Interior,3,inspection,15
LOC-0137,SUP-009,2026-02-24T09:10:22,SITE-004,Office Trailer,0,documentation,28
