survey_id,supervisor_id,date,overtime_hours,admin_burden_score,fatigue_score,work_life_balance
SW-001,SUP-001,2026-03-10,18,8.5,7.8,3.2
SW-002,SUP-002,2026-03-10,12,7.2,6.5,4.0
SW-003,SUP-003,2026-03-10,16,8.0,7.2,3.5
SW-004,SUP-004,2026-03-10,14,7.8,7.0,3.8
SW-005,SUP-005,2026-03-10,10,6.5,5.8,4.5
SW-006,SUP-006,2026-03-10,8,6.0,5.2,5.0
SW-007,SUP-007,2026-03-10,15,7.5,6.8,3.6
SW-008,SUP-008,2026-03-10,10,6.2,5.5,4.4
SW-009,SUP-009,2026-03-10,11,6.8,6.0,4.2
SW-010,SUP-010,2026-03-10,13,7.0,6.5,3.9
SW-011,SUP-011,2026-03-10,14,7.5,7.0,3.6
SW-012,SUP-012,2026-03-10,9,6.0,5.0,4.8
SW-013,SUP-013,2026-03-10,10,6.5,5.5,4.5
SW-014,SUP-014,2026-03-10,12,7.0,6.2,4.0
SW-015,SUP-015,2026-03-10,13,7.2,6.5,3.8
SW-016,SUP-016,2026-03-10,8,5.8,5.0,5.2
SW-017,SUP-017,2026-03-10,6,4.5,3.8,6.0
SW-018,SUP-018,2026-03-10,11,6.8,6.2,4.2
SW-019,SUP-019,2026-03-10,22,9.5,9.0,2.0
SW-020,SUP-020,2026-03-10,15,7.8,7.2,3.4
SW-021,SUP-021,2026-03-10,6,4.0,3.5,6.5
SW-022,SUP-022,2026-03-10,7,4.5,4.0,6.0
SW-023,SUP-023,2026-03-10,8,5.0,4.2,5.5
SW-024,SUP-024,2026-03-10,9,5.5,4.8,5.0
SW-025,SUP-025,2026-03-10,14,7.5,7.0,3.5
