telemetry_id,equipment_id,site_id,timestamp,utilization_pct,fuel_level,maintenance_flag
ET-001,CRANE-001,SITE-001,2026-03-09T06:00:00,0,92,false
ET-002,CRANE-001,SITE-001,2026-03-09T07:00:00,45,90,false
ET-003,CRANE-001,SITE-001,2026-03-09T08:00:00,72,86,false
ET-004,CRANE-001,SITE-001,2026-03-09T09:00:00,85,82,false
ET-005,CRANE-001,SITE-001,2026-03-09T10:00:00,78,78,false
ET-006,CRANE-001,SITE-001,2026-03-09T11:00:00,68,74,false
ET-007,CRANE-001,SITE-001,2026-03-09T12:00:00,15,72,false
ET-008,CRANE-001,SITE-001,2026-03-09T13:00:00,80,68,false
ET-009,CRANE-002,SITE-001,2026-03-09T06:00:00,0,88,false
ET-010,CRANE-002,SITE-001,2026-03-09T07:00:00,38,86,false
ET-011,CRANE-002,SITE-001,2026-03-09T08:00:00,65,82,false
ET-012,CRANE-002,SITE-001,2026-03-09T09:00:00,82,78,false
ET-013,CRANE-002,SITE-001,2026-03-09T10:00:00,74,74,false
ET-014,CRANE-002,SITE-001,2026-03-09T11:00:00,58,70,false
ET-015,CRANE-003,SITE-002,2026-03-09T06:00:00,0,95,false
ET-016,CRANE-003,SITE-002,2026-03-09T07:00:00,42,93,false
ET-017,CRANE-003,SITE-002,2026-03-09T08:00:00,68,89,false
ET-018,CRANE-003,SITE-002,2026-03-09T09:00:00,90,84,false
ET-019,CRANE-003,SITE-002,2026-03-09T10:00:00,88,80,false
ET-020,CRANE-003,SITE-002,2026-03-09T11:00:00,75,76,false
ET-021,CRANE-003,SITE-002,2026-03-09T12:00:00,20,74,false
ET-022,CRANE-003,SITE-002,2026-03-09T13:00:00,82,70,false
ET-023,EXCAVATOR-001,SITE-002,2026-03-09T06:00:00,0,80,false
ET-024,EXCAVATOR-001,SITE-002,2026-03-09T07:00:00,55,76,false
ET-025,EXCAVATOR-001,SITE-002,2026-03-09T08:00:00,78,70,false
ET-026,EXCAVATOR-001,SITE-002,2026-03-09T09:00:00,85,64,false
ET-027,EXCAVATOR-001,SITE-002,2026-03-09T10:00:00,72,58,false
ET-028,EXCAVATOR-001,SITE-002,2026-03-09T11:00:00,60,52,true
ET-029,LOADER-001,SITE-003,2026-03-09T06:00:00,0,85,false
ET-030,LOADER-001,SITE-003,2026-03-09T07:00:00,48,82,false
ET-031,LOADER-001,SITE-003,2026-03-09T08:00:00,72,76,false
ET-032,LOADER-001,SITE-003,2026-03-09T09:00:00,80,70,false
ET-033,LOADER-001,SITE-003,2026-03-09T10:00:00,65,64,false
ET-034,LOADER-001,SITE-003,2026-03-09T11:00:00,55,58,false
ET-035,FORKLIFT-001,SITE-003,2026-03-09T06:00:00,0,90,false
ET-036,FORKLIFT-001,SITE-003,2026-03-09T07:00:00,35,88,false
ET-037,FORKLIFT-001,SITE-003,2026-03-09T08:00:00,62,84,false
