rfi_id,project_id,timestamp,status,assigned_to,days_open,priority
RST-001,PRJ-001,2026-03-09T07:00:00,Open,SUB-001,3,High
RST-002,PRJ-001,2026-03-09T07:15:22,Open,SUB-003,7,Medium
RST-003,PRJ-001,2026-03-09T07:30:45,Closed,SUB-005,0,Low
RST-004,PRJ-001,2026-03-09T08:00:00,Open,SUB-007,12,Critical
RST-005,PRJ-001,2026-03-09T08:45:15,Under_Review,SUB-002,5,High
RST-006,PRJ-001,2026-03-09T09:30:30,Open,SUB-009,1,Medium
RST-007,PRJ-001,2026-03-09T10:15:00,Closed,SUB-004,0,Low
RST-008,PRJ-002,2026-03-09T07:05:22,Open,SUB-010,8,High
RST-009,PRJ-002,2026-03-09T07:20:45,Under_Review,SUB-012,4,Medium
RST-010,PRJ-002,2026-03-09T07:45:00,Open,SUB-014,15,Critical
RST-011,PRJ-002,2026-03-09T08:15:15,Closed,SUB-011,0,Medium
RST-012,PRJ-002,2026-03-09T09:00:30,Open,SUB-013,2,High
RST-013,PRJ-002,2026-03-09T09:45:00,Under_Review,SUB-015,6,Medium
RST-014,PRJ-002,2026-03-09T10:30:22,Open,SUB-010,10,High
RST-015,PRJ-003,2026-03-09T07:10:45,Open,SUB-016,4,Medium
RST-016,PRJ-003,2026-03-09T07:35:00,Closed,SUB-018,0,Low
RST-017,PRJ-003,2026-03-09T08:00:15,Open,SUB-017,9,High
RST-018,PRJ-003,2026-03-09T08:30:30,Under_Review,SUB-019,3,Medium
RST-019,PRJ-003,2026-03-09T09:15:00,Open,SUB-016,1,Low
RST-020,PRJ-003,2026-03-09T10:00:22,Closed,SUB-020,0,Medium
RST-021,PRJ-004,2026-03-09T07:15:45,Open,SUB-021,6,High
RST-022,PRJ-004,2026-03-09T07:50:00,Under_Review,SUB-022,2,Medium
RST-023,PRJ-004,2026-03-09T08:20:15,Open,SUB-021,11,Critical
RST-024,PRJ-004,2026-03-09T09:00:30,Closed,SUB-023,0,Low
RST-025,PRJ-004,2026-03-09T09:45:00,Open,SUB-022,3,Medium
RST-026,PRJ-005,2026-03-09T07:00:22,Open,SUB-024,5,High
RST-027,PRJ-005,2026-03-09T07:30:45,Under_Review,SUB-025,8,High
RST-028,PRJ-005,2026-03-09T08:15:00,Open,SUB-026,2,Medium
RST-029,PRJ-005,2026-03-09T09:00:15,Closed,SUB-024,0,Low
RST-030,PRJ-005,2026-03-09T09:45:30,Open,SUB-027,14,Critical
RST-031,PRJ-005,2026-03-09T10:30:00,Open,SUB-025,1,Medium
RST-032,PRJ-006,2026-03-09T07:10:22,Open,SUB-028,4,Medium
RST-033,PRJ-006,2026-03-09T07:45:45,Closed,SUB-029,0,Low
RST-034,PRJ-006,2026-03-09T08:30:00,Open,SUB-030,7,High
RST-035,PRJ-006,2026-03-09T09:15:15,Under_Review,SUB-028,3,Medium
RST-036,PRJ-007,2026-03-09T07:20:30,Open,SUB-006,5,High
RST-037,PRJ-007,2026-03-09T08:00:00,Closed,SUB-008,0,Medium
RST-038,PRJ-007,2026-03-09T08:45:22,Open,SUB-006,2,Low
RST-039,PRJ-008,2026-03-09T07:25:45,Open,SUB-001,8,High
RST-040,PRJ-008,2026-03-09T08:10:00,Under_Review,SUB-003,4,Medium
RST-041,PRJ-008,2026-03-09T09:00:15,Open,SUB-005,13,Critical
RST-042,PRJ-008,2026-03-09T09:45:30,Closed,SUB-007,0,Low
RST-043,PRJ-009,2026-03-09T06:45:00,Open,SUB-002,6,High
RST-044,PRJ-009,2026-03-09T07:15:22,Open,SUB-004,10,Critical
RST-045,PRJ-009,2026-03-09T07:45:45,Under_Review,SUB-009,3,Medium
RST-046,PRJ-009,2026-03-09T08:30:00,Open,SUB-011,1,Low
RST-047,PRJ-009,2026-03-09T09:15:15,Closed,SUB-013,0,Medium
RST-048,PRJ-009,2026-03-09T10:00:30,Open,SUB-015,18,Critical
RST-049,PRJ-009,2026-03-09T10:45:00,Under_Review,SUB-002,5,High
RST-050,PRJ-009,2026-03-09T11:30:22,Open,SUB-004,2,Medium
RST-051,PRJ-009,2026-03-09T12:15:45,Open,SUB-009,7,High
RST-052,PRJ-009,2026-03-09T13:00:00,Closed,SUB-011,0,Low
RST-053,PRJ-010,2026-03-09T07:05:15,Open,SUB-016,4,Medium
RST-054,PRJ-010,2026-03-09T07:45:30,Closed,SUB-018,0,Low
RST-055,PRJ-010,2026-03-09T08:30:00,Open,SUB-020,6,High
RST-056,PRJ-010,2026-03-09T09:15:22,Under_Review,SUB-017,3,Medium
RST-057,PRJ-011,2026-03-09T07:30:45,Open,SUB-021,5,High
RST-058,PRJ-011,2026-03-09T08:15:00,Closed,SUB-023,0,Medium
RST-059,PRJ-011,2026-03-09T09:00:15,Open,SUB-022,9,High
RST-060,PRJ-011,2026-03-09T09:45:30,Under_Review,SUB-021,2,Medium
RST-061,PRJ-011,2026-03-09T10:30:00,Open,SUB-023,1,Low
RST-062,PRJ-012,2026-03-09T07:15:22,Open,SUB-024,3,Medium
RST-063,PRJ-012,2026-03-09T08:00:45,Closed,SUB-026,0,Low
RST-064,PRJ-012,2026-03-09T08:45:00,Open,SUB-025,7,High
RST-065,PRJ-012,2026-03-09T09:30:15,Under_Review,SUB-027,4,Medium
RST-066,PRJ-001,2026-03-09T11:00:30,Open,SUB-001,0,High
RST-067,PRJ-001,2026-03-09T12:15:00,Under_Review,SUB-003,2,Medium
RST-068,PRJ-002,2026-03-09T11:30:22,Open,SUB-012,0,Medium
RST-069,PRJ-002,2026-03-09T12:45:45,Open,SUB-014,1,High
RST-070,PRJ-005,2026-03-09T11:00:00,Open,SUB-026,0,Medium
RST-071,PRJ-005,2026-03-09T12:00:15,Under_Review,SUB-024,4,High
RST-072,PRJ-009,2026-03-09T13:45:30,Open,SUB-013,0,High
RST-073,PRJ-009,2026-03-09T14:30:00,Open,SUB-015,1,Medium
RST-074,PRJ-009,2026-03-09T15:00:22,Closed,SUB-002,0,Low
RST-075,PRJ-001,2026-03-09T13:00:45,Closed,SUB-005,0,Low
RST-076,PRJ-003,2026-03-09T11:00:00,Open,SUB-019,0,Medium
RST-077,PRJ-006,2026-03-09T10:00:15,Open,SUB-029,1,Low
RST-078,PRJ-008,2026-03-09T10:30:30,Open,SUB-001,0,Medium
RST-079,PRJ-010,2026-03-09T10:00:00,Open,SUB-020,0,Low
RST-080,PRJ-012,2026-03-09T10:15:22,Open,SUB-025,0,Medium
