event_id,site_id,timestamp,event_type,zone,severity,worker_count
SE-001,SITE-001,2026-03-09T06:30:00,ppe_violation,Structure,Low,1
SE-002,SITE-001,2026-03-09T06:45:15,toolbox_talk,Foundation,Info,18
SE-003,SITE-001,2026-03-09T07:10:30,near_miss,Envelope,Medium,3
SE-004,SITE-001,2026-03-09T07:35:00,hazard_identified,Interior,High,0
SE-005,SITE-001,2026-03-09T08:00:22,ppe_violation,Structure,Low,2
SE-006,SITE-001,2026-03-09T08:45:45,fall_protection_check,Envelope,Info,12
SE-007,SITE-001,2026-03-09T09:15:00,near_miss,Mechanical,Medium,2
SE-008,SITE-001,2026-03-09T10:00:15,crane_safety_check,Exterior,Info,4
SE-009,SITE-001,2026-03-09T10:30:30,hazard_identified,Electrical,High,0
SE-010,SITE-001,2026-03-09T11:15:00,incident,Structure,Critical,1
SE-011,SITE-002,2026-03-09T06:35:22,toolbox_talk,Foundation,Info,22
SE-012,SITE-002,2026-03-09T07:00:45,ppe_violation,Interior,Low,1
SE-013,SITE-002,2026-03-09T07:30:00,hazard_identified,Mechanical,Medium,0
SE-014,SITE-002,2026-03-09T08:15:15,near_miss,Structure,High,2
SE-015,SITE-002,2026-03-09T09:00:30,fall_protection_check,Structure,Info,15
SE-016,SITE-002,2026-03-09T09:45:00,ppe_violation,Electrical,Low,1
SE-017,SITE-002,2026-03-09T10:30:22,hazard_identified,Interior,Medium,0
SE-018,SITE-002,2026-03-09T11:45:45,crane_safety_check,Exterior,Info,3
SE-019,SITE-003,2026-03-09T06:40:00,toolbox_talk,Foundation,Info,14
SE-020,SITE-003,2026-03-09T07:15:15,ppe_violation,Envelope,Low,1
SE-021,SITE-003,2026-03-09T07:50:30,near_miss,Structure,Medium,2
SE-022,SITE-003,2026-03-09T08:30:00,hazard_identified,Interior,High,0
SE-023,SITE-003,2026-03-09T09:15:22,fall_protection_check,Envelope,Info,10
SE-024,SITE-003,2026-03-09T10:00:45,ppe_violation,Mechanical,Low,1
SE-025,SITE-003,2026-03-09T11:00:00,near_miss,Electrical,Medium,1
SE-026,SITE-004,2026-03-09T06:50:15,toolbox_talk,Foundation,Info,12
SE-027,SITE-004,2026-03-09T07:20:30,ppe_violation,Structure,Low,1
SE-028,SITE-004,2026-03-09T08:00:00,hazard_identified,Interior,Medium,0
SE-029,SITE-004,2026-03-09T08:45:22,near_miss,Exterior,High,2
SE-030,SITE-004,2026-03-09T09:30:45,fall_protection_check,Structure,Info,8
SE-031,SITE-004,2026-03-09T10:15:00,ppe_violation,Mechanical,Low,2
SE-032,SITE-005,2026-03-09T06:35:15,toolbox_talk,Foundation,Info,20
SE-033,SITE-005,2026-03-09T07:00:30,ppe_violation,Structure,Low,1
SE-034,SITE-005,2026-03-09T07:30:00,hazard_identified,Exterior,High,0
SE-035,SITE-005,2026-03-09T08:15:22,near_miss,Mechanical,Medium,3
SE-036,SITE-005,2026-03-09T09:00:45,fall_protection_check,Structure,Info,16
SE-037,SITE-005,2026-03-09T09:45:00,ppe_violation,Electrical,Low,1
SE-038,SITE-005,2026-03-09T10:30:15,crane_safety_check,Exterior,Info,5
SE-039,SITE-005,2026-03-09T11:15:30,hazard_identified,Interior,Medium,0
SE-040,SITE-006,2026-03-09T06:45:00,toolbox_talk,Foundation,Info,10
SE-041,SITE-006,2026-03-09T07:15:22,ppe_violation,Interior,Low,1
SE-042,SITE-006,2026-03-09T08:00:45,near_miss,Structure,Medium,2
SE-043,SITE-006,2026-03-09T08:45:00,hazard_identified,Mechanical,Medium,0
SE-044,SITE-006,2026-03-09T09:30:15,fall_protection_check,Exterior,Info,6
SE-045,SITE-006,2026-03-09T10:15:30,ppe_violation,Electrical,Low,1
SE-046,SITE-007,2026-03-09T06:50:00,toolbox_talk,Foundation,Info,8
SE-047,SITE-007,2026-03-09T07:20:22,ppe_violation,Structure,Low,1
SE-048,SITE-007,2026-03-09T08:00:45,hazard_identified,Interior,Medium,0
SE-049,SITE-007,2026-03-09T08:45:00,near_miss,Mechanical,Low,1
SE-050,SITE-007,2026-03-09T09:30:15,fall_protection_check,Structure,Info,6
SE-051,SITE-008,2026-03-09T06:55:30,toolbox_talk,Foundation,Info,16
SE-052,SITE-008,2026-03-09T07:25:00,ppe_violation,Interior,Low,1
SE-053,SITE-008,2026-03-09T08:10:22,near_miss,Structure,Medium,2
SE-054,SITE-008,2026-03-09T09:00:45,hazard_identified,Mechanical,High,0
SE-055,SITE-008,2026-03-09T09:45:00,crane_safety_check,Exterior,Info,3
SE-056,SITE-009,2026-03-09T06:30:15,toolbox_talk,Foundation,Info,24
SE-057,SITE-009,2026-03-09T07:00:30,ppe_violation,Electrical,Low,2
SE-058,SITE-009,2026-03-09T07:45:00,hazard_identified,Mechanical,High,0
SE-059,SITE-009,2026-03-09T08:30:22,near_miss,Interior,Medium,1
SE-060,SITE-009,2026-03-09T09:15:45,fall_protection_check,Structure,Info,18
SE-061,SITE-009,2026-03-09T10:00:00,ppe_violation,Electrical,Low,1
SE-062,SITE-009,2026-03-09T10:45:15,incident,Mechanical,Critical,1
SE-063,SITE-009,2026-03-09T11:30:30,hazard_identified,Interior,Medium,0
SE-064,SITE-010,2026-03-09T07:00:00,toolbox_talk,Foundation,Info,8
SE-065,SITE-010,2026-03-09T07:30:22,ppe_violation,Exterior,Low,1
SE-066,SITE-010,2026-03-09T08:15:45,near_miss,Electrical,Medium,1
SE-067,SITE-010,2026-03-09T09:00:00,hazard_identified,Structure,Low,0
SE-068,SITE-010,2026-03-09T09:45:15,fall_protection_check,Exterior,Info,6
SE-069,SITE-011,2026-03-09T07:15:30,toolbox_talk,Interior,Info,6
SE-070,SITE-011,2026-03-09T07:45:00,ppe_violation,Structure,Low,1
SE-071,SITE-011,2026-03-09T08:30:22,near_miss,Interior,Medium,1
SE-072,SITE-011,2026-03-09T09:15:45,hazard_identified,Mechanical,Medium,0
SE-073,SITE-011,2026-03-09T10:00:00,fall_protection_check,Structure,Info,5
SE-074,SITE-012,2026-03-09T07:10:15,toolbox_talk,Interior,Info,5
SE-075,SITE-012,2026-03-09T07:40:30,ppe_violation,Structure,Low,1
SE-076,SITE-012,2026-03-09T08:25:00,near_miss,Mechanical,Low,1
SE-077,SITE-012,2026-03-09T09:10:22,hazard_identified,Electrical,Medium,0
SE-078,SITE-012,2026-03-09T09:55:45,fall_protection_check,Interior,Info,4
SE-079,SITE-001,2026-03-09T12:00:00,ppe_violation,Structure,Low,1
SE-080,SITE-009,2026-03-09T12:30:15,near_miss,Electrical,High,2
