survey_id,client_id,advisor_id,date,nps_score,responsiveness_rating,onboarding_experience,complaint_flag
CSAT-0001,CLI-001,ADV-001,2025-12-05,72,8.9,7.9,False
CSAT-0002,CLI-002,ADV-020,2025-12-17,48,6.2,5.4,True
CSAT-0003,CLI-003,ADV-009,2025-12-21,85,9.9,8.9,False
CSAT-0004,CLI-004,ADV-023,2025-12-23,49,5.8,6.8,False
CSAT-0005,CLI-005,ADV-002,2025-12-16,55,7.6,7.4,False
CSAT-0006,CLI-006,ADV-021,2025-12-03,48,6.0,6.5,False
CSAT-0007,CLI-007,ADV-002,2025-12-14,75,9.0,7.9,False
CSAT-0008,CLI-008,ADV-023,2025-10-29,73,7.1,7.7,False
CSAT-0009,CLI-009,ADV-022,2025-11-15,62,6.2,5.6,False
CSAT-0010,CLI-010,ADV-018,2025-10-24,48,5.4,5.4,False
CSAT-0011,CLI-011,ADV-018,2025-10-24,73,8.6,7.3,False
CSAT-0012,CLI-012,ADV-008,2025-11-09,56,8.2,6.2,False
CSAT-0013,CLI-013,ADV-010,2025-11-29,37,6.9,8.0,False
CSAT-0014,CLI-014,ADV-020,2025-10-10,60,8.6,6.8,False
CSAT-0015,CLI-015,ADV-013,2025-12-07,49,6.7,8.0,False
CSAT-0016,CLI-016,ADV-007,2025-11-13,56,8.9,8.1,False
CSAT-0017,CLI-017,ADV-005,2025-11-10,75,5.7,5.3,False
CSAT-0018,CLI-018,ADV-006,2025-11-10,70,5.2,6.6,False
CSAT-0019,CLI-019,ADV-025,2025-10-22,66,8.1,6.7,False
CSAT-0020,CLI-020,ADV-003,2025-10-17,34,4.1,3.9,False
CSAT-0021,CLI-021,ADV-016,2025-11-19,30,5.2,5.7,False
CSAT-0022,CLI-022,ADV-001,2025-11-11,78,8.3,5.7,False
CSAT-0023,CLI-023,ADV-021,2025-11-01,44,7.8,6.2,False
CSAT-0024,CLI-024,ADV-013,2025-12-04,67,6.2,5.2,True
CSAT-0025,CLI-025,ADV-010,2025-11-28,76,7.1,6.8,False
CSAT-0026,CLI-026,ADV-022,2025-10-18,51,9.0,6.7,False
CSAT-0027,CLI-027,ADV-006,2025-11-21,31,5.9,7.5,False
CSAT-0028,CLI-028,ADV-024,2025-10-03,67,7.0,5.4,False
CSAT-0029,CLI-029,ADV-002,2025-11-18,70,6.0,6.9,True
CSAT-0030,CLI-030,ADV-002,2025-12-24,36,7.6,5.1,False
CSAT-0031,CLI-031,ADV-014,2025-11-26,54,5.5,5.9,False
CSAT-0032,CLI-032,ADV-007,2025-12-28,73,7.5,6.1,False
CSAT-0033,CLI-033,ADV-022,2025-12-06,47,7.5,7.5,False
CSAT-0034,CLI-034,ADV-004,2025-12-05,76,7.5,6.0,False
CSAT-0035,CLI-035,ADV-016,2025-10-26,68,5.8,5.9,False
CSAT-0036,CLI-036,ADV-007,2025-11-15,75,6.6,5.6,False
CSAT-0037,CLI-037,ADV-007,2025-12-28,60,6.3,5.0,False
CSAT-0038,CLI-038,ADV-004,2025-12-13,72,7.0,8.3,False
CSAT-0039,CLI-039,ADV-003,2025-10-13,23,4.6,3.9,False
CSAT-0040,CLI-040,ADV-009,2025-11-29,76,9.1,8.8,False
