event_id,advisor_id,client_id,doc_type_id,start_time,duration_minutes,status,error_count,regulatory_body
CDE-0001,ADV-005,CLI-023,DOC-003,2025-11-01T13:18:00Z,20,rejected,3,SEC
CDE-0002,ADV-020,CLI-034,DOC-001,2025-12-25T16:19:00Z,52,pending_review,0,FINRA
CDE-0003,ADV-009,CLI-008,DOC-004,2025-12-10T10:17:00Z,14,in_progress,0,FINRA
CDE-0004,ADV-022,CLI-017,DOC-017,2025-12-02T12:57:00Z,13,in_progress,0,SEC
CDE-0005,ADV-002,CLI-001,DOC-011,2025-10-17T12:10:00Z,57,completed,3,OCC
CDE-0006,ADV-018,CLI-001,DOC-004,2025-10-10T10:34:00Z,12,completed,2,FINRA
CDE-0007,ADV-014,CLI-009,DOC-002,2025-11-09T13:57:00Z,60,rejected,0,FINRA
CDE-0008,ADV-022,CLI-016,DOC-004,2025-11-15T16:56:00Z,36,pending_review,1,FINRA
CDE-0009,ADV-006,CLI-012,DOC-014,2025-10-04T10:47:00Z,31,rejected,3,FINRA
CDE-0010,ADV-009,CLI-011,DOC-004,2025-11-18T08:54:00Z,20,completed,0,OCC
CDE-0011,ADV-012,CLI-020,DOC-008,2025-10-29T08:42:00Z,22,completed,3,FinCEN
CDE-0012,ADV-025,CLI-018,DOC-012,2025-12-22T16:25:00Z,53,pending_review,2,FinCEN
CDE-0013,ADV-009,CLI-012,DOC-019,2025-11-03T08:06:00Z,18,in_progress,1,SEC
CDE-0014,ADV-014,CLI-039,DOC-017,2025-10-15T14:57:00Z,46,completed,1,OCC
CDE-0015,ADV-001,CLI-034,DOC-018,2025-12-27T11:23:00Z,37,pending_review,0,SEC
CDE-0016,ADV-020,CLI-021,DOC-004,2025-11-08T16:19:00Z,52,completed,3,SEC
CDE-0017,ADV-018,CLI-009,DOC-007,2025-11-23T14:43:00Z,57,in_progress,1,SEC
CDE-0018,ADV-013,CLI-036,DOC-001,2025-11-08T12:13:00Z,37,completed,2,OCC
CDE-0019,ADV-022,CLI-014,DOC-017,2025-11-30T10:42:00Z,15,completed,2,CFPB
CDE-0020,ADV-011,CLI-006,DOC-008,2025-12-26T12:14:00Z,22,completed,1,FINRA
CDE-0021,ADV-016,CLI-040,DOC-003,2025-11-28T14:56:00Z,50,in_progress,1,OCC
CDE-0022,ADV-016,CLI-026,DOC-008,2025-10-19T08:57:00Z,58,in_progress,0,FINRA
CDE-0023,ADV-006,CLI-034,DOC-015,2025-10-07T16:15:00Z,17,completed,3,OCC
CDE-0024,ADV-022,CLI-034,DOC-018,2025-12-16T13:48:00Z,38,rejected,3,CFPB
CDE-0025,ADV-015,CLI-011,DOC-016,2025-11-27T12:48:00Z,25,in_progress,2,CFPB
CDE-0026,ADV-016,CLI-016,DOC-009,2025-11-26T09:45:00Z,28,completed,1,SEC
CDE-0027,ADV-018,CLI-006,DOC-005,2025-10-20T11:24:00Z,54,in_progress,1,FinCEN
CDE-0028,ADV-014,CLI-027,DOC-011,2025-12-09T15:26:00Z,13,rejected,1,OCC
CDE-0029,ADV-025,CLI-038,DOC-001,2025-12-13T14:30:00Z,10,completed,2,OCC
CDE-0030,ADV-014,CLI-035,DOC-018,2025-12-17T11:31:00Z,24,completed,2,FinCEN
CDE-0031,ADV-013,CLI-022,DOC-013,2025-10-22T15:58:00Z,18,pending_review,0,CFPB
CDE-0032,ADV-019,CLI-002,DOC-003,2025-12-22T14:08:00Z,39,completed,1,OCC
