interaction_id,advisor_id,timestamp,system_module,action,click_count,idle_seconds,error_code
CBI-00001,ADV-021,2025-12-08T11:58:00Z,Compliance Dashboard,edit,9,16,
CBI-00002,ADV-015,2025-11-09T12:26:00Z,Trading Desk,submit,5,2,
CBI-00003,ADV-017,2025-10-18T12:18:00Z,Reporting,view,12,33,DATA_SYNC
CBI-00004,ADV-010,2025-10-02T13:51:00Z,Trading Desk,approve,13,2,FIELD_ERROR
CBI-00005,ADV-012,2025-10-25T13:56:00Z,Wire Transfer,upload,4,12,AUTH_FAIL
CBI-00006,ADV-013,2025-10-29T11:05:00Z,Wire Transfer,approve,9,41,
CBI-00007,ADV-010,2025-12-23T18:34:00Z,Trading Desk,upload,4,6,
CBI-00008,ADV-005,2025-11-07T08:40:00Z,Reporting,edit,5,41,DATA_SYNC
CBI-00009,ADV-007,2025-11-11T07:09:00Z,KYC,view,3,8,
CBI-00010,ADV-009,2025-10-17T18:28:00Z,KYC,approve,2,11,
CBI-00011,ADV-016,2025-10-28T12:26:00Z,Trading Desk,edit,6,31,
CBI-00012,ADV-011,2025-10-11T09:03:00Z,Trading Desk,upload,2,36,DATA_SYNC
CBI-00013,ADV-006,2025-10-25T11:52:00Z,Wire Transfer,view,2,17,AUTH_FAIL
CBI-00014,ADV-025,2025-11-26T10:47:00Z,KYC,approve,8,8,FIELD_ERROR
CBI-00015,ADV-022,2025-10-27T14:24:00Z,Trading Desk,export,3,42,
CBI-00016,ADV-024,2025-12-10T15:07:00Z,Trading Desk,edit,11,21,
CBI-00017,ADV-012,2025-10-07T17:13:00Z,Loan Origination,approve,11,29,TIMEOUT
CBI-00018,ADV-001,2025-10-22T11:37:00Z,Loan Origination,upload,13,17,
CBI-00019,ADV-002,2025-12-14T18:30:00Z,Account Opening,export,13,7,
CBI-00020,ADV-006,2025-12-03T08:43:00Z,Compliance Dashboard,view,1,24,
CBI-00021,ADV-023,2025-12-08T08:08:00Z,Reporting,approve,6,37,TIMEOUT
CBI-00022,ADV-015,2025-10-25T07:44:00Z,Wire Transfer,export,12,10,
CBI-00023,ADV-002,2025-12-02T18:28:00Z,Trading Desk,edit,4,38,
CBI-00024,ADV-018,2025-11-14T12:46:00Z,Reporting,reject,14,40,FIELD_ERROR
CBI-00025,ADV-006,2025-10-09T15:09:00Z,Reporting,reject,14,18,FIELD_ERROR
