exam_id,branch_id,regulation_id,date,doc_completion_pct,gap_count,days_to_exam,prep_hours_spent
EXM-0001,BRN-001,REG-001,2025-10-06,94.8,2,47,64
EXM-0002,BRN-002,REG-002,2025-10-15,68.3,1,8,27
EXM-0003,BRN-003,REG-003,2025-12-24,87.7,10,52,66
EXM-0004,BRN-004,REG-004,2025-12-19,74.4,2,54,53
EXM-0005,BRN-005,REG-005,2025-10-24,69.0,12,65,44
EXM-0006,BRN-001,REG-006,2025-11-19,89.1,15,60,31
EXM-0007,BRN-002,REG-007,2025-10-15,69.6,1,27,23
EXM-0008,BRN-003,REG-008,2025-11-23,96.9,3,79,66
EXM-0009,BRN-004,REG-009,2025-10-24,86.4,11,85,13
EXM-0010,BRN-005,REG-010,2025-12-27,95.8,5,23,71
EXM-0011,BRN-001,REG-011,2025-12-02,69.0,13,63,15
EXM-0012,BRN-002,REG-012,2025-10-09,74.2,10,8,77
EXM-0013,BRN-003,REG-001,2025-12-13,90.3,1,50,76
EXM-0014,BRN-004,REG-002,2025-12-06,89.1,19,19,65
EXM-0015,BRN-005,REG-003,2025-12-24,90.4,3,51,59
