kyc_id,advisor_id,client_id,timestamp,verification_type,source,result,time_to_complete_min
KYC-0001,ADV-005,CLI-036,2025-12-18T08:00:00Z,PEP_screen,LexisNexis,pass,18
KYC-0002,ADV-016,CLI-011,2025-10-10T15:20:00Z,address,World-Check,manual_review,4
KYC-0003,ADV-017,CLI-015,2025-12-10T14:25:00Z,address,Experian,pass,28
KYC-0004,ADV-019,CLI-029,2025-10-12T15:28:00Z,income,Experian,manual_review,26
KYC-0005,ADV-021,CLI-002,2025-10-14T14:26:00Z,identity,Manual,pass,29
KYC-0006,ADV-003,CLI-039,2025-12-19T12:56:00Z,sanctions_screen,Manual,pass,49
KYC-0007,ADV-011,CLI-024,2025-10-07T11:54:00Z,beneficial_owner,World-Check,pass,22
KYC-0008,ADV-020,CLI-031,2025-12-31T13:45:00Z,beneficial_owner,Experian,pass,24
KYC-0009,ADV-008,CLI-001,2025-11-13T13:53:00Z,PEP_screen,World-Check,pass,14
KYC-0010,ADV-023,CLI-007,2025-10-06T10:31:00Z,address,Plaid,pending,16
KYC-0011,ADV-004,CLI-017,2025-12-18T11:12:00Z,identity,OFAC_SDN,pass,29
KYC-0012,ADV-007,CLI-022,2025-10-14T14:02:00Z,PEP_screen,Plaid,pass,27
KYC-0013,ADV-015,CLI-030,2025-12-24T17:32:00Z,address,OFAC_SDN,pass,26
KYC-0014,ADV-002,CLI-036,2025-11-25T17:30:00Z,sanctions_screen,LexisNexis,fail,8
KYC-0015,ADV-024,CLI-009,2025-10-14T14:42:00Z,sanctions_screen,Manual,manual_review,19
KYC-0016,ADV-013,CLI-027,2025-12-17T11:17:00Z,beneficial_owner,World-Check,manual_review,17
KYC-0017,ADV-005,CLI-009,2025-11-22T17:44:00Z,PEP_screen,Manual,pass,25
KYC-0018,ADV-018,CLI-021,2025-12-31T16:40:00Z,address,LexisNexis,pass,25
KYC-0019,ADV-010,CLI-023,2025-12-26T10:45:00Z,PEP_screen,LexisNexis,pass,25
KYC-0020,ADV-021,CLI-021,2025-12-30T09:48:00Z,income,Manual,pass,21
KYC-0021,ADV-022,CLI-027,2025-12-26T16:18:00Z,beneficial_owner,Experian,pass,3
KYC-0022,ADV-013,CLI-010,2025-10-07T08:12:00Z,income,LexisNexis,manual_review,24
KYC-0023,ADV-009,CLI-010,2025-10-08T12:13:00Z,sanctions_screen,Experian,pass,17
KYC-0024,ADV-004,CLI-040,2025-12-26T16:55:00Z,address,Plaid,fail,15
KYC-0025,ADV-008,CLI-033,2025-12-29T12:44:00Z,PEP_screen,Experian,manual_review,15
KYC-0026,ADV-014,CLI-021,2025-12-10T08:00:00Z,PEP_screen,World-Check,pass,30
KYC-0027,ADV-025,CLI-029,2025-10-29T13:48:00Z,sanctions_screen,Manual,pending,9
KYC-0028,ADV-025,CLI-013,2025-11-07T15:11:00Z,PEP_screen,Experian,pass,8
KYC-0029,ADV-024,CLI-033,2025-10-16T14:02:00Z,beneficial_owner,World-Check,pass,7
KYC-0030,ADV-006,CLI-038,2025-11-02T08:21:00Z,beneficial_owner,Plaid,manual_review,4
KYC-0031,ADV-005,CLI-021,2025-12-16T08:49:00Z,PEP_screen,Manual,pending,12
KYC-0032,ADV-016,CLI-037,2025-12-10T13:04:00Z,PEP_screen,World-Check,pass,8
KYC-0033,ADV-017,CLI-005,2025-12-04T10:26:00Z,sanctions_screen,Manual,pass,14
KYC-0034,ADV-008,CLI-014,2025-12-24T13:21:00Z,income,World-Check,pass,27
KYC-0035,ADV-020,CLI-034,2025-11-30T16:52:00Z,PEP_screen,Experian,pass,14
KYC-0036,ADV-015,CLI-016,2025-12-22T17:58:00Z,sanctions_screen,LexisNexis,manual_review,24
KYC-0037,ADV-011,CLI-025,2025-10-15T14:16:00Z,sanctions_screen,Plaid,pass,19
KYC-0038,ADV-025,CLI-024,2025-12-05T16:28:00Z,beneficial_owner,Experian,pass,23
KYC-0039,ADV-007,CLI-021,2025-12-05T09:06:00Z,address,Manual,pass,23
KYC-0040,ADV-003,CLI-014,2025-12-25T11:55:00Z,PEP_screen,OFAC_SDN,pending,33
KYC-0041,ADV-018,CLI-028,2025-12-22T09:47:00Z,PEP_screen,LexisNexis,pass,25
KYC-0042,ADV-011,CLI-003,2025-10-12T09:03:00Z,address,World-Check,pass,21
KYC-0043,ADV-008,CLI-017,2025-11-22T14:28:00Z,PEP_screen,OFAC_SDN,pass,3
