interaction_id,advisor_id,client_id,timestamp,channel,duration_sec,topic,outcome
SCI-00001,ADV-019,CLI-039,2025-12-15T09:32:00Z,chat,830,new_account,follow_up_required
SCI-00002,ADV-013,CLI-005,2025-12-15T09:35:00Z,in_person,415,complaint,resolved
SCI-00003,ADV-011,CLI-037,2025-12-15T09:37:00Z,portal,653,account_inquiry,follow_up_required
SCI-00004,ADV-004,CLI-036,2025-12-15T09:39:00Z,phone,1722,complaint,resolved
SCI-00005,ADV-006,CLI-013,2025-12-15T09:42:00Z,in_person,611,compliance_docs,follow_up_required
SCI-00006,ADV-010,CLI-034,2025-12-15T09:45:00Z,in_person,147,beneficiary_change,resolved
SCI-00007,ADV-006,CLI-021,2025-12-15T09:49:00Z,in_person,351,account_inquiry,follow_up_required
SCI-00008,ADV-018,CLI-027,2025-12-15T09:52:00Z,portal,170,new_account,follow_up_required
SCI-00009,ADV-005,CLI-014,2025-12-15T09:55:00Z,in_person,1705,complaint,follow_up_required
SCI-00010,ADV-020,CLI-037,2025-12-15T09:58:00Z,chat,445,complaint,escalated
SCI-00011,ADV-007,CLI-001,2025-12-15T10:00:00Z,in_person,161,new_account,follow_up_required
SCI-00012,ADV-017,CLI-022,2025-12-15T10:05:00Z,in_person,972,complaint,resolved
SCI-00013,ADV-024,CLI-006,2025-12-15T10:07:00Z,portal,964,beneficiary_change,escalated
SCI-00014,ADV-013,CLI-040,2025-12-15T10:09:00Z,in_person,540,loan_status,information_provided
SCI-00015,ADV-015,CLI-025,2025-12-15T10:14:00Z,email,1460,account_inquiry,information_provided
SCI-00016,ADV-023,CLI-003,2025-12-15T10:15:00Z,email,590,wire_transfer,resolved
SCI-00017,ADV-023,CLI-014,2025-12-15T10:19:00Z,in_person,1590,account_inquiry,escalated
SCI-00018,ADV-003,CLI-007,2025-12-15T10:23:00Z,video_call,869,complaint,follow_up_required
SCI-00019,ADV-009,CLI-014,2025-12-15T10:26:00Z,phone,976,portfolio_review,resolved
SCI-00020,ADV-021,CLI-030,2025-12-15T10:28:00Z,video_call,1557,new_account,follow_up_required
SCI-00021,ADV-013,CLI-003,2025-12-15T10:30:00Z,video_call,264,loan_status,escalated
SCI-00022,ADV-022,CLI-030,2025-12-15T10:34:00Z,in_person,169,account_inquiry,follow_up_required
SCI-00023,ADV-023,CLI-029,2025-12-15T10:36:00Z,in_person,1710,wire_transfer,follow_up_required
SCI-00024,ADV-006,CLI-002,2025-12-15T10:41:00Z,phone,392,wire_transfer,resolved
SCI-00025,ADV-018,CLI-026,2025-12-15T10:42:00Z,phone,1405,portfolio_review,escalated
SCI-00026,ADV-005,CLI-029,2025-12-15T10:46:00Z,email,473,portfolio_review,follow_up_required
SCI-00027,ADV-015,CLI-004,2025-12-15T10:50:00Z,chat,1342,account_inquiry,information_provided
SCI-00028,ADV-023,CLI-020,2025-12-15T10:52:00Z,phone,1255,portfolio_review,resolved
SCI-00029,ADV-025,CLI-025,2025-12-15T10:54:00Z,email,797,compliance_docs,follow_up_required
SCI-00030,ADV-003,CLI-002,2025-12-15T10:58:00Z,phone,59,beneficiary_change,follow_up_required
SCI-00031,ADV-022,CLI-005,2025-12-15T11:00:00Z,phone,1662,loan_status,follow_up_required
SCI-00032,ADV-002,CLI-027,2025-12-15T11:05:00Z,phone,1700,beneficiary_change,escalated
SCI-00033,ADV-018,CLI-013,2025-12-15T11:08:00Z,email,1139,new_account,information_provided
SCI-00034,ADV-004,CLI-015,2025-12-15T11:09:00Z,phone,760,beneficiary_change,follow_up_required
SCI-00035,ADV-001,CLI-026,2025-12-15T11:14:00Z,video_call,54,new_account,follow_up_required
SCI-00036,ADV-015,CLI-015,2025-12-15T11:15:00Z,portal,1699,wire_transfer,escalated
SCI-00037,ADV-002,CLI-005,2025-12-15T11:18:00Z,in_person,647,complaint,resolved
SCI-00038,ADV-023,CLI-035,2025-12-15T11:23:00Z,email,545,account_inquiry,escalated
SCI-00039,ADV-021,CLI-025,2025-12-15T11:26:00Z,portal,302,beneficiary_change,follow_up_required
SCI-00040,ADV-021,CLI-021,2025-12-15T11:29:00Z,in_person,168,beneficiary_change,resolved
SCI-00041,ADV-020,CLI-038,2025-12-15T11:31:00Z,in_person,1076,compliance_docs,resolved
SCI-00042,ADV-008,CLI-002,2025-12-15T11:35:00Z,phone,662,compliance_docs,information_provided
SCI-00043,ADV-025,CLI-016,2025-12-15T11:38:00Z,phone,152,loan_status,escalated
SCI-00044,ADV-016,CLI-019,2025-12-15T11:39:00Z,email,799,compliance_docs,resolved
SCI-00045,ADV-008,CLI-039,2025-12-15T11:43:00Z,portal,703,loan_status,escalated
SCI-00046,ADV-011,CLI-003,2025-12-15T11:47:00Z,in_person,1357,wire_transfer,resolved
SCI-00047,ADV-008,CLI-022,2025-12-15T11:49:00Z,email,451,portfolio_review,follow_up_required
SCI-00048,ADV-022,CLI-015,2025-12-15T11:53:00Z,in_person,1097,beneficiary_change,follow_up_required
SCI-00049,ADV-015,CLI-001,2025-12-15T11:54:00Z,in_person,173,compliance_docs,resolved
SCI-00050,ADV-021,CLI-010,2025-12-15T11:57:00Z,email,217,loan_status,follow_up_required
SCI-00051,ADV-008,CLI-033,2025-12-15T12:00:00Z,in_person,1514,complaint,escalated
SCI-00052,ADV-006,CLI-013,2025-12-15T12:03:00Z,in_person,391,compliance_docs,escalated
SCI-00053,ADV-010,CLI-037,2025-12-15T12:07:00Z,portal,442,wire_transfer,information_provided
SCI-00054,ADV-003,CLI-024,2025-12-15T12:10:00Z,in_person,373,complaint,information_provided
SCI-00055,ADV-014,CLI-033,2025-12-15T12:14:00Z,portal,917,loan_status,information_provided
SCI-00056,ADV-001,CLI-025,2025-12-15T12:16:00Z,phone,1584,wire_transfer,follow_up_required
SCI-00057,ADV-018,CLI-012,2025-12-15T12:19:00Z,in_person,979,wire_transfer,information_provided
SCI-00058,ADV-010,CLI-025,2025-12-15T12:23:00Z,chat,1014,account_inquiry,escalated
SCI-00059,ADV-005,CLI-031,2025-12-15T12:24:00Z,email,418,portfolio_review,resolved
SCI-00060,ADV-017,CLI-024,2025-12-15T12:28:00Z,in_person,881,new_account,escalated
SCI-00061,ADV-013,CLI-032,2025-12-15T12:31:00Z,portal,1234,account_inquiry,information_provided
SCI-00062,ADV-002,CLI-008,2025-12-15T12:34:00Z,chat,362,compliance_docs,information_provided
SCI-00063,ADV-009,CLI-023,2025-12-15T12:38:00Z,portal,1030,beneficiary_change,resolved
SCI-00064,ADV-021,CLI-025,2025-12-15T12:40:00Z,portal,535,compliance_docs,information_provided
SCI-00065,ADV-002,CLI-024,2025-12-15T12:44:00Z,portal,1415,portfolio_review,follow_up_required
SCI-00066,ADV-009,CLI-039,2025-12-15T12:46:00Z,portal,331,wire_transfer,follow_up_required
SCI-00067,ADV-020,CLI-038,2025-12-15T12:50:00Z,email,55,account_inquiry,resolved
SCI-00068,ADV-021,CLI-025,2025-12-15T12:52:00Z,portal,1230,account_inquiry,follow_up_required
SCI-00069,ADV-014,CLI-011,2025-12-15T12:55:00Z,video_call,1446,wire_transfer,information_provided
SCI-00070,ADV-019,CLI-020,2025-12-15T12:59:00Z,in_person,1571,account_inquiry,resolved
SCI-00071,ADV-021,CLI-037,2025-12-15T13:01:00Z,email,580,compliance_docs,information_provided
SCI-00072,ADV-023,CLI-020,2025-12-15T13:03:00Z,email,1701,complaint,resolved
SCI-00073,ADV-004,CLI-005,2025-12-15T13:08:00Z,in_person,1105,new_account,escalated
SCI-00074,ADV-024,CLI-028,2025-12-15T13:09:00Z,email,797,loan_status,follow_up_required
SCI-00075,ADV-007,CLI-032,2025-12-15T13:12:00Z,chat,255,complaint,follow_up_required
SCI-00076,ADV-006,CLI-013,2025-12-15T13:15:00Z,portal,404,compliance_docs,escalated
SCI-00077,ADV-014,CLI-029,2025-12-15T13:20:00Z,chat,253,loan_status,resolved
SCI-00078,ADV-010,CLI-006,2025-12-15T13:22:00Z,phone,596,account_inquiry,escalated
SCI-00079,ADV-001,CLI-038,2025-12-15T13:24:00Z,in_person,1023,account_inquiry,resolved
SCI-00080,ADV-002,CLI-018,2025-12-15T13:27:00Z,portal,1222,portfolio_review,resolved
