alert_id,advisor_id,client_id,timestamp,alert_type,risk_score,suppressed,action_taken
SCA-00001,ADV-015,CLI-001,2025-12-15T09:31:00Z,sanctions_hit,72,False,SAR_filed
SCA-00002,ADV-011,CLI-024,2025-12-15T09:35:00Z,large_currency_txn,50,False,SAR_filed
SCA-00003,ADV-013,CLI-040,2025-12-15T09:36:00Z,large_currency_txn,52,False,investigated
SCA-00004,ADV-023,CLI-026,2025-12-15T09:41:00Z,concentration_limit,13,False,account_frozen
SCA-00005,ADV-015,CLI-016,2025-12-15T09:43:00Z,PEP_alert,89,False,escalated_to_compliance
SCA-00006,ADV-022,CLI-013,2025-12-15T09:45:00Z,large_currency_txn,12,False,investigated
SCA-00007,ADV-024,CLI-021,2025-12-15T09:50:00Z,PEP_alert,39,False,escalated_to_compliance
SCA-00008,ADV-003,CLI-023,2025-12-15T09:52:00Z,PEP_alert,94,False,investigated
SCA-00009,ADV-010,CLI-039,2025-12-15T09:54:00Z,concentration_limit,76,False,pending_review
SCA-00010,ADV-005,CLI-032,2025-12-15T09:57:00Z,sanctions_hit,96,False,escalated_to_compliance
SCA-00011,ADV-015,CLI-029,2025-12-15T10:00:00Z,PEP_alert,94,False,dismissed
SCA-00012,ADV-015,CLI-006,2025-12-15T10:03:00Z,unusual_wire,13,False,SAR_filed
SCA-00013,ADV-025,CLI-018,2025-12-15T10:06:00Z,sanctions_hit,95,False,pending_review
SCA-00014,ADV-015,CLI-009,2025-12-15T10:11:00Z,PEP_alert,21,False,SAR_filed
SCA-00015,ADV-019,CLI-039,2025-12-15T10:12:00Z,large_currency_txn,58,False,pending_review
SCA-00016,ADV-013,CLI-036,2025-12-15T10:16:00Z,suitability_mismatch,38,False,SAR_filed
SCA-00017,ADV-015,CLI-006,2025-12-15T10:19:00Z,suitability_mismatch,24,False,dismissed
SCA-00018,ADV-013,CLI-037,2025-12-15T10:23:00Z,AML_flag,49,True,account_frozen
SCA-00019,ADV-015,CLI-025,2025-12-15T10:25:00Z,large_currency_txn,56,False,dismissed
SCA-00020,ADV-020,CLI-038,2025-12-15T10:27:00Z,SAR_trigger,60,True,escalated_to_compliance
SCA-00021,ADV-010,CLI-015,2025-12-15T10:31:00Z,PEP_alert,28,False,dismissed
SCA-00022,ADV-023,CLI-003,2025-12-15T10:35:00Z,large_currency_txn,49,False,pending_review
SCA-00023,ADV-015,CLI-037,2025-12-15T10:37:00Z,suitability_mismatch,73,False,escalated_to_compliance
SCA-00024,ADV-015,CLI-022,2025-12-15T10:39:00Z,suitability_mismatch,38,False,investigated
SCA-00025,ADV-025,CLI-012,2025-12-15T10:43:00Z,unusual_wire,48,False,pending_review
SCA-00026,ADV-006,CLI-002,2025-12-15T10:47:00Z,unusual_wire,53,False,escalated_to_compliance
SCA-00027,ADV-025,CLI-026,2025-12-15T10:49:00Z,SAR_trigger,77,False,SAR_filed
SCA-00028,ADV-007,CLI-036,2025-12-15T10:52:00Z,SAR_trigger,26,False,account_frozen
SCA-00029,ADV-002,CLI-020,2025-12-15T10:55:00Z,concentration_limit,83,True,pending_review
SCA-00030,ADV-005,CLI-014,2025-12-15T10:57:00Z,suitability_mismatch,93,True,pending_review
SCA-00031,ADV-004,CLI-010,2025-12-15T11:01:00Z,unusual_wire,96,False,investigated
SCA-00032,ADV-015,CLI-031,2025-12-15T11:03:00Z,AML_flag,25,False,pending_review
SCA-00033,ADV-014,CLI-010,2025-12-15T11:08:00Z,unusual_wire,41,True,dismissed
SCA-00034,ADV-010,CLI-039,2025-12-15T11:09:00Z,unusual_wire,98,False,pending_review
SCA-00035,ADV-025,CLI-030,2025-12-15T11:14:00Z,unusual_wire,45,False,escalated_to_compliance
SCA-00036,ADV-004,CLI-008,2025-12-15T11:15:00Z,SAR_trigger,72,False,account_frozen
SCA-00037,ADV-015,CLI-038,2025-12-15T11:20:00Z,PEP_alert,45,False,investigated
SCA-00038,ADV-006,CLI-025,2025-12-15T11:22:00Z,unusual_wire,48,False,investigated
SCA-00039,ADV-023,CLI-035,2025-12-15T11:24:00Z,unusual_wire,99,True,account_frozen
SCA-00040,ADV-017,CLI-032,2025-12-15T11:27:00Z,SAR_trigger,36,False,investigated
SCA-00041,ADV-015,CLI-039,2025-12-15T11:32:00Z,concentration_limit,10,False,SAR_filed
SCA-00042,ADV-015,CLI-009,2025-12-15T11:35:00Z,suitability_mismatch,93,False,account_frozen
SCA-00043,ADV-015,CLI-003,2025-12-15T11:36:00Z,SAR_trigger,74,False,account_frozen
SCA-00044,ADV-015,CLI-001,2025-12-15T11:39:00Z,sanctions_hit,15,False,account_frozen
SCA-00045,ADV-010,CLI-035,2025-12-15T11:43:00Z,concentration_limit,83,False,SAR_filed
SCA-00046,ADV-012,CLI-039,2025-12-15T11:47:00Z,suitability_mismatch,98,True,investigated
SCA-00047,ADV-015,CLI-013,2025-12-15T11:48:00Z,sanctions_hit,37,False,account_frozen
SCA-00048,ADV-019,CLI-023,2025-12-15T11:52:00Z,concentration_limit,89,False,account_frozen
SCA-00049,ADV-015,CLI-025,2025-12-15T11:56:00Z,concentration_limit,61,False,SAR_filed
SCA-00050,ADV-023,CLI-010,2025-12-15T11:59:00Z,suitability_mismatch,19,False,SAR_filed
