click_id,advisor_id,timestamp,module,screen,action,duration_ms,idle_before_ms,error_code
CLK-00001,ADV-011,2025-12-15T09:31:00Z,Trading Desk,Client Profile,search,1827,4538,
CLK-00002,ADV-010,2025-12-15T09:33:00Z,Account Opening,Trade Entry,search,2726,2613,AUTH_FAIL
CLK-00003,ADV-022,2025-12-15T09:36:00Z,KYC,Wire Transfer,submit,645,5943,
CLK-00004,ADV-010,2025-12-15T09:40:00Z,Loan Origination,Wire Transfer,submit,6963,7415,TIMEOUT
CLK-00005,ADV-009,2025-12-15T09:43:00Z,Loan Origination,Dashboard,approve,4125,6261,
CLK-00006,ADV-016,2025-12-15T09:47:00Z,Wire Transfer,Client Profile,reject,1193,2707,DATA_SYNC
CLK-00007,ADV-018,2025-12-15T09:49:00Z,Loan Origination,Alert Queue,view,6876,5289,
CLK-00008,ADV-001,2025-12-15T09:52:00Z,Loan Origination,Loan Calculator,submit,5190,4755,AUTH_FAIL
CLK-00009,ADV-015,2025-12-15T09:54:00Z,CRM,KYC Form,export,9054,1477,
CLK-00010,ADV-018,2025-12-15T09:58:00Z,Reporting,Dashboard,view,7812,7973,
CLK-00011,ADV-021,2025-12-15T10:00:00Z,KYC,Dashboard,edit,4677,4997,
CLK-00012,ADV-022,2025-12-15T10:04:00Z,Compliance Dashboard,Loan Calculator,reject,945,1422,FIELD_ERROR
CLK-00013,ADV-019,2025-12-15T10:06:00Z,Trading Desk,Client Profile,upload,11643,1107,
CLK-00014,ADV-024,2025-12-15T10:11:00Z,Trading Desk,Report Generator,approve,10201,4235,TIMEOUT
CLK-00015,ADV-022,2025-12-15T10:13:00Z,Trading Desk,Alert Queue,reject,4229,5525,TIMEOUT
CLK-00016,ADV-011,2025-12-15T10:15:00Z,Reporting,Wire Transfer,view,11535,1195,
CLK-00017,ADV-020,2025-12-15T10:19:00Z,KYC,Dashboard,submit,6969,4653,DATA_SYNC
CLK-00018,ADV-025,2025-12-15T10:22:00Z,Loan Origination,Client Profile,view,11203,3746,
CLK-00019,ADV-012,2025-12-15T10:25:00Z,Compliance Dashboard,Report Generator,submit,11620,169,
CLK-00020,ADV-015,2025-12-15T10:28:00Z,CRM,Alert Queue,view,3829,6187,
CLK-00021,ADV-025,2025-12-15T10:31:00Z,Compliance Dashboard,Loan Calculator,search,10250,5221,
CLK-00022,ADV-023,2025-12-15T10:33:00Z,CRM,Alert Queue,export,802,2399,DATA_SYNC
CLK-00023,ADV-023,2025-12-15T10:38:00Z,CRM,Dashboard,approve,10660,3344,
CLK-00024,ADV-009,2025-12-15T10:41:00Z,Reporting,KYC Form,approve,11010,6152,
CLK-00025,ADV-003,2025-12-15T10:44:00Z,Account Opening,Client Profile,submit,4453,7747,
CLK-00026,ADV-017,2025-12-15T10:47:00Z,Trading Desk,Loan Calculator,view,11553,5652,FIELD_ERROR
CLK-00027,ADV-020,2025-12-15T10:49:00Z,Reporting,Dashboard,upload,10701,5614,
CLK-00028,ADV-011,2025-12-15T10:52:00Z,Wire Transfer,Trade Entry,search,11343,4345,DATA_SYNC
CLK-00029,ADV-016,2025-12-15T10:55:00Z,KYC,Loan Calculator,view,4753,7623,AUTH_FAIL
CLK-00030,ADV-018,2025-12-15T10:58:00Z,Compliance Dashboard,Dashboard,upload,3388,2841,
CLK-00031,ADV-019,2025-12-15T11:00:00Z,CRM,Report Generator,search,4295,1712,
CLK-00032,ADV-011,2025-12-15T11:04:00Z,Loan Origination,Client Profile,view,8063,3638,
CLK-00033,ADV-019,2025-12-15T11:08:00Z,Compliance Dashboard,Trade Entry,approve,1966,3979,
CLK-00034,ADV-011,2025-12-15T11:09:00Z,Compliance Dashboard,Loan Calculator,search,10029,5175,DATA_SYNC
CLK-00035,ADV-025,2025-12-15T11:12:00Z,Reporting,Client Profile,search,1194,7609,
CLK-00036,ADV-013,2025-12-15T11:16:00Z,Loan Origination,KYC Form,view,7440,548,
CLK-00037,ADV-020,2025-12-15T11:20:00Z,Wire Transfer,Client Profile,search,11301,557,FIELD_ERROR
CLK-00038,ADV-002,2025-12-15T11:22:00Z,Wire Transfer,Report Generator,search,10313,6260,AUTH_FAIL
CLK-00039,ADV-008,2025-12-15T11:26:00Z,KYC,Alert Queue,upload,7805,6613,AUTH_FAIL
CLK-00040,ADV-020,2025-12-15T11:29:00Z,Loan Origination,Wire Transfer,view,7639,4337,TIMEOUT
CLK-00041,ADV-019,2025-12-15T11:30:00Z,Loan Origination,Client Profile,view,9951,5943,
CLK-00042,ADV-019,2025-12-15T11:33:00Z,Account Opening,Trade Entry,export,7097,4043,DATA_SYNC
CLK-00043,ADV-006,2025-12-15T11:36:00Z,Account Opening,Dashboard,view,2291,2653,AUTH_FAIL
CLK-00044,ADV-017,2025-12-15T11:41:00Z,Compliance Dashboard,Trade Entry,submit,2615,3946,
CLK-00045,ADV-020,2025-12-15T11:43:00Z,Trading Desk,Wire Transfer,view,8681,4904,
CLK-00046,ADV-002,2025-12-15T11:45:00Z,KYC,Report Generator,export,3401,1741,
