click_id,nurse_id,shift_id,timestamp,event_type,target_element,screen_name,ehr_module,action_context,duration_ms,idle_seconds_before,error_code,session_id
CLK-0001,NRS-001,SHF-001,2026-02-23T06:50:05.120,Login,LoginButton,LoginScreen,Authentication,Shift Start,850,0,,SESS-NRS001-0223D
CLK-0002,NRS-001,SHF-001,2026-02-23T06:50:12.340,MouseClick,PatientListTab,Dashboard,PatientList,Navigation,120,0,,SESS-NRS001-0223D
CLK-0003,NRS-001,SHF-001,2026-02-23T06:50:15.560,MouseClick,PatientRow_PAT-001,PatientList,PatientList,Select Patient,95,0,,SESS-NRS001-0223D
CLK-0004,NRS-001,SHF-001,2026-02-23T06:50:16.800,PageLoad,ChartOverview,PatientChart,ChartReview,Auto,1250,0,,SESS-NRS001-0223D
CLK-0005,NRS-001,SHF-001,2026-02-23T06:50:22.100,ScrollEvent,VitalsPanel,PatientChart,ChartReview,Scroll Down,200,0,,SESS-NRS001-0223D
CLK-0006,NRS-001,SHF-001,2026-02-23T06:50:25.450,MouseClick,VitalsTab,PatientChart,Vitals,Navigation,110,0,,SESS-NRS001-0223D
CLK-0007,NRS-001,SHF-001,2026-02-23T06:50:30.800,MouseClick,LatestVitalsRow,VitalsHistory,Vitals,Review Data,85,0,,SESS-NRS001-0223D
CLK-0008,NRS-001,SHF-001,2026-02-23T06:50:45.200,MouseClick,MedicationsTab,PatientChart,Medications,Navigation,105,0,,SESS-NRS001-0223D
CLK-0009,NRS-001,SHF-001,2026-02-23T06:50:52.600,ScrollEvent,MedList,MedicationList,Medications,Scroll Down,180,0,,SESS-NRS001-0223D
CLK-0010,NRS-001,SHF-001,2026-02-23T06:51:05.100,MouseClick,BackToDashboard,PatientChart,Navigation,Navigation,90,0,,SESS-NRS001-0223D
CLK-0011,NRS-001,SHF-001,2026-02-23T06:51:08.500,MouseClick,PatientRow_PAT-002,PatientList,PatientList,Select Patient,95,0,,SESS-NRS001-0223D
CLK-0012,NRS-001,SHF-001,2026-02-23T06:51:09.900,PageLoad,ChartOverview,PatientChart,ChartReview,Auto,1400,0,,SESS-NRS001-0223D
CLK-0013,NRS-001,SHF-001,2026-02-23T06:51:18.200,ScrollEvent,NotesPanel,PatientChart,ChartReview,Scroll Down,220,0,,SESS-NRS001-0223D
CLK-0014,NRS-001,SHF-001,2026-02-23T06:51:25.800,MouseClick,AssessmentsTab,PatientChart,Assessments,Navigation,100,0,,SESS-NRS001-0223D
CLK-0015,NRS-001,SHF-001,2026-02-23T06:51:35.500,IdleStart,AssessmentForm,Assessments,Assessments,Stepped Away,0,0,,SESS-NRS001-0223D
CLK-0016,NRS-001,SHF-001,2026-02-23T06:55:10.200,IdleEnd,AssessmentForm,Assessments,Assessments,Returned,0,215,,SESS-NRS001-0223D
CLK-0017,NRS-001,SHF-001,2026-02-23T07:30:00.500,MouseClick,NoteTemplateBtn,DocumentationScreen,Documentation,Start Note,130,0,,SESS-NRS001-0223D
CLK-0018,NRS-001,SHF-001,2026-02-23T07:30:05.200,MouseClick,NursingAssessment,TemplateList,Documentation,Select Template,95,0,,SESS-NRS001-0223D
CLK-0019,NRS-001,SHF-001,2026-02-23T07:30:06.500,PageLoad,NoteEditor,DocumentationScreen,Documentation,Auto,1800,0,,SESS-NRS001-0223D
CLK-0020,NRS-001,SHF-001,2026-02-23T07:30:12.100,Keystroke,SubjectiveField,NoteEditor,Documentation,Typing,45,0,,SESS-NRS001-0223D
CLK-0021,NRS-001,SHF-001,2026-02-23T07:30:12.150,Keystroke,SubjectiveField,NoteEditor,Documentation,Typing,42,0,,SESS-NRS001-0223D
CLK-0022,NRS-001,SHF-001,2026-02-23T07:30:12.210,Keystroke,SubjectiveField,NoteEditor,Documentation,Typing,40,0,,SESS-NRS001-0223D
CLK-0023,NRS-001,SHF-001,2026-02-23T07:30:15.800,MouseClick,SmartPhrase_Dot,NoteEditor,Documentation,Insert SmartPhrase,110,0,,SESS-NRS001-0223D
CLK-0024,NRS-001,SHF-001,2026-02-23T07:30:16.500,MouseClick,SP_NursingAssessment,SmartPhraseList,Documentation,Select Phrase,80,0,,SESS-NRS001-0223D
CLK-0025,NRS-001,SHF-001,2026-02-23T07:30:18.000,AutoPopulate,AssessmentFields,NoteEditor,Documentation,SmartPhrase Fill,350,0,,SESS-NRS001-0223D
CLK-0026,NRS-001,SHF-001,2026-02-23T07:30:25.500,Keystroke,ObjectiveField,NoteEditor,Documentation,Typing,38,0,,SESS-NRS001-0223D
CLK-0027,NRS-001,SHF-001,2026-02-23T07:30:25.550,Keystroke,ObjectiveField,NoteEditor,Documentation,Typing,42,0,,SESS-NRS001-0223D
CLK-0028,NRS-001,SHF-001,2026-02-23T07:30:45.200,AlertPopup,DrugInteraction,AlertDialog,CDS,System Alert,0,0,CDS-1001,SESS-NRS001-0223D
CLK-0029,NRS-001,SHF-001,2026-02-23T07:30:48.800,MouseClick,DismissAlert,AlertDialog,CDS,Dismiss Alert,90,0,,SESS-NRS001-0223D
