ping_id,nurse_id,unit_id,timestamp,zone_type,zone_name,floor,room_id,x_coord,y_coord,beacon_id,signal_strength_dbm,speed_mph,is_moving,dwell_time_seconds
LOC-0001,NRS-001,UNIT-001,2026-02-23T06:50:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.2,12.8,BCN-4A-01,-62,0.0,No,0
LOC-0002,NRS-001,UNIT-001,2026-02-23T06:50:30,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.2,12.8,BCN-4A-01,-60,0.0,No,30
LOC-0003,NRS-001,UNIT-001,2026-02-23T06:51:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.3,12.9,BCN-4A-01,-61,0.0,No,60
LOC-0004,NRS-001,UNIT-001,2026-02-23T06:51:30,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.2,12.8,BCN-4A-01,-59,0.0,No,90
LOC-0005,NRS-001,UNIT-001,2026-02-23T06:52:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.3,12.9,BCN-4A-01,-62,0.0,No,120
LOC-0006,NRS-001,UNIT-001,2026-02-23T06:52:30,Hallway,Corridor 4A-East,4,,42.1,14.5,BCN-4A-02,-68,2.3,Yes,0
LOC-0007,NRS-001,UNIT-001,2026-02-23T06:53:00,Hallway,Corridor 4A-East,4,,39.8,14.5,BCN-4A-02,-65,2.1,Yes,0
LOC-0008,NRS-001,UNIT-001,2026-02-23T06:53:30,Patient Room,Room 401,4,RM-401,36.2,16.1,BCN-4A-03,-55,0.5,No,0
LOC-0009,NRS-001,UNIT-001,2026-02-23T06:54:00,Patient Room,Room 401,4,RM-401,36.4,16.0,BCN-4A-03,-54,0.0,No,30
LOC-0010,NRS-001,UNIT-001,2026-02-23T06:54:30,Patient Room,Room 401,4,RM-401,36.3,16.2,BCN-4A-03,-56,0.0,No,60
LOC-0011,NRS-001,UNIT-001,2026-02-23T06:55:00,Patient Room,Room 401,4,RM-401,36.2,16.0,BCN-4A-03,-55,0.0,No,90
LOC-0012,NRS-001,UNIT-001,2026-02-23T06:55:30,Patient Room,Room 401,4,RM-401,36.4,16.1,BCN-4A-03,-57,0.0,No,120
