survey_id,adjuster_id,dept_id,date,caseload_count,workload_perception,overtime_hours,burnout_risk_score
AWS-0001,ADJ-001,DEPT-001,2025-11-15,15,6.8,1,5.0
AWS-0002,ADJ-002,DEPT-002,2025-11-15,28,6.6,5,5.4
AWS-0003,ADJ-003,DEPT-003,2025-11-15,48,9.5,18,9.0
AWS-0004,ADJ-004,DEPT-004,2025-11-15,18,7.6,0,3.4
AWS-0005,ADJ-005,DEPT-005,2025-11-15,37,7.6,7,3.6
AWS-0006,ADJ-006,DEPT-001,2025-11-15,17,6.7,4,7.4
AWS-0007,ADJ-007,DEPT-002,2025-11-15,33,6.6,2,7.6
AWS-0008,ADJ-008,DEPT-003,2025-11-15,25,4.1,3,5.5
AWS-0009,ADJ-009,DEPT-004,2025-11-15,39,7.3,6,7.6
AWS-0010,ADJ-010,DEPT-005,2025-11-15,24,4.6,3,5.4
AWS-0011,ADJ-011,DEPT-001,2025-11-15,27,6.7,8,4.0
AWS-0012,ADJ-012,DEPT-002,2025-11-15,30,3.5,1,2.0
AWS-0013,ADJ-013,DEPT-003,2025-11-15,39,7.0,12,7.9
AWS-0014,ADJ-014,DEPT-004,2025-11-15,38,4.3,11,7.8
AWS-0015,ADJ-015,DEPT-005,2025-11-15,16,4.4,3,7.0
AWS-0016,ADJ-016,DEPT-001,2025-11-15,25,6.4,9,7.7
AWS-0017,ADJ-017,DEPT-002,2025-11-15,27,7.9,5,2.2
AWS-0018,ADJ-018,DEPT-003,2025-11-15,23,7.1,7,4.9
AWS-0019,ADJ-019,DEPT-004,2025-11-15,26,6.2,6,4.6
AWS-0020,ADJ-020,DEPT-005,2025-11-15,36,6.3,6,2.5
AWS-0021,ADJ-021,DEPT-001,2025-11-15,34,5.2,3,6.3
AWS-0022,ADJ-022,DEPT-002,2025-11-15,22,8.5,14,8.0
AWS-0023,ADJ-023,DEPT-003,2025-11-15,17,5.1,6,6.3
AWS-0024,ADJ-024,DEPT-004,2025-11-15,35,4.6,6,3.9
AWS-0025,ADJ-025,DEPT-005,2025-11-15,18,4.4,4,4.7
AWS-0026,ADJ-026,DEPT-001,2025-11-15,39,5.1,2,2.5
AWS-0027,ADJ-027,DEPT-002,2025-11-15,28,5.8,8,5.1
AWS-0028,ADJ-028,DEPT-003,2025-11-15,18,4.1,5,5.3
AWS-0029,ADJ-029,DEPT-004,2025-11-15,34,6.4,5,7.2
AWS-0030,ADJ-030,DEPT-005,2025-11-15,15,5.2,6,6.7
