accuracy_id,claim_id,adjuster_id,date,reopened_flag,settlement_variance_pct,audit_finding_count,documentation_completeness_pct
ACC-0001,CLM-00001,ADJ-024,2025-12-11,False,14.7,1,92.3
ACC-0002,CLM-00002,ADJ-006,2025-10-18,False,5.5,1,81.1
ACC-0003,CLM-00003,ADJ-014,2025-11-05,False,8.3,0,86.5
ACC-0004,CLM-00004,ADJ-008,2025-12-20,False,10.0,3,81.9
ACC-0005,CLM-00005,ADJ-010,2025-10-01,False,6.3,3,94.5
ACC-0006,CLM-00006,ADJ-011,2025-11-26,False,12.6,1,85.4
ACC-0007,CLM-00007,ADJ-020,2025-12-28,False,6.1,3,97.4
ACC-0008,CLM-00008,ADJ-010,2025-12-28,False,14.6,1,85.9
ACC-0009,CLM-00009,ADJ-009,2025-11-20,False,14.1,1,90.7
ACC-0010,CLM-00010,ADJ-018,2025-10-24,False,9.2,3,97.0
ACC-0011,CLM-00011,ADJ-007,2025-11-26,False,12.8,0,94.7
ACC-0012,CLM-00012,ADJ-026,2025-11-22,False,3.8,2,84.4
ACC-0013,CLM-00013,ADJ-022,2025-10-20,False,12.3,0,88.1
ACC-0014,CLM-00014,ADJ-020,2025-12-01,False,8.9,3,89.8
ACC-0015,CLM-00015,ADJ-026,2025-11-16,False,12.6,0,82.0
ACC-0016,CLM-00016,ADJ-008,2025-12-24,False,4.2,0,90.1
ACC-0017,CLM-00017,ADJ-021,2025-12-26,False,14.6,2,97.4
ACC-0018,CLM-00018,ADJ-014,2025-10-14,True,5.4,1,88.0
ACC-0019,CLM-00019,ADJ-013,2025-11-29,False,9.7,1,86.2
ACC-0020,CLM-00020,ADJ-001,2025-12-01,True,7.4,0,82.1
ACC-0021,CLM-00021,ADJ-024,2025-10-19,False,6.5,1,89.4
ACC-0022,CLM-00022,ADJ-012,2025-11-30,False,3.7,1,96.6
ACC-0023,CLM-00023,ADJ-010,2025-10-06,False,3.5,2,91.7
ACC-0024,CLM-00024,ADJ-022,2025-10-22,False,11.6,1,89.9
ACC-0025,CLM-00025,ADJ-011,2025-12-11,False,8.0,3,91.3
ACC-0026,CLM-00026,ADJ-006,2025-12-21,False,7.1,1,88.1
ACC-0027,CLM-00027,ADJ-014,2025-11-19,True,4.8,2,93.5
ACC-0028,CLM-00028,ADJ-026,2025-10-09,False,12.4,1,86.6
ACC-0029,CLM-00029,ADJ-007,2025-11-28,True,10.7,3,89.5
ACC-0030,CLM-00030,ADJ-021,2025-11-10,False,9.9,0,86.3
ACC-0031,CLM-00031,ADJ-028,2025-11-28,False,12.6,2,96.5
ACC-0032,CLM-00032,ADJ-019,2025-10-11,False,6.1,1,85.5
ACC-0033,CLM-00033,ADJ-006,2025-11-17,False,8.6,3,90.7
ACC-0034,CLM-00034,ADJ-019,2025-11-19,False,8.3,1,90.0
ACC-0035,CLM-00035,ADJ-016,2025-11-06,True,6.1,3,91.1
ACC-0036,CLM-00036,ADJ-028,2025-11-15,False,8.3,1,94.7
ACC-0037,CLM-00037,ADJ-018,2025-12-04,False,7.3,3,87.5
ACC-0038,CLM-00038,ADJ-027,2025-11-26,False,3.1,0,94.3
ACC-0039,CLM-00039,ADJ-008,2025-11-07,True,4.9,2,83.0
ACC-0040,CLM-00040,ADJ-015,2025-12-12,False,12.0,0,90.3
ACC-0041,CLM-00041,ADJ-009,2025-12-09,False,6.8,0,93.7
ACC-0042,CLM-00042,ADJ-015,2025-12-09,False,7.5,1,85.4
ACC-0043,CLM-00043,ADJ-002,2025-11-27,False,13.2,0,87.9
ACC-0044,CLM-00044,ADJ-004,2025-10-31,False,11.6,2,95.5
ACC-0045,CLM-00045,ADJ-020,2025-12-20,False,10.0,1,94.6
ACC-0046,CLM-00046,ADJ-026,2025-10-08,False,8.9,1,85.8
ACC-0047,CLM-00047,ADJ-023,2025-11-07,False,5.5,0,82.4
ACC-0048,CLM-00048,ADJ-025,2025-11-22,False,14.9,1,92.6
ACC-0049,CLM-00049,ADJ-005,2025-11-01,True,6.2,1,93.7
ACC-0050,CLM-00050,ADJ-022,2025-11-20,False,9.5,2,91.3
ACC-0051,CLM-00051,ADJ-013,2025-11-27,True,12.3,0,87.3
ACC-0052,CLM-00052,ADJ-024,2025-11-05,False,13.4,3,97.1
ACC-0053,CLM-00053,ADJ-011,2025-12-14,True,12.1,0,93.2
ACC-0054,CLM-00054,ADJ-015,2025-12-21,False,6.7,0,94.3
ACC-0055,CLM-00055,ADJ-013,2025-10-28,False,12.7,3,84.8
ACC-0056,CLM-00056,ADJ-027,2025-11-06,False,9.5,3,94.2
ACC-0057,CLM-00057,ADJ-029,2025-12-27,False,2.6,3,80.3
ACC-0058,CLM-00058,ADJ-030,2025-10-21,False,2.0,3,83.6
ACC-0059,CLM-00059,ADJ-023,2025-10-17,False,5.9,2,81.7
ACC-0060,CLM-00060,ADJ-012,2025-11-02,False,3.5,0,95.3
