change_id,claim_id,adjuster_id,timestamp,from_status,to_status,documentation_required,time_in_previous_status_hours
CSC-00001,CLM-00034,ADJ-003,2025-12-22T16:24:00Z,Under_Investigation,Reserve_Set,True,85.1
CSC-00002,CLM-00048,ADJ-006,2025-11-27T08:16:00Z,Settlement_Accepted,Subrogation,False,25.7
CSC-00003,CLM-00035,ADJ-019,2025-10-08T10:48:00Z,Assigned,Under_Investigation,True,64.3
CSC-00004,CLM-00070,ADJ-014,2025-12-15T11:35:00Z,FNOL_Received,Assigned,False,78.7
CSC-00005,CLM-00054,ADJ-018,2025-12-27T15:36:00Z,Reserve_Set,Estimate_Pending,False,29.0
CSC-00006,CLM-00051,ADJ-029,2025-12-31T08:32:00Z,Closed,Reopened,True,12.0
CSC-00007,CLM-00058,ADJ-006,2025-10-22T11:51:00Z,Reserve_Set,Estimate_Pending,True,4.6
CSC-00008,CLM-00011,ADJ-022,2025-11-25T11:52:00Z,Under_Investigation,Reserve_Set,True,31.0
CSC-00009,CLM-00009,ADJ-003,2025-11-19T16:25:00Z,Subrogation,Closed,True,82.3
CSC-00010,CLM-00067,ADJ-015,2025-10-02T17:37:00Z,Subrogation,Closed,False,11.2
CSC-00011,CLM-00020,ADJ-005,2025-12-12T17:37:00Z,Assigned,Under_Investigation,True,54.2
CSC-00012,CLM-00013,ADJ-026,2025-11-06T16:56:00Z,Estimate_Approved,Settlement_Offered,False,25.7
CSC-00013,CLM-00063,ADJ-019,2025-12-17T15:02:00Z,Under_Investigation,Reserve_Set,True,39.0
CSC-00014,CLM-00080,ADJ-020,2025-12-27T14:02:00Z,Settlement_Offered,Settlement_Accepted,True,66.4
CSC-00015,CLM-00007,ADJ-024,2025-11-30T12:57:00Z,Estimate_Approved,Settlement_Offered,True,32.8
CSC-00016,CLM-00039,ADJ-010,2025-11-05T15:54:00Z,Assigned,Under_Investigation,True,13.3
CSC-00017,CLM-00057,ADJ-025,2025-11-11T12:46:00Z,Settlement_Offered,Settlement_Accepted,True,18.4
CSC-00018,CLM-00028,ADJ-030,2025-11-22T15:48:00Z,Subrogation,Closed,True,78.9
CSC-00019,CLM-00066,ADJ-026,2025-10-21T09:19:00Z,Subrogation,Closed,False,13.5
CSC-00020,CLM-00068,ADJ-029,2025-12-12T08:11:00Z,Reserve_Set,Estimate_Pending,True,80.4
CSC-00021,CLM-00032,ADJ-002,2025-11-28T08:58:00Z,Estimate_Approved,Settlement_Offered,True,26.7
CSC-00022,CLM-00060,ADJ-017,2025-11-20T18:59:00Z,Assigned,Under_Investigation,True,23.6
CSC-00023,CLM-00063,ADJ-020,2025-11-27T10:55:00Z,Settlement_Accepted,Subrogation,True,33.4
CSC-00024,CLM-00034,ADJ-024,2025-12-28T09:18:00Z,FNOL_Received,Assigned,False,5.2
CSC-00025,CLM-00074,ADJ-025,2025-10-28T11:41:00Z,Reserve_Set,Estimate_Pending,True,26.2
CSC-00026,CLM-00053,ADJ-017,2025-10-03T18:00:00Z,Settlement_Accepted,Subrogation,True,62.3
CSC-00027,CLM-00077,ADJ-026,2025-10-02T11:16:00Z,Closed,Reopened,True,68.6
CSC-00028,CLM-00036,ADJ-014,2025-11-18T13:29:00Z,Estimate_Pending,Estimate_Approved,True,45.1
CSC-00029,CLM-00067,ADJ-027,2025-12-19T14:37:00Z,Assigned,Under_Investigation,True,49.3
CSC-00030,CLM-00048,ADJ-018,2025-12-22T17:38:00Z,Estimate_Pending,Estimate_Approved,True,65.9
CSC-00031,CLM-00062,ADJ-003,2025-11-13T12:40:00Z,Estimate_Approved,Settlement_Offered,True,25.4
CSC-00032,CLM-00039,ADJ-007,2025-10-20T16:48:00Z,Reserve_Set,Estimate_Pending,True,77.4
CSC-00033,CLM-00077,ADJ-013,2025-12-24T13:43:00Z,Under_Investigation,Reserve_Set,True,63.1
CSC-00034,CLM-00038,ADJ-009,2025-11-23T14:24:00Z,FNOL_Received,Assigned,True,33.3
CSC-00035,CLM-00029,ADJ-022,2025-12-08T18:50:00Z,Settlement_Accepted,Subrogation,True,48.9
CSC-00036,CLM-00022,ADJ-027,2025-12-24T16:11:00Z,Estimate_Pending,Estimate_Approved,True,45.5
CSC-00037,CLM-00034,ADJ-024,2025-12-11T10:43:00Z,Estimate_Approved,Settlement_Offered,True,21.7
CSC-00038,CLM-00029,ADJ-024,2025-11-09T14:50:00Z,Estimate_Approved,Settlement_Offered,True,25.4
CSC-00039,CLM-00038,ADJ-015,2025-10-16T15:03:00Z,Closed,Reopened,True,45.6
