event_id,adjuster_id,claim_id,form_type_id,start_time,duration_minutes,status,error_count,regulatory_flag
CDE-00001,ADJ-006,CLM-00057,FRM-018,2025-12-30T12:39:00Z,51,in_progress,0,False
CDE-00002,ADJ-030,CLM-00014,FRM-005,2025-11-03T09:56:00Z,16,completed,1,False
CDE-00003,ADJ-023,CLM-00044,FRM-007,2025-12-27T12:32:00Z,41,pending_review,2,False
CDE-00004,ADJ-003,CLM-00055,FRM-009,2025-10-06T08:21:00Z,56,completed,4,False
CDE-00005,ADJ-023,CLM-00055,FRM-018,2025-10-02T09:04:00Z,54,completed,1,False
CDE-00006,ADJ-019,CLM-00071,FRM-005,2025-11-25T10:02:00Z,29,rejected,2,False
CDE-00007,ADJ-028,CLM-00006,FRM-012,2025-10-27T11:42:00Z,16,in_progress,2,False
CDE-00008,ADJ-014,CLM-00080,FRM-005,2025-10-31T10:51:00Z,21,completed,3,False
CDE-00009,ADJ-011,CLM-00053,FRM-022,2025-11-01T12:10:00Z,60,completed,0,True
CDE-00010,ADJ-016,CLM-00029,FRM-007,2025-11-28T13:19:00Z,60,completed,1,False
CDE-00011,ADJ-013,CLM-00043,FRM-009,2025-10-09T12:22:00Z,51,in_progress,3,False
CDE-00012,ADJ-011,CLM-00004,FRM-004,2025-11-03T10:37:00Z,26,completed,0,False
CDE-00013,ADJ-024,CLM-00041,FRM-014,2025-12-17T16:07:00Z,34,completed,1,False
CDE-00014,ADJ-001,CLM-00067,FRM-018,2025-12-27T11:23:00Z,37,pending_review,0,False
CDE-00015,ADJ-020,CLM-00041,FRM-022,2025-10-16T12:32:00Z,29,completed,3,False
CDE-00016,ADJ-018,CLM-00017,FRM-007,2025-11-23T14:43:00Z,57,in_progress,1,False
CDE-00017,ADJ-018,CLM-00001,FRM-010,2025-11-06T11:27:00Z,60,completed,2,False
CDE-00018,ADJ-007,CLM-00066,FRM-016,2025-10-22T09:18:00Z,42,completed,2,False
CDE-00019,ADJ-008,CLM-00040,FRM-008,2025-10-26T10:01:00Z,12,pending_review,1,False
CDE-00020,ADJ-025,CLM-00010,FRM-015,2025-11-23T17:12:00Z,55,completed,3,True
CDE-00021,ADJ-021,CLM-00001,FRM-004,2025-11-24T11:11:00Z,54,completed,3,True
CDE-00022,ADJ-028,CLM-00016,FRM-015,2025-10-18T15:42:00Z,43,pending_review,2,False
CDE-00023,ADJ-020,CLM-00065,FRM-014,2025-12-10T15:57:00Z,20,completed,3,False
CDE-00024,ADJ-027,CLM-00036,FRM-017,2025-12-02T11:17:00Z,38,in_progress,0,True
CDE-00025,ADJ-011,CLM-00041,FRM-018,2025-10-11T10:09:00Z,24,in_progress,3,False
CDE-00026,ADJ-003,CLM-00054,FRM-014,2025-11-12T16:29:00Z,93,completed,2,False
CDE-00027,ADJ-029,CLM-00075,FRM-001,2025-12-13T14:30:00Z,10,completed,2,False
CDE-00028,ADJ-029,CLM-00054,FRM-018,2025-12-09T17:57:00Z,24,completed,3,False
CDE-00029,ADJ-001,CLM-00050,FRM-011,2025-12-25T14:46:00Z,20,pending_review,3,False
CDE-00030,ADJ-018,CLM-00004,FRM-013,2025-12-15T17:42:00Z,11,in_progress,0,True
CDE-00031,ADJ-015,CLM-00024,FRM-002,2025-11-03T14:20:00Z,23,completed,3,False
CDE-00032,ADJ-013,CLM-00036,FRM-014,2025-11-02T09:30:00Z,11,pending_review,0,False
CDE-00033,ADJ-021,CLM-00009,FRM-021,2025-10-06T08:15:00Z,22,in_progress,0,True
CDE-00034,ADJ-016,CLM-00015,FRM-019,2025-10-28T15:44:00Z,26,completed,2,False
CDE-00035,ADJ-024,CLM-00015,FRM-006,2025-11-09T09:37:00Z,11,completed,2,False
CDE-00036,ADJ-013,CLM-00051,FRM-007,2025-10-10T17:44:00Z,50,completed,1,False
CDE-00037,ADJ-028,CLM-00077,FRM-004,2025-12-12T08:22:00Z,44,in_progress,3,True
CDE-00038,ADJ-021,CLM-00044,FRM-001,2025-11-23T15:06:00Z,37,in_progress,2,False
CDE-00039,ADJ-023,CLM-00020,FRM-014,2025-10-23T16:41:00Z,27,completed,3,False
CDE-00040,ADJ-019,CLM-00035,FRM-011,2025-11-01T09:17:00Z,38,in_progress,1,False
CDE-00041,ADJ-022,CLM-00049,FRM-011,2025-10-04T15:54:00Z,30,completed,1,False
CDE-00042,ADJ-009,CLM-00044,FRM-009,2025-12-16T12:35:00Z,10,completed,1,False
CDE-00043,ADJ-016,CLM-00072,FRM-008,2025-12-28T15:41:00Z,55,completed,3,True
CDE-00044,ADJ-010,CLM-00029,FRM-013,2025-12-28T11:19:00Z,52,completed,2,False
CDE-00045,ADJ-014,CLM-00071,FRM-011,2025-11-15T15:17:00Z,29,completed,2,False
CDE-00046,ADJ-011,CLM-00016,FRM-018,2025-12-28T10:12:00Z,23,completed,3,False
CDE-00047,ADJ-025,CLM-00068,FRM-020,2025-11-06T09:53:00Z,22,completed,2,True
CDE-00048,ADJ-001,CLM-00069,FRM-005,2025-11-05T08:03:00Z,45,in_progress,2,True
CDE-00049,ADJ-028,CLM-00063,FRM-004,2025-10-02T17:18:00Z,40,completed,3,True
CDE-00050,ADJ-002,CLM-00033,FRM-016,2025-10-15T09:25:00Z,41,completed,0,False
CDE-00051,ADJ-005,CLM-00020,FRM-019,2025-11-08T09:15:00Z,17,in_progress,3,False
CDE-00052,ADJ-008,CLM-00067,FRM-013,2025-11-27T15:19:00Z,47,completed,3,False
CDE-00053,ADJ-020,CLM-00013,FRM-007,2025-12-20T11:16:00Z,52,completed,0,True
CDE-00054,ADJ-003,CLM-00021,FRM-001,2025-11-22T15:44:00Z,116,completed,5,True
CDE-00055,ADJ-023,CLM-00037,FRM-015,2025-10-10T11:59:00Z,26,completed,1,False
CDE-00056,ADJ-021,CLM-00020,FRM-009,2025-10-19T09:03:00Z,20,completed,2,False
CDE-00057,ADJ-030,CLM-00037,FRM-015,2025-10-16T15:44:00Z,29,pending_review,3,False
CDE-00058,ADJ-016,CLM-00057,FRM-003,2025-12-16T08:56:00Z,37,in_progress,2,True
