click_id,adjuster_id,timestamp,module,screen,action,duration_ms,idle_before_ms,error_code
SCK-00001,ADJ-007,2025-12-13T11:11:00Z,Estimate Tool,Payments Tab,approve,4047,4065,
SCK-00002,ADJ-007,2025-10-30T10:53:00Z,Estimate Tool,Notes Tab,submit,12962,1847,
SCK-00003,ADJ-030,2025-10-11T17:42:00Z,Reporting,Dashboard,view,14093,8001,TIMEOUT
SCK-00004,ADJ-020,2025-11-10T14:57:00Z,Party Management,Approval Queue,print,3196,8474,
SCK-00005,ADJ-013,2025-10-29T16:08:00Z,FNOL Entry,Activity Log,export,8036,8959,
SCK-00006,ADJ-017,2025-11-14T13:55:00Z,Reserve Calculator,Payments Tab,search,11640,8590,SYNC_ERROR
SCK-00007,ADJ-011,2025-12-28T07:00:00Z,Estimate Tool,Documents Tab,search,5531,6024,
SCK-00008,ADJ-006,2025-12-10T11:15:00Z,Settlement Wizard,Payments Tab,upload,6195,3113,SYNC_ERROR
SCK-00009,ADJ-014,2025-10-27T13:44:00Z,Subrogation Tracker,Notes Tab,export,4781,7484,
SCK-00010,ADJ-019,2025-10-17T16:43:00Z,Estimate Tool,Search,edit,13374,3963,VALIDATION
SCK-00011,ADJ-014,2025-11-18T10:09:00Z,Reserve Calculator,Payments Tab,view,3093,7006,SYNC_ERROR
SCK-00012,ADJ-005,2025-12-20T15:34:00Z,Subrogation Tracker,Payments Tab,edit,4311,9310,
SCK-00013,ADJ-013,2025-10-13T18:10:00Z,FNOL Entry,Form Entry,edit,8007,1677,SYNC_ERROR
SCK-00014,ADJ-024,2025-11-12T11:23:00Z,Subrogation Tracker,Activity Log,edit,5838,424,AUTH_FAIL
SCK-00015,ADJ-004,2025-11-14T17:38:00Z,Estimate Tool,Activity Log,submit,12984,4763,TIMEOUT
SCK-00016,ADJ-011,2025-12-26T15:31:00Z,Reporting,Search,export,10254,4794,SYNC_ERROR
SCK-00017,ADJ-021,2025-10-19T09:40:00Z,Subrogation Tracker,Documents Tab,export,14108,1268,
SCK-00018,ADJ-006,2025-11-13T10:20:00Z,Subrogation Tracker,Approval Queue,edit,10118,6579,
SCK-00019,ADJ-029,2025-11-26T12:47:00Z,Party Management,Activity Log,print,6982,2841,
SCK-00020,ADJ-028,2025-10-03T09:46:00Z,Estimate Tool,Approval Queue,search,3650,2834,AUTH_FAIL
SCK-00021,ADJ-004,2025-10-13T08:59:00Z,Reporting,Activity Log,view,631,6604,VALIDATION
SCK-00022,ADJ-025,2025-10-11T08:16:00Z,Party Management,Detail View,search,10928,6487,
SCK-00023,ADJ-008,2025-11-01T18:18:00Z,Reporting,Detail View,submit,8830,2895,
SCK-00024,ADJ-002,2025-12-24T12:55:00Z,Subrogation Tracker,Payments Tab,print,14468,8956,
SCK-00025,ADJ-018,2025-11-26T09:44:00Z,Document Manager,Detail View,print,10539,9340,AUTH_FAIL
SCK-00026,ADJ-017,2025-12-21T17:34:00Z,Settlement Wizard,Notes Tab,print,9041,3821,
SCK-00027,ADJ-015,2025-11-09T12:26:00Z,Settlement Wizard,Detail View,edit,372,101,VALIDATION
SCK-00028,ADJ-027,2025-10-18T12:18:00Z,Reporting,Activity Log,view,11468,8159,SYNC_ERROR
SCK-00029,ADJ-010,2025-10-02T13:51:00Z,Settlement Wizard,Form Entry,view,9181,6221,
SCK-00030,ADJ-014,2025-12-11T13:25:00Z,Estimate Tool,Detail View,export,13772,6299,
SCK-00031,ADJ-009,2025-10-11T13:40:00Z,Estimate Tool,Activity Log,edit,4864,8815,
SCK-00032,ADJ-014,2025-10-25T08:11:00Z,Reserve Calculator,Approval Queue,search,10634,7560,SYNC_ERROR
SCK-00033,ADJ-009,2025-12-29T16:31:00Z,Estimate Tool,Notes Tab,view,2692,913,VALIDATION
SCK-00034,ADJ-001,2025-10-24T08:18:00Z,Settlement Wizard,Detail View,print,12112,234,
SCK-00035,ADJ-003,2025-10-20T07:31:00Z,Estimate Tool,Notes Tab,export,5304,8265,TIMEOUT
SCK-00036,ADJ-015,2025-12-29T07:21:00Z,Claim File,Detail View,view,4566,6529,
SCK-00037,ADJ-018,2025-11-30T09:12:00Z,Settlement Wizard,Documents Tab,view,2198,4178,AUTH_FAIL
SCK-00038,ADJ-025,2025-11-26T10:47:00Z,FNOL Entry,Form Entry,print,12247,1639,VALIDATION
SCK-00039,ADJ-022,2025-10-27T14:24:00Z,Settlement Wizard,Notes Tab,submit,10508,791,VALIDATION
