inspection_id,adjuster_id,claim_id,timestamp,location,travel_time_min,inspection_time_min,photo_count,report_time_min
FI-0001,ADJ-030,CLM-00008,2025-12-06T16:16:00Z,accident_scene,21,50,43,22
FI-0002,ADJ-025,CLM-00052,2025-11-10T13:53:00Z,hospital,59,115,20,42
FI-0003,ADJ-007,CLM-00010,2025-10-14T10:13:00Z,commercial_site,66,72,21,52
FI-0004,ADJ-002,CLM-00032,2025-12-08T13:44:00Z,policyholder_home,50,89,32,45
FI-0005,ADJ-022,CLM-00016,2025-11-05T10:23:00Z,accident_scene,57,59,6,56
FI-0006,ADJ-029,CLM-00039,2025-10-05T08:44:00Z,body_shop,42,90,29,34
FI-0007,ADJ-021,CLM-00045,2025-11-16T09:34:00Z,body_shop,66,69,5,40
FI-0008,ADJ-030,CLM-00059,2025-11-02T12:05:00Z,body_shop,48,46,15,43
FI-0009,ADJ-021,CLM-00021,2025-12-22T14:50:00Z,policyholder_home,45,30,36,45
FI-0010,ADJ-024,CLM-00027,2025-11-12T14:56:00Z,policyholder_home,30,109,21,47
FI-0011,ADJ-003,CLM-00023,2025-11-23T16:47:00Z,commercial_site,68,108,6,18
FI-0012,ADJ-021,CLM-00042,2025-10-24T15:50:00Z,body_shop,10,71,17,55
FI-0013,ADJ-010,CLM-00021,2025-12-13T09:07:00Z,body_shop,41,86,50,56
FI-0014,ADJ-025,CLM-00009,2025-12-16T14:50:00Z,commercial_site,67,81,13,31
FI-0015,ADJ-006,CLM-00044,2025-12-15T13:51:00Z,commercial_site,35,30,31,38
FI-0016,ADJ-006,CLM-00026,2025-11-18T11:01:00Z,policyholder_home,81,102,44,55
FI-0017,ADJ-008,CLM-00059,2025-10-12T15:12:00Z,commercial_site,31,26,30,54
FI-0018,ADJ-014,CLM-00039,2025-11-03T10:05:00Z,commercial_site,31,92,12,15
FI-0019,ADJ-023,CLM-00034,2025-11-25T15:52:00Z,accident_scene,25,48,50,28
FI-0020,ADJ-007,CLM-00056,2025-11-04T12:47:00Z,accident_scene,58,36,32,28
FI-0021,ADJ-020,CLM-00014,2025-11-06T11:26:00Z,body_shop,62,38,6,33
FI-0022,ADJ-009,CLM-00016,2025-12-19T15:58:00Z,body_shop,57,94,48,56
FI-0023,ADJ-015,CLM-00006,2025-10-02T15:08:00Z,commercial_site,60,107,18,60
FI-0024,ADJ-013,CLM-00046,2025-11-24T12:04:00Z,policyholder_home,81,27,8,36
FI-0025,ADJ-030,CLM-00016,2025-11-30T13:38:00Z,hospital,15,20,21,47
FI-0026,ADJ-020,CLM-00025,2025-11-08T14:42:00Z,commercial_site,26,91,7,52
FI-0027,ADJ-006,CLM-00017,2025-10-22T16:31:00Z,commercial_site,69,36,10,35
FI-0028,ADJ-023,CLM-00034,2025-11-25T10:16:00Z,policyholder_home,50,25,13,46
FI-0029,ADJ-028,CLM-00054,2025-11-05T13:59:00Z,accident_scene,46,53,44,31
FI-0030,ADJ-017,CLM-00021,2025-11-25T10:20:00Z,accident_scene,29,91,47,55
FI-0031,ADJ-026,CLM-00029,2025-10-07T11:09:00Z,policyholder_home,39,43,7,45
FI-0032,ADJ-009,CLM-00011,2025-12-30T15:27:00Z,policyholder_home,73,25,33,37
FI-0033,ADJ-023,CLM-00036,2025-12-02T15:31:00Z,policyholder_home,28,35,27,20
FI-0034,ADJ-007,CLM-00056,2025-11-06T10:53:00Z,body_shop,75,54,41,57
FI-0035,ADJ-019,CLM-00014,2025-12-14T08:33:00Z,hospital,33,73,9,30
FI-0036,ADJ-025,CLM-00032,2025-12-26T09:56:00Z,commercial_site,13,56,48,58
FI-0037,ADJ-004,CLM-00026,2025-11-17T09:53:00Z,commercial_site,29,23,10,44
FI-0038,ADJ-027,CLM-00046,2025-12-24T15:29:00Z,commercial_site,86,104,5,36
FI-0039,ADJ-002,CLM-00042,2025-12-19T15:20:00Z,hospital,26,47,8,56
FI-0040,ADJ-010,CLM-00021,2025-10-08T09:35:00Z,hospital,58,31,30,31
FI-0041,ADJ-006,CLM-00016,2025-11-21T09:01:00Z,body_shop,30,69,30,33
FI-0042,ADJ-021,CLM-00049,2025-12-23T10:07:00Z,commercial_site,72,75,24,58
FI-0043,ADJ-020,CLM-00009,2025-11-15T09:53:00Z,commercial_site,75,45,36,43
FI-0044,ADJ-029,CLM-00025,2025-11-30T12:36:00Z,hospital,64,31,32,38
FI-0045,ADJ-020,CLM-00012,2025-11-25T14:05:00Z,policyholder_home,75,63,34,58
