survey_id,policyholder_id,claim_id,date,csat_score,communication_rating,speed_rating,complaint_flag
PSAT-0001,PH-001,CLM-00041,2025-11-09,64,6.7,5.3,True
PSAT-0002,PH-002,CLM-00014,2025-12-01,29,4.5,3.8,False
PSAT-0003,PH-003,CLM-00001,2025-12-29,57,9.0,6.5,False
PSAT-0004,PH-004,CLM-00005,2025-10-30,55,7.9,5.4,False
PSAT-0005,PH-005,CLM-00057,2025-11-08,74,8.1,7.6,False
PSAT-0006,PH-006,CLM-00044,2025-10-19,41,4.4,4.0,True
PSAT-0007,PH-007,CLM-00023,2025-10-28,59,8.7,7.2,False
PSAT-0008,PH-008,CLM-00014,2025-10-12,56,5.6,5.4,False
PSAT-0009,PH-009,CLM-00023,2025-11-24,58,6.0,7.3,False
PSAT-0010,PH-010,CLM-00039,2025-12-16,88,6.1,8.3,True
PSAT-0011,PH-011,CLM-00055,2025-12-24,69,5.8,7.1,False
PSAT-0012,PH-012,CLM-00026,2025-11-07,53,8.1,7.8,False
PSAT-0013,PH-013,CLM-00025,2025-10-15,81,7.6,5.2,False
PSAT-0014,PH-014,CLM-00001,2025-11-16,70,5.5,8.0,False
PSAT-0015,PH-015,CLM-00024,2025-12-09,61,8.1,8.3,False
PSAT-0016,PH-016,CLM-00002,2025-12-15,25,3.7,2.6,True
PSAT-0017,PH-017,CLM-00051,2025-11-20,68,7.5,6.8,False
PSAT-0018,PH-018,CLM-00045,2025-11-21,45,4.3,4.0,True
PSAT-0019,PH-019,CLM-00020,2025-10-11,63,8.9,5.5,False
PSAT-0020,PH-020,CLM-00038,2025-12-21,54,6.2,6.5,False
PSAT-0021,PH-021,CLM-00016,2025-10-08,55,8.7,5.4,False
PSAT-0022,PH-022,CLM-00004,2025-11-09,61,5.5,7.5,False
PSAT-0023,PH-023,CLM-00011,2025-12-03,93,9.2,8.7,False
PSAT-0024,PH-024,CLM-00050,2025-11-04,57,8.1,5.1,False
PSAT-0025,PH-025,CLM-00018,2025-12-07,33,4.8,3.9,True
PSAT-0026,PH-026,CLM-00030,2025-12-05,86,9.5,9.4,False
PSAT-0027,PH-027,CLM-00024,2025-10-21,56,8.6,7.4,False
PSAT-0028,PH-028,CLM-00048,2025-12-05,52,8.4,5.0,True
PSAT-0029,PH-029,CLM-00024,2025-11-19,59,5.7,8.4,True
PSAT-0030,PH-030,CLM-00052,2025-12-31,76,5.9,5.9,False
PSAT-0031,PH-031,CLM-00021,2025-11-04,54,7.3,5.4,False
PSAT-0032,PH-032,CLM-00004,2025-10-23,83,8.9,8.3,True
PSAT-0033,PH-033,CLM-00030,2025-11-06,69,6.3,6.9,True
PSAT-0034,PH-034,CLM-00013,2025-11-07,69,8.0,5.8,False
PSAT-0035,PH-035,CLM-00032,2025-10-26,84,8.0,5.9,True
PSAT-0036,PH-036,CLM-00027,2025-10-04,84,6.4,7.9,False
PSAT-0037,PH-037,CLM-00022,2025-10-01,74,8.4,7.5,False
PSAT-0038,PH-038,CLM-00034,2025-10-31,81,8.8,8.4,False
PSAT-0039,PH-039,CLM-00018,2025-10-12,64,8.6,6.8,False
PSAT-0040,PH-040,CLM-00024,2025-11-28,55,7.3,6.8,False
PSAT-0041,PH-041,CLM-00026,2025-10-10,86,5.2,7.3,False
PSAT-0042,PH-042,CLM-00019,2025-11-03,70,8.7,6.4,False
PSAT-0043,PH-043,CLM-00021,2025-11-10,67,5.9,8.3,False
PSAT-0044,PH-044,CLM-00050,2025-12-14,59,5.4,6.6,False
PSAT-0045,PH-045,CLM-00008,2025-12-08,91,9.5,9.2,False
PSAT-0046,PH-046,CLM-00055,2025-10-16,30,5.0,3.3,False
PSAT-0047,PH-047,CLM-00039,2025-10-06,70,5.6,7.5,False
PSAT-0048,PH-048,CLM-00026,2025-12-05,69,6.0,8.5,True
PSAT-0049,PH-049,CLM-00026,2025-11-27,85,6.0,6.6,False
PSAT-0050,PH-050,CLM-00009,2025-10-16,53,8.3,8.4,False
