change_id,claim_id,adjuster_id,timestamp,from_status,to_status,trigger,auto_vs_manual
SCSC-00001,CLM-00030,ADJ-015,2025-12-15T09:02:00Z,Reserve_Set,Estimate_Pending,system_auto,True
SCSC-00002,CLM-00062,ADJ-024,2025-12-15T09:04:00Z,Settlement_Offered,Settlement_Accepted,system_auto,True
SCSC-00003,CLM-00052,ADJ-006,2025-12-15T09:06:00Z,Estimate_Approved,Settlement_Offered,adjuster_action,False
SCSC-00004,CLM-00010,ADJ-012,2025-12-15T09:09:00Z,Subrogation,Closed,adjuster_action,False
SCSC-00005,CLM-00019,ADJ-010,2025-12-15T09:13:00Z,Reserve_Set,Estimate_Pending,customer_response,False
SCSC-00006,CLM-00047,ADJ-002,2025-12-15T09:15:00Z,Reserve_Set,Estimate_Pending,system_auto,True
SCSC-00007,CLM-00037,ADJ-006,2025-12-15T09:18:00Z,Estimate_Pending,Estimate_Approved,system_auto,True
SCSC-00008,CLM-00044,ADJ-028,2025-12-15T09:23:00Z,Reserve_Set,Estimate_Pending,system_auto,True
SCSC-00009,CLM-00026,ADJ-001,2025-12-15T09:24:00Z,Estimate_Pending,Estimate_Approved,adjuster_action,False
SCSC-00010,CLM-00003,ADJ-027,2025-12-15T09:29:00Z,Under_Investigation,Reserve_Set,timer_expiry,False
SCSC-00011,CLM-00015,ADJ-011,2025-12-15T09:30:00Z,Estimate_Pending,Estimate_Approved,timer_expiry,False
SCSC-00012,CLM-00031,ADJ-012,2025-12-15T09:34:00Z,Under_Investigation,Reserve_Set,customer_response,False
SCSC-00013,CLM-00080,ADJ-029,2025-12-15T09:37:00Z,Assigned,Under_Investigation,adjuster_action,False
SCSC-00014,CLM-00019,ADJ-029,2025-12-15T09:39:00Z,Reserve_Set,Estimate_Pending,system_auto,True
SCSC-00015,CLM-00069,ADJ-013,2025-12-15T09:44:00Z,Estimate_Approved,Settlement_Offered,supervisor_override,False
SCSC-00016,CLM-00077,ADJ-014,2025-12-15T09:47:00Z,Reserve_Set,Estimate_Pending,adjuster_action,False
SCSC-00017,CLM-00079,ADJ-019,2025-12-15T09:48:00Z,Subrogation,Closed,supervisor_override,False
SCSC-00018,CLM-00020,ADJ-011,2025-12-15T09:51:00Z,FNOL_Received,Assigned,supervisor_override,False
SCSC-00019,CLM-00017,ADJ-028,2025-12-15T09:56:00Z,Closed,Reopened,timer_expiry,False
SCSC-00020,CLM-00027,ADJ-024,2025-12-15T09:57:00Z,Settlement_Accepted,Subrogation,customer_response,False
SCSC-00021,CLM-00009,ADJ-006,2025-12-15T10:02:00Z,Settlement_Offered,Settlement_Accepted,customer_response,False
SCSC-00022,CLM-00048,ADJ-016,2025-12-15T10:05:00Z,Settlement_Accepted,Subrogation,system_auto,True
SCSC-00023,CLM-00042,ADJ-023,2025-12-15T10:07:00Z,Subrogation,Closed,timer_expiry,False
SCSC-00024,CLM-00064,ADJ-016,2025-12-15T10:10:00Z,Closed,Reopened,timer_expiry,False
SCSC-00025,CLM-00075,ADJ-021,2025-12-15T10:12:00Z,Reserve_Set,Estimate_Pending,system_auto,True
SCSC-00026,CLM-00026,ADJ-015,2025-12-15T10:15:00Z,Settlement_Offered,Settlement_Accepted,system_auto,True
SCSC-00027,CLM-00040,ADJ-014,2025-12-15T10:19:00Z,Closed,Reopened,system_auto,True
