contact_id,policyholder_id,claim_id,timestamp,channel,topic,sentiment,wait_time_sec
SCC-00001,PH-034,CLM-00037,2025-12-15T09:02:00Z,in_person,payment_inquiry,negative,250
SCC-00002,PH-024,CLM-00001,2025-12-15T09:03:00Z,phone,coverage_question,neutral,146
SCC-00003,PH-008,CLM-00004,2025-12-15T09:07:00Z,web_portal,policy_change,negative,152
SCC-00004,PH-019,CLM-00030,2025-12-15T09:09:00Z,chat,complaint,positive,239
SCC-00005,PH-004,CLM-00048,2025-12-15T09:12:00Z,phone,new_claim,negative,396
SCC-00006,PH-047,CLM-00002,2025-12-15T09:17:00Z,mobile_app,coverage_question,positive,118
SCC-00007,PH-043,CLM-00038,2025-12-15T09:18:00Z,mobile_app,policy_change,neutral,171
SCC-00008,PH-002,CLM-00010,2025-12-15T09:22:00Z,email,claim_status,positive,22
SCC-00009,PH-037,CLM-00054,2025-12-15T09:25:00Z,email,policy_change,positive,153
SCC-00010,PH-048,CLM-00034,2025-12-15T09:29:00Z,web_portal,complaint,neutral,355
SCC-00011,PH-029,CLM-00051,2025-12-15T09:32:00Z,in_person,claim_status,neutral,169
SCC-00012,PH-004,CLM-00057,2025-12-15T09:35:00Z,phone,document_submission,negative,525
SCC-00013,PH-011,CLM-00001,2025-12-15T09:37:00Z,mobile_app,new_claim,frustrated,475
SCC-00014,PH-036,CLM-00046,2025-12-15T09:40:00Z,chat,document_submission,neutral,242
SCC-00015,PH-028,CLM-00060,2025-12-15T09:42:00Z,web_portal,claim_status,neutral,138
SCC-00016,PH-048,CLM-00014,2025-12-15T09:46:00Z,chat,claim_status,positive,198
SCC-00017,PH-048,CLM-00036,2025-12-15T09:50:00Z,phone,policy_change,negative,498
SCC-00018,PH-021,CLM-00042,2025-12-15T09:53:00Z,mobile_app,policy_change,neutral,65
SCC-00019,PH-024,CLM-00042,2025-12-15T09:55:00Z,email,coverage_question,positive,89
SCC-00020,PH-024,CLM-00039,2025-12-15T09:58:00Z,phone,payment_inquiry,neutral,564
SCC-00021,PH-007,CLM-00005,2025-12-15T10:00:00Z,chat,claim_status,negative,326
SCC-00022,PH-013,CLM-00036,2025-12-15T10:03:00Z,in_person,claim_status,positive,97
SCC-00023,PH-037,CLM-00037,2025-12-15T10:06:00Z,chat,policy_change,neutral,59
SCC-00024,PH-021,CLM-00006,2025-12-15T10:10:00Z,phone,coverage_question,negative,417
SCC-00025,PH-033,CLM-00013,2025-12-15T10:13:00Z,mobile_app,new_claim,neutral,142
SCC-00026,PH-045,CLM-00044,2025-12-15T10:15:00Z,web_portal,complaint,frustrated,525
SCC-00027,PH-007,CLM-00033,2025-12-15T10:18:00Z,phone,document_submission,negative,498
SCC-00028,PH-038,CLM-00056,2025-12-15T10:21:00Z,web_portal,payment_inquiry,positive,484
SCC-00029,PH-006,CLM-00057,2025-12-15T10:26:00Z,phone,new_claim,positive,230
SCC-00030,PH-044,CLM-00042,2025-12-15T10:27:00Z,in_person,payment_inquiry,frustrated,523
SCC-00031,PH-034,CLM-00047,2025-12-15T10:32:00Z,in_person,document_submission,frustrated,359
SCC-00032,PH-029,CLM-00051,2025-12-15T10:33:00Z,web_portal,coverage_question,neutral,451
SCC-00033,PH-003,CLM-00058,2025-12-15T10:38:00Z,in_person,complaint,positive,86
SCC-00034,PH-010,CLM-00037,2025-12-15T10:41:00Z,mobile_app,claim_status,negative,156
SCC-00035,PH-050,CLM-00056,2025-12-15T10:43:00Z,chat,policy_change,frustrated,99
SCC-00036,PH-032,CLM-00007,2025-12-15T10:46:00Z,web_portal,payment_inquiry,frustrated,175
SCC-00037,PH-005,CLM-00018,2025-12-15T10:50:00Z,web_portal,coverage_question,positive,193
SCC-00038,PH-046,CLM-00050,2025-12-15T10:52:00Z,web_portal,complaint,frustrated,462
SCC-00039,PH-042,CLM-00060,2025-12-15T10:54:00Z,phone,document_submission,neutral,382
SCC-00040,PH-019,CLM-00026,2025-12-15T10:58:00Z,chat,new_claim,positive,385
SCC-00041,PH-033,CLM-00055,2025-12-15T11:02:00Z,web_portal,coverage_question,positive,433
SCC-00042,PH-033,CLM-00029,2025-12-15T11:04:00Z,in_person,claim_status,negative,68
SCC-00043,PH-048,CLM-00051,2025-12-15T11:06:00Z,in_person,policy_change,neutral,168
SCC-00044,PH-007,CLM-00019,2025-12-15T11:10:00Z,email,document_submission,neutral,84
SCC-00045,PH-015,CLM-00025,2025-12-15T11:13:00Z,in_person,claim_status,neutral,489
SCC-00046,PH-042,CLM-00035,2025-12-15T11:16:00Z,phone,claim_status,positive,120
SCC-00047,PH-026,CLM-00050,2025-12-15T11:19:00Z,email,complaint,neutral,334
SCC-00048,PH-022,CLM-00039,2025-12-15T11:22:00Z,email,new_claim,negative,127
SCC-00049,PH-018,CLM-00030,2025-12-15T11:24:00Z,chat,payment_inquiry,frustrated,159
SCC-00050,PH-041,CLM-00014,2025-12-15T11:28:00Z,chat,claim_status,frustrated,399
SCC-00051,PH-004,CLM-00060,2025-12-15T11:31:00Z,mobile_app,complaint,positive,226
SCC-00052,PH-002,CLM-00049,2025-12-15T11:35:00Z,mobile_app,coverage_question,neutral,190
SCC-00053,PH-006,CLM-00010,2025-12-15T11:36:00Z,web_portal,complaint,positive,472
SCC-00054,PH-027,CLM-00034,2025-12-15T11:39:00Z,in_person,coverage_question,positive,65
SCC-00055,PH-006,CLM-00058,2025-12-15T11:43:00Z,web_portal,policy_change,neutral,213
SCC-00056,PH-023,CLM-00027,2025-12-15T11:46:00Z,mobile_app,document_submission,negative,174
SCC-00057,PH-045,CLM-00028,2025-12-15T11:49:00Z,in_person,document_submission,neutral,20
SCC-00058,PH-036,CLM-00051,2025-12-15T11:53:00Z,email,claim_status,negative,158
