ping_id,adjuster_id,timestamp,lat,lon,location_type,is_at_inspection,dwell_time_min
SFAL-00001,ADJ-003,2025-12-15T09:00:00Z,36.7462,-82.3552,policyholder_home,False,59
SFAL-00002,ADJ-006,2025-12-15T09:04:00Z,30.2414,-120.2013,office,False,11
SFAL-00003,ADJ-021,2025-12-15T09:08:00Z,40.4961,-98.7119,body_shop,False,53
SFAL-00004,ADJ-028,2025-12-15T09:09:00Z,34.3872,-121.947,office,False,19
SFAL-00005,ADJ-011,2025-12-15T09:14:00Z,42.096,-97.5349,office,False,12
SFAL-00006,ADJ-018,2025-12-15T09:17:00Z,31.0062,-73.5741,field_inspection,True,62
SFAL-00007,ADJ-027,2025-12-15T09:19:00Z,44.1302,-113.7147,office,False,79
SFAL-00008,ADJ-004,2025-12-15T09:21:00Z,32.1418,-94.9653,policyholder_home,False,23
SFAL-00009,ADJ-003,2025-12-15T09:26:00Z,42.4226,-87.6148,field_inspection,True,58
SFAL-00010,ADJ-012,2025-12-15T09:27:00Z,30.4451,-120.7261,accident_scene,False,70
SFAL-00011,ADJ-007,2025-12-15T09:31:00Z,40.9587,-79.4202,in_transit,False,0
SFAL-00012,ADJ-017,2025-12-15T09:35:00Z,40.2096,-88.5079,office,False,51
SFAL-00013,ADJ-023,2025-12-15T09:37:00Z,35.4233,-91.6924,office,False,50
SFAL-00014,ADJ-025,2025-12-15T09:39:00Z,46.0412,-103.2058,field_inspection,True,27
SFAL-00015,ADJ-003,2025-12-15T09:42:00Z,34.9349,-71.5515,body_shop,False,26
SFAL-00016,ADJ-022,2025-12-15T09:47:00Z,27.0835,-73.1246,office,False,87
SFAL-00017,ADJ-006,2025-12-15T09:50:00Z,29.3583,-101.0925,office,False,43
SFAL-00018,ADJ-011,2025-12-15T09:53:00Z,39.4266,-90.3293,hospital,False,52
SFAL-00019,ADJ-014,2025-12-15T09:54:00Z,30.7897,-117.0469,body_shop,False,24
SFAL-00020,ADJ-001,2025-12-15T09:58:00Z,40.0224,-121.883,field_inspection,True,60
SFAL-00021,ADJ-008,2025-12-15T10:00:00Z,40.1094,-108.1594,hospital,False,49
SFAL-00022,ADJ-002,2025-12-15T10:03:00Z,45.0916,-101.3285,in_transit,False,0
SFAL-00023,ADJ-020,2025-12-15T10:07:00Z,47.2299,-117.2566,hospital,False,74
SFAL-00024,ADJ-006,2025-12-15T10:10:00Z,46.7029,-91.6068,accident_scene,False,51
SFAL-00025,ADJ-022,2025-12-15T10:14:00Z,28.6112,-113.4705,in_transit,False,0
SFAL-00026,ADJ-029,2025-12-15T10:17:00Z,32.6635,-78.645,policyholder_home,False,10
SFAL-00027,ADJ-011,2025-12-15T10:18:00Z,39.0269,-92.3706,policyholder_home,False,67
