survey_id,attorney_id,date,billable_pressure_score,admin_burden_score,work_life_score,overtime_hours
WEL-001,ATT-001,2026-03-15,8.5,6.5,4.0,18
WEL-002,ATT-002,2026-03-15,8.7,5.6,5.3,18
WEL-003,ATT-003,2026-03-15,9.0,9.5,2.0,24
WEL-004,ATT-004,2026-03-15,7.9,7.3,4.2,14
WEL-005,ATT-005,2026-03-15,7.6,7.2,4.4,11
WEL-006,ATT-006,2026-03-15,8.1,7.1,4.4,18
WEL-007,ATT-007,2026-03-15,7.7,8.5,4.7,16
WEL-008,ATT-008,2026-03-15,6.0,7.1,3.4,15
WEL-009,ATT-009,2026-03-15,9.5,8.0,2.5,22
WEL-010,ATT-010,2026-03-15,8.0,7.9,3.4,10
WEL-011,ATT-011,2026-03-15,8.5,7.0,4.1,20
WEL-012,ATT-012,2026-03-15,7.9,6.6,4.3,15
WEL-013,ATT-013,2026-03-15,3.8,5.5,6.1,3
WEL-014,ATT-014,2026-03-15,7.7,7.6,3.7,16
WEL-015,ATT-015,2026-03-15,7.5,7.3,4.9,12
WEL-016,ATT-016,2026-03-15,9.0,7.4,4.8,15
WEL-017,ATT-017,2026-03-15,7.7,7.9,3.2,19
WEL-018,ATT-018,2026-03-15,4.5,7.0,7.5,7
WEL-019,ATT-019,2026-03-15,7.4,5.7,5.7,9
WEL-020,ATT-020,2026-03-15,6.7,7.1,5.0,18
WEL-021,ATT-021,2026-03-15,7.2,6.6,5.5,16
WEL-022,ATT-022,2026-03-15,7.8,7.8,4.6,8
WEL-023,ATT-023,2026-03-15,3.9,6.0,6.2,8
WEL-024,ATT-024,2026-03-15,7.8,7.4,5.5,16
WEL-025,ATT-025,2026-03-15,6.5,7.2,4.8,12
WEL-026,ATT-026,2026-03-15,6.5,5.1,5.2,12
WEL-027,ATT-027,2026-03-15,8.4,7.4,4.6,18
WEL-028,ATT-028,2026-03-15,8.4,7.1,3.9,9
WEL-029,ATT-029,2026-03-15,3.3,5.2,7.0,7
WEL-030,ATT-030,2026-03-15,7.3,5.7,5.6,12
