billing_id,matter_id,attorney_id,timestamp,invoice_amount,write_down_amount,status,dispute_flag
BIL-0001,MAT-030,ATT-006,2026-03-05T13:00:00Z,23343.27,1984.2,sent,false
BIL-0002,MAT-040,ATT-010,2026-01-03T15:08:00Z,40228.93,3970.31,disputed,false
BIL-0003,MAT-016,ATT-007,2026-01-26T15:25:00Z,149897.02,4471.25,sent,false
BIL-0004,MAT-018,ATT-003,2026-01-13T11:13:00Z,113628.43,9166.24,sent,false
BIL-0005,MAT-008,ATT-009,2026-03-10T10:49:00Z,158993.71,29198.25,sent,false
BIL-0006,MAT-008,ATT-009,2026-03-24T16:09:00Z,22248.67,6571.78,paid,false
BIL-0007,MAT-018,ATT-001,2026-02-13T10:40:00Z,119298.79,8374.47,partial_payment,false
BIL-0008,MAT-032,ATT-013,2026-01-10T17:06:00Z,26700.37,2344.59,write_off,false
BIL-0009,MAT-016,ATT-014,2026-03-28T16:53:00Z,176891.77,9180.2,sent,true
BIL-0010,MAT-018,ATT-014,2026-03-24T13:57:00Z,66659.35,4062.14,disputed,false
BIL-0011,MAT-023,ATT-002,2026-01-01T16:15:00Z,148517.11,3945.59,sent,false
BIL-0012,MAT-032,ATT-009,2026-03-20T15:38:00Z,132146.86,37470.7,paid,false
BIL-0013,MAT-038,ATT-014,2026-03-26T10:36:00Z,28253.82,3277.66,paid,false
BIL-0014,MAT-039,ATT-007,2026-02-27T09:22:00Z,163536.68,8639.55,write_off,false
BIL-0015,MAT-003,ATT-007,2026-03-27T15:42:00Z,227479.92,5897.36,paid,false
BIL-0016,MAT-022,ATT-002,2026-02-10T09:46:00Z,116872.68,12495.25,partial_payment,false
BIL-0017,MAT-023,ATT-004,2026-02-09T09:20:00Z,117260.12,13944.23,disputed,false
BIL-0018,MAT-014,ATT-009,2026-03-25T14:47:00Z,103323.61,16188.6,disputed,false
BIL-0019,MAT-006,ATT-006,2026-03-12T17:47:00Z,202263.14,23444.0,paid,false
BIL-0020,MAT-006,ATT-011,2026-02-13T16:40:00Z,50617.08,2324.52,partial_payment,false
BIL-0021,MAT-023,ATT-006,2026-02-26T14:48:00Z,44008.26,890.08,sent,true
BIL-0022,MAT-020,ATT-015,2026-03-17T17:18:00Z,190408.79,12298.6,partial_payment,false
BIL-0023,MAT-013,ATT-002,2026-03-03T15:54:00Z,69525.66,5972.71,paid,false
BIL-0024,MAT-025,ATT-002,2026-03-28T13:39:00Z,144676.16,1427.29,paid,false
BIL-0025,MAT-003,ATT-004,2026-01-18T13:01:00Z,126150.77,12613.78,sent,false
BIL-0026,MAT-015,ATT-008,2026-01-21T11:00:00Z,77714.32,8995.5,paid,false
BIL-0027,MAT-029,ATT-007,2026-03-18T12:26:00Z,50584.22,3147.78,paid,false
BIL-0028,MAT-025,ATT-012,2026-03-09T14:51:00Z,201422.7,10425.19,pending_review,false
BIL-0029,MAT-016,ATT-006,2026-02-18T10:44:00Z,37950.74,3916.26,sent,false
BIL-0030,MAT-035,ATT-010,2026-01-05T17:45:00Z,121555.74,4572.7,paid,false
