contract_id,matter_id,attorney_id,timestamp,stage,counterparty,redline_count,doc_time_min,version
CTR-0001,MAT-008,ATT-015,2026-03-27T12:05:00Z,client_review,Evergreen Capital,5,49,6
CTR-0002,MAT-006,ATT-008,2026-03-24T10:32:00Z,execution,Evergreen Capital,3,151,11
CTR-0003,MAT-005,ATT-011,2026-03-24T09:59:00Z,execution,Drake Industries,4,180,1
CTR-0004,MAT-001,ATT-008,2026-03-25T11:43:00Z,negotiation,Evergreen Capital,15,58,8
CTR-0005,MAT-012,ATT-016,2026-02-26T11:40:00Z,internal_review,Ironbridge Partners,5,74,1
CTR-0006,MAT-028,ATT-003,2026-02-27T19:11:00Z,drafting,Granite LLC,5,87,10
CTR-0007,MAT-025,ATT-019,2026-03-25T15:33:00Z,client_review,Evergreen Capital,1,94,11
CTR-0008,MAT-032,ATT-016,2026-03-27T16:30:00Z,redline,Blackstone Partners,7,48,15
CTR-0009,MAT-019,ATT-014,2026-03-27T11:42:00Z,post_execution,Blackstone Partners,1,138,6
CTR-0010,MAT-008,ATT-012,2026-02-27T15:53:00Z,amendment,Jade Holdings,13,80,1
CTR-0011,MAT-019,ATT-009,2026-02-28T14:03:00Z,execution,Evergreen Capital,5,101,7
CTR-0012,MAT-026,ATT-015,2026-03-27T12:58:00Z,drafting,Evergreen Capital,3,76,6
CTR-0013,MAT-003,ATT-010,2026-03-27T11:36:00Z,client_review,Ironbridge Partners,1,180,2
CTR-0014,MAT-040,ATT-020,2026-02-26T17:34:00Z,drafting,Lighthouse Ventures,0,117,2
CTR-0015,MAT-022,ATT-012,2026-02-28T18:03:00Z,negotiation,Foxfire Ventures,17,70,3
CTR-0016,MAT-035,ATT-013,2026-03-25T10:58:00Z,execution,Foxfire Ventures,3,75,9
CTR-0017,MAT-016,ATT-001,2026-02-24T16:06:00Z,post_execution,Highland Group,0,60,5
CTR-0018,MAT-020,ATT-001,2026-02-25T08:17:00Z,internal_review,Granite LLC,5,122,3
CTR-0019,MAT-018,ATT-003,2026-02-24T16:46:00Z,post_execution,Acme Corp,0,158,10
CTR-0020,MAT-010,ATT-004,2026-03-28T11:53:00Z,redline,Foxfire Ventures,13,151,12
CTR-0021,MAT-002,ATT-010,2026-03-26T11:06:00Z,redline,Keystone Corp,18,140,7
CTR-0022,MAT-019,ATT-014,2026-02-24T14:35:00Z,redline,Highland Group,9,156,9
CTR-0023,MAT-016,ATT-013,2026-03-24T19:25:00Z,execution,Ironbridge Partners,5,47,8
CTR-0024,MAT-015,ATT-019,2026-03-24T11:28:00Z,execution,Highland Group,4,47,11
CTR-0025,MAT-020,ATT-011,2026-02-25T09:35:00Z,client_review,Drake Industries,3,171,4
CTR-0026,MAT-006,ATT-005,2026-03-27T16:46:00Z,negotiation,Acme Corp,24,146,5
CTR-0027,MAT-027,ATT-010,2026-02-26T08:20:00Z,post_execution,Acme Corp,2,73,13
CTR-0028,MAT-036,ATT-016,2026-03-28T13:41:00Z,negotiation,Foxfire Ventures,14,143,9
CTR-0029,MAT-036,ATT-003,2026-03-24T19:04:00Z,post_execution,Cerulean Holdings,0,61,9
CTR-0030,MAT-008,ATT-006,2026-03-25T09:02:00Z,post_execution,Highland Group,1,180,13
CTR-0031,MAT-034,ATT-016,2026-03-25T14:00:00Z,redline,Blackstone Partners,13,95,12
CTR-0032,MAT-018,ATT-017,2026-03-26T17:41:00Z,client_review,Cerulean Holdings,2,153,11
CTR-0033,MAT-014,ATT-020,2026-03-26T15:29:00Z,negotiation,Foxfire Ventures,23,54,3
CTR-0034,MAT-034,ATT-016,2026-03-24T14:11:00Z,client_review,Highland Group,0,21,5
CTR-0035,MAT-013,ATT-007,2026-03-24T13:06:00Z,drafting,Jade Holdings,3,172,3
CTR-0036,MAT-005,ATT-012,2026-02-28T13:40:00Z,drafting,Drake Industries,2,92,14
CTR-0037,MAT-028,ATT-019,2026-03-26T17:49:00Z,post_execution,Evergreen Capital,4,158,11
CTR-0038,MAT-013,ATT-003,2026-02-28T09:46:00Z,negotiation,Evergreen Capital,5,87,10
CTR-0039,MAT-007,ATT-005,2026-03-28T13:36:00Z,redline,Lighthouse Ventures,19,141,4
CTR-0040,MAT-011,ATT-001,2026-02-25T09:59:00Z,client_review,Cerulean Holdings,1,141,14
CTR-0041,MAT-001,ATT-011,2026-02-24T10:32:00Z,amendment,Granite LLC,21,140,6
CTR-0042,MAT-020,ATT-017,2026-02-24T16:25:00Z,post_execution,Granite LLC,5,141,6
CTR-0043,MAT-020,ATT-017,2026-02-26T17:53:00Z,negotiation,Cerulean Holdings,20,91,12
CTR-0044,MAT-010,ATT-014,2026-03-28T15:44:00Z,redline,Keystone Corp,3,162,15
CTR-0045,MAT-028,ATT-012,2026-02-25T13:54:00Z,amendment,Keystone Corp,11,128,4
CTR-0046,MAT-040,ATT-018,2026-03-25T13:11:00Z,drafting,Drake Industries,3,112,9
CTR-0047,MAT-013,ATT-001,2026-03-28T13:06:00Z,execution,Evergreen Capital,4,23,10
CTR-0048,MAT-018,ATT-002,2026-03-26T14:02:00Z,redline,Evergreen Capital,20,34,10
CTR-0049,MAT-002,ATT-016,2026-03-28T15:11:00Z,amendment,Lighthouse Ventures,20,159,13
CTR-0050,MAT-007,ATT-002,2026-02-26T17:57:00Z,client_review,Lighthouse Ventures,5,65,14
CTR-0051,MAT-009,ATT-003,2026-02-27T08:28:00Z,drafting,Foxfire Ventures,0,159,5
CTR-0052,MAT-013,ATT-020,2026-03-24T18:54:00Z,execution,Lighthouse Ventures,1,170,12
CTR-0053,MAT-024,ATT-017,2026-03-24T14:53:00Z,drafting,Blackstone Partners,1,148,3
CTR-0054,MAT-018,ATT-003,2026-03-25T08:17:00Z,negotiation,Lighthouse Ventures,16,124,3
CTR-0055,MAT-001,ATT-010,2026-03-26T09:21:00Z,amendment,Jade Holdings,22,42,10
CTR-0056,MAT-030,ATT-003,2026-02-24T10:46:00Z,internal_review,Cerulean Holdings,2,171,11
CTR-0057,MAT-002,ATT-006,2026-02-24T18:23:00Z,amendment,Blackstone Partners,23,83,5
CTR-0058,MAT-013,ATT-005,2026-02-26T14:45:00Z,redline,Cerulean Holdings,8,55,10
CTR-0059,MAT-021,ATT-014,2026-02-25T12:56:00Z,negotiation,Cerulean Holdings,9,86,12
CTR-0060,MAT-029,ATT-009,2026-03-24T13:37:00Z,execution,Foxfire Ventures,5,153,8
CTR-0061,MAT-011,ATT-002,2026-03-28T10:34:00Z,negotiation,Lighthouse Ventures,13,108,11
CTR-0062,MAT-019,ATT-007,2026-03-26T09:32:00Z,negotiation,Evergreen Capital,6,139,5
CTR-0063,MAT-003,ATT-004,2026-02-28T15:08:00Z,amendment,Jade Holdings,10,115,10
CTR-0064,MAT-025,ATT-019,2026-03-24T19:06:00Z,execution,Acme Corp,1,127,8
CTR-0065,MAT-022,ATT-011,2026-02-24T13:19:00Z,client_review,Highland Group,4,67,13
CTR-0066,MAT-002,ATT-015,2026-03-28T17:36:00Z,post_execution,Lighthouse Ventures,3,141,14
CTR-0067,MAT-016,ATT-009,2026-03-26T15:43:00Z,post_execution,Evergreen Capital,0,79,13
CTR-0068,MAT-033,ATT-004,2026-03-27T12:36:00Z,post_execution,Jade Holdings,0,61,9
CTR-0069,MAT-011,ATT-010,2026-02-28T17:48:00Z,client_review,Cerulean Holdings,5,105,13
CTR-0070,MAT-004,ATT-003,2026-02-26T13:29:00Z,post_execution,Cerulean Holdings,3,20,11
CTR-0071,MAT-010,ATT-007,2026-03-25T12:05:00Z,client_review,Drake Industries,1,131,2
CTR-0072,MAT-016,ATT-005,2026-03-28T08:30:00Z,client_review,Foxfire Ventures,0,140,9
CTR-0073,MAT-026,ATT-007,2026-03-27T15:45:00Z,negotiation,Blackstone Partners,12,52,6
CTR-0074,MAT-009,ATT-013,2026-03-26T18:46:00Z,post_execution,Jade Holdings,3,156,2
CTR-0075,MAT-023,ATT-016,2026-02-28T11:56:00Z,client_review,Drake Industries,2,112,6
CTR-0076,MAT-033,ATT-001,2026-03-28T09:41:00Z,negotiation,Cerulean Holdings,15,68,1
CTR-0077,MAT-014,ATT-010,2026-02-27T13:24:00Z,client_review,Granite LLC,1,92,5
CTR-0078,MAT-025,ATT-016,2026-03-24T14:11:00Z,client_review,Granite LLC,5,152,14
CTR-0079,MAT-007,ATT-015,2026-03-24T18:46:00Z,internal_review,Keystone Corp,3,23,3
CTR-0080,MAT-021,ATT-005,2026-03-28T18:29:00Z,drafting,Highland Group,5,122,7
