discovery_id,attorney_id,matter_id,date,review_type,docs_reviewed,docs_coded,privilege_flags,doc_time_min
DSC-0001,ATT-023,MAT-009,2026-02-25,privilege_review,24,21,1,44
DSC-0002,ATT-026,MAT-004,2026-02-18,second_pass,230,158,13,65
DSC-0003,ATT-008,MAT-028,2026-03-23,TAR_review,219,111,7,48
DSC-0004,ATT-003,MAT-028,2026-01-21,hot_document,411,328,17,81
DSC-0005,ATT-021,MAT-005,2026-01-14,quality_check,55,26,1,52
DSC-0006,ATT-004,MAT-006,2026-02-20,privilege_review,378,333,31,39
DSC-0007,ATT-011,MAT-023,2026-01-05,hot_document,31,20,0,51
DSC-0008,ATT-009,MAT-014,2026-02-23,TAR_review,24,18,0,34
DSC-0009,ATT-001,MAT-018,2026-02-07,responsiveness,179,142,11,74
DSC-0010,ATT-023,MAT-017,2026-01-11,quality_check,404,89,3,49
DSC-0011,ATT-025,MAT-033,2026-03-03,responsiveness,112,39,4,63
DSC-0012,ATT-027,MAT-011,2026-03-04,second_pass,217,212,14,46
DSC-0013,ATT-024,MAT-038,2026-02-07,TAR_review,414,63,33,41
DSC-0014,ATT-016,MAT-023,2026-02-22,privilege_review,101,95,0,85
DSC-0015,ATT-017,MAT-018,2026-02-09,TAR_review,172,65,11,21
DSC-0016,ATT-028,MAT-025,2026-01-04,TAR_review,242,98,0,36
DSC-0017,ATT-026,MAT-008,2026-01-19,responsiveness,424,139,0,20
DSC-0018,ATT-019,MAT-015,2026-03-23,second_pass,210,37,7,35
DSC-0019,ATT-016,MAT-030,2026-03-22,privilege_review,496,403,40,22
DSC-0020,ATT-002,MAT-009,2026-01-21,TAR_review,294,69,4,77
DSC-0021,ATT-008,MAT-022,2026-03-18,quality_check,197,127,6,17
DSC-0022,ATT-023,MAT-009,2026-03-12,second_pass,148,25,7,71
DSC-0023,ATT-018,MAT-016,2026-03-18,responsiveness,117,87,2,84
DSC-0024,ATT-012,MAT-025,2026-02-24,privilege_review,464,440,38,85
DSC-0025,ATT-006,MAT-036,2026-01-17,responsiveness,171,82,17,61
DSC-0026,ATT-015,MAT-006,2026-03-25,hot_document,214,202,5,17
DSC-0027,ATT-020,MAT-003,2026-03-25,second_pass,184,31,17,64
DSC-0028,ATT-007,MAT-001,2026-02-22,quality_check,302,93,19,51
DSC-0029,ATT-011,MAT-003,2026-02-21,first_pass,69,48,5,23
DSC-0030,ATT-002,MAT-015,2026-01-06,second_pass,74,46,3,27
DSC-0031,ATT-002,MAT-007,2026-02-21,TAR_review,270,146,1,61
DSC-0032,ATT-008,MAT-018,2026-01-23,first_pass,496,486,13,77
DSC-0033,ATT-030,MAT-022,2026-03-15,first_pass,204,157,13,62
DSC-0034,ATT-026,MAT-004,2026-03-27,privilege_review,290,35,23,24
DSC-0035,ATT-027,MAT-028,2026-01-03,hot_document,69,21,5,44
DSC-0036,ATT-018,MAT-016,2026-01-07,hot_document,356,142,11,86
DSC-0037,ATT-024,MAT-024,2026-01-24,quality_check,346,310,22,73
DSC-0038,ATT-023,MAT-016,2026-01-14,second_pass,425,107,35,66
DSC-0039,ATT-017,MAT-005,2026-01-22,hot_document,327,241,22,55
DSC-0040,ATT-018,MAT-016,2026-02-28,responsiveness,411,339,27,56
DSC-0041,ATT-020,MAT-015,2026-03-19,second_pass,212,211,17,47
DSC-0042,ATT-012,MAT-006,2026-02-15,first_pass,391,32,18,17
DSC-0043,ATT-017,MAT-018,2026-01-10,privilege_review,133,42,13,55
DSC-0044,ATT-001,MAT-018,2026-03-18,hot_document,312,307,9,27
DSC-0045,ATT-002,MAT-009,2026-01-12,second_pass,155,108,7,44
DSC-0046,ATT-009,MAT-022,2026-03-03,responsiveness,311,126,4,56
DSC-0047,ATT-026,MAT-008,2026-02-06,quality_check,480,368,44,88
DSC-0048,ATT-027,MAT-011,2026-03-20,privilege_review,39,38,3,25
DSC-0049,ATT-025,MAT-009,2026-02-25,privilege_review,470,433,27,68
DSC-0050,ATT-030,MAT-022,2026-01-28,TAR_review,354,323,0,63
DSC-0051,ATT-002,MAT-009,2026-01-17,privilege_review,296,91,10,79
DSC-0052,ATT-023,MAT-017,2026-01-05,TAR_review,394,216,28,88
DSC-0053,ATT-017,MAT-018,2026-02-08,privilege_review,422,216,9,31
DSC-0054,ATT-011,MAT-023,2026-03-16,TAR_review,45,32,3,48
DSC-0055,ATT-003,MAT-028,2026-02-17,quality_check,377,81,8,106
DSC-0056,ATT-018,MAT-035,2026-02-16,TAR_review,312,115,15,46
DSC-0057,ATT-003,MAT-028,2026-02-25,privilege_review,370,309,5,59
DSC-0058,ATT-022,MAT-030,2026-02-14,privilege_review,117,56,5,18
DSC-0059,ATT-025,MAT-033,2026-02-06,hot_document,440,426,28,33
DSC-0060,ATT-015,MAT-006,2026-01-27,second_pass,370,206,9,25
DSC-0061,ATT-004,MAT-002,2026-03-08,second_pass,464,441,18,16
DSC-0062,ATT-011,MAT-023,2026-02-10,responsiveness,31,25,1,83
DSC-0063,ATT-007,MAT-029,2026-03-18,quality_check,152,138,4,17
DSC-0064,ATT-013,MAT-040,2026-01-09,first_pass,165,66,8,21
DSC-0065,ATT-015,MAT-006,2026-02-03,TAR_review,158,107,3,17
DSC-0066,ATT-010,MAT-007,2026-02-08,hot_document,383,65,20,77
DSC-0067,ATT-028,MAT-025,2026-01-06,hot_document,254,158,22,17
DSC-0068,ATT-002,MAT-015,2026-02-17,privilege_review,270,216,23,35
DSC-0069,ATT-001,MAT-018,2026-02-22,privilege_review,340,169,15,79
DSC-0070,ATT-009,MAT-014,2026-02-21,responsiveness,475,432,1,86
DSC-0071,ATT-009,MAT-014,2026-02-05,responsiveness,356,85,5,63
DSC-0072,ATT-017,MAT-039,2026-03-20,TAR_review,136,68,3,88
DSC-0073,ATT-005,MAT-033,2026-03-10,privilege_review,249,153,4,41
DSC-0074,ATT-021,MAT-018,2026-03-19,TAR_review,429,118,8,54
DSC-0075,ATT-023,MAT-016,2026-01-17,responsiveness,485,409,9,87
DSC-0076,ATT-030,MAT-008,2026-01-11,hot_document,292,75,5,55
DSC-0077,ATT-027,MAT-011,2026-01-24,quality_check,183,120,13,53
DSC-0078,ATT-015,MAT-007,2026-01-05,first_pass,87,38,0,49
DSC-0079,ATT-020,MAT-015,2026-01-20,second_pass,371,28,22,25
DSC-0080,ATT-023,MAT-009,2026-03-05,quality_check,329,255,23,38
DSC-0081,ATT-028,MAT-039,2026-02-16,second_pass,103,39,3,19
DSC-0082,ATT-014,MAT-003,2026-02-09,second_pass,400,358,12,41
DSC-0083,ATT-003,MAT-038,2026-03-15,responsiveness,372,181,29,76
DSC-0084,ATT-014,MAT-015,2026-01-25,hot_document,396,209,20,65
DSC-0085,ATT-020,MAT-015,2026-01-17,responsiveness,253,226,1,46
DSC-0086,ATT-017,MAT-039,2026-03-13,first_pass,305,213,16,21
DSC-0087,ATT-007,MAT-038,2026-02-15,privilege_review,416,161,29,36
DSC-0088,ATT-014,MAT-015,2026-01-20,TAR_review,284,87,14,72
DSC-0089,ATT-003,MAT-038,2026-03-06,TAR_review,299,84,12,97
DSC-0090,ATT-011,MAT-003,2026-01-01,responsiveness,322,118,29,26
DSC-0091,ATT-009,MAT-022,2026-03-23,TAR_review,427,98,7,26
DSC-0092,ATT-004,MAT-006,2026-02-21,first_pass,288,211,23,80
DSC-0093,ATT-020,MAT-015,2026-03-13,responsiveness,42,39,1,57
DSC-0094,ATT-019,MAT-018,2026-01-06,second_pass,413,379,3,68
DSC-0095,ATT-010,MAT-007,2026-02-24,privilege_review,340,107,7,31
DSC-0096,ATT-007,MAT-015,2026-02-20,first_pass,254,142,15,84
DSC-0097,ATT-026,MAT-004,2026-02-20,second_pass,131,90,10,75
DSC-0098,ATT-015,MAT-025,2026-01-15,hot_document,327,18,15,85
DSC-0099,ATT-009,MAT-007,2026-03-21,quality_check,442,121,3,38
DSC-0100,ATT-005,MAT-015,2026-02-21,first_pass,94,19,9,53
DSC-0101,ATT-011,MAT-023,2026-01-02,responsiveness,111,35,10,51
DSC-0102,ATT-020,MAT-015,2026-03-15,hot_document,204,24,2,53
DSC-0103,ATT-011,MAT-017,2026-01-13,quality_check,238,230,17,23
DSC-0104,ATT-010,MAT-007,2026-01-05,TAR_review,460,155,21,82
DSC-0105,ATT-014,MAT-003,2026-01-23,hot_document,49,21,4,82
DSC-0106,ATT-003,MAT-028,2026-03-24,hot_document,498,418,45,81
DSC-0107,ATT-014,MAT-015,2026-03-09,hot_document,339,196,8,87
DSC-0108,ATT-016,MAT-023,2026-01-16,hot_document,139,105,4,39
DSC-0109,ATT-001,MAT-002,2026-02-01,TAR_review,427,75,13,68
DSC-0110,ATT-014,MAT-003,2026-02-11,hot_document,432,341,13,16
DSC-0111,ATT-021,MAT-018,2026-02-23,privilege_review,424,49,19,53
DSC-0112,ATT-017,MAT-039,2026-01-11,first_pass,371,185,21,65
DSC-0113,ATT-024,MAT-038,2026-01-27,second_pass,189,101,15,75
