perf_id,matter_id,attorney_id,month,hours_billed,revenue,collections,realization_pct,wip_aging_days
MP-001,MAT-001,ATT-001,2025-12,37.9,28425.0,22938.97,80.7,106
MP-002,MAT-001,ATT-011,2026-01,50.8,38100.0,27127.2,71.2,50
MP-003,MAT-001,ATT-005,2026-02,28.7,18655.0,17908.8,96.0,124
MP-004,MAT-001,ATT-003,2026-03,19.9,16915.0,14360.83,84.9,41
MP-005,MAT-002,ATT-005,2025-12,22.9,8015.0,7806.61,97.4,132
MP-006,MAT-002,ATT-014,2026-01,117.1,64405.0,58544.14,90.9,115
MP-007,MAT-002,ATT-005,2026-02,109.3,60115.0,52420.28,87.2,72
MP-008,MAT-002,ATT-009,2026-03,44.4,19980.0,12247.74,61.3,130
MP-009,MAT-003,ATT-013,2025-12,114.5,85875.0,80636.63,93.9,117
MP-010,MAT-003,ATT-001,2026-01,30.8,10780.0,8235.92,76.4,14
MP-011,MAT-003,ATT-008,2026-02,38.6,32810.0,27265.11,83.1,34
MP-012,MAT-003,ATT-015,2026-03,112.0,39200.0,32300.8,82.4,148
MP-013,MAT-004,ATT-008,2025-12,60.4,21140.0,19808.18,93.7,42
MP-014,MAT-004,ATT-002,2026-01,48.5,21825.0,20580.97,94.3,51
MP-015,MAT-004,ATT-014,2026-02,28.5,21375.0,19878.75,93.0,149
MP-016,MAT-004,ATT-015,2026-03,82.9,37305.0,32194.22,86.3,6
MP-017,MAT-005,ATT-009,2025-12,94.4,42480.0,26889.84,63.3,24
MP-018,MAT-005,ATT-004,2026-01,94.5,80325.0,58315.95,72.6,89
MP-019,MAT-005,ATT-001,2026-02,41.3,35105.0,25767.07,73.4,100
MP-020,MAT-005,ATT-010,2026-03,112.2,39270.0,36678.18,93.4,44
MP-021,MAT-006,ATT-001,2025-12,18.9,17955.0,16123.59,89.8,127
MP-022,MAT-006,ATT-008,2026-01,79.1,43505.0,37675.33,86.6,6
MP-023,MAT-006,ATT-006,2026-02,116.7,99195.0,86696.43,87.4,120
MP-024,MAT-006,ATT-006,2026-03,114.2,97070.0,92604.78,95.4,150
MP-025,MAT-007,ATT-003,2025-12,33.3,11655.0,10769.22,92.4,77
MP-026,MAT-007,ATT-006,2026-01,97.8,83130.0,59853.6,72.0,102
MP-027,MAT-007,ATT-002,2026-02,53.9,24255.0,18603.58,76.7,107
MP-028,MAT-007,ATT-002,2026-03,12.3,5535.0,4129.11,74.6,108
MP-029,MAT-008,ATT-005,2025-12,81.2,69020.0,51281.86,74.3,81
MP-030,MAT-008,ATT-008,2026-01,98.1,83385.0,77214.51,92.6,84
MP-031,MAT-008,ATT-015,2026-02,85.3,38385.0,30746.38,80.1,29
MP-032,MAT-008,ATT-014,2026-03,50.4,22680.0,18983.16,83.7,104
MP-033,MAT-009,ATT-008,2025-12,39.5,29625.0,24233.25,81.8,113
MP-034,MAT-009,ATT-013,2026-01,50.5,22725.0,18679.95,82.2,114
MP-035,MAT-009,ATT-002,2026-02,14.4,7920.0,7706.16,97.3,62
MP-036,MAT-009,ATT-011,2026-03,85.5,38475.0,36974.47,96.1,139
