quality_id,document_id,attorney_id,date,document_type,accuracy_score,revision_count,review_time_min
WPQ-0001,DOC-1519,ATT-004,2026-01-20,agreement,94.6,5,67
WPQ-0002,DOC-0758,ATT-026,2026-02-06,memo,90.2,4,120
WPQ-0003,DOC-0068,ATT-011,2026-01-03,agreement,97.9,1,117
WPQ-0004,DOC-1016,ATT-025,2026-02-14,memo,93.2,5,91
WPQ-0005,DOC-0343,ATT-007,2026-03-19,discovery_response,82.9,2,106
WPQ-0006,DOC-1679,ATT-004,2026-01-02,research_memo,88.8,2,70
WPQ-0007,DOC-1529,ATT-025,2026-01-18,filing,93.6,3,70
WPQ-0008,DOC-0538,ATT-005,2026-02-17,brief,86.9,3,58
WPQ-0009,DOC-1390,ATT-011,2026-03-17,brief,83.7,4,91
WPQ-0010,DOC-0725,ATT-028,2026-03-14,letter,87.7,2,112
WPQ-0011,DOC-0202,ATT-009,2026-03-21,filing,79.4,7,105
WPQ-0012,DOC-0496,ATT-024,2026-03-22,memo,90.8,5,98
WPQ-0013,DOC-0369,ATT-011,2026-01-18,brief,96.1,0,62
WPQ-0014,DOC-0201,ATT-017,2026-03-04,research_memo,88.0,5,46
WPQ-0015,DOC-0516,ATT-007,2026-01-02,agreement,83.6,4,94
WPQ-0016,DOC-1831,ATT-027,2026-03-07,motion,94.0,0,21
WPQ-0017,DOC-1754,ATT-020,2026-02-05,agreement,95.7,1,24
WPQ-0018,DOC-1425,ATT-006,2026-02-09,research_memo,93.2,0,91
WPQ-0019,DOC-0929,ATT-030,2026-02-09,discovery_response,86.4,0,45
WPQ-0020,DOC-1592,ATT-002,2026-02-13,discovery_response,98.9,2,114
WPQ-0021,DOC-0543,ATT-006,2026-01-15,research_memo,98.7,1,88
WPQ-0022,DOC-0805,ATT-006,2026-02-21,motion,84.4,3,37
WPQ-0023,DOC-1258,ATT-021,2026-02-04,letter,83.8,0,19
WPQ-0024,DOC-1171,ATT-024,2026-02-09,brief,97.2,1,93
WPQ-0025,DOC-1312,ATT-001,2026-03-02,filing,86.5,5,52
WPQ-0026,DOC-1853,ATT-013,2026-01-19,opinion_letter,94.0,3,71
WPQ-0027,DOC-0894,ATT-013,2026-03-28,motion,91.2,0,59
WPQ-0028,DOC-1955,ATT-023,2026-02-27,motion,91.6,2,52
WPQ-0029,DOC-1397,ATT-010,2026-01-13,motion,88.2,2,20
WPQ-0030,DOC-1723,ATT-015,2026-02-25,memo,85.0,0,59
WPQ-0031,DOC-1354,ATT-007,2026-03-10,filing,97.2,5,98
WPQ-0032,DOC-0736,ATT-016,2026-03-03,research_memo,94.5,1,14
WPQ-0033,DOC-0396,ATT-001,2026-03-24,memo,90.3,0,111
WPQ-0034,DOC-1108,ATT-021,2026-02-10,opinion_letter,98.4,3,12
WPQ-0035,DOC-0076,ATT-011,2026-02-02,brief,88.9,1,113
WPQ-0036,DOC-1340,ATT-022,2026-02-17,opinion_letter,84.5,4,39
WPQ-0037,DOC-1895,ATT-003,2026-03-02,contract,90.4,1,70
WPQ-0038,DOC-1858,ATT-030,2026-01-20,memo,93.9,1,11
WPQ-0039,DOC-0353,ATT-021,2026-02-02,motion,89.8,1,116
WPQ-0040,DOC-1211,ATT-003,2026-01-27,motion,90.5,2,18
WPQ-0041,DOC-1648,ATT-007,2026-02-14,filing,87.5,5,83
WPQ-0042,DOC-1118,ATT-005,2026-01-11,brief,92.1,2,18
WPQ-0043,DOC-0248,ATT-009,2026-02-05,contract,83.1,6,31
WPQ-0044,DOC-0899,ATT-008,2026-01-19,contract,83.7,5,88
WPQ-0045,DOC-0771,ATT-025,2026-01-06,research_memo,83.4,0,32
WPQ-0046,DOC-1897,ATT-003,2026-03-23,agreement,94.8,4,98
WPQ-0047,DOC-1654,ATT-026,2026-02-25,contract,85.5,5,44
WPQ-0048,DOC-1072,ATT-015,2026-01-14,contract,92.4,0,86
WPQ-0049,DOC-0369,ATT-023,2026-03-16,motion,92.7,2,54
WPQ-0050,DOC-0858,ATT-001,2026-01-18,memo,84.0,4,22
WPQ-0051,DOC-1268,ATT-012,2026-03-28,opinion_letter,85.7,5,94
WPQ-0052,DOC-0427,ATT-009,2026-01-02,motion,84.7,7,118
WPQ-0053,DOC-1984,ATT-030,2026-02-16,contract,84.7,0,16
WPQ-0054,DOC-1321,ATT-012,2026-01-10,filing,86.3,4,113
WPQ-0055,DOC-1823,ATT-025,2026-01-15,motion,94.6,4,32
WPQ-0056,DOC-0324,ATT-026,2026-02-01,opinion_letter,84.0,1,102
WPQ-0057,DOC-0911,ATT-019,2026-02-19,filing,85.4,5,51
WPQ-0058,DOC-0472,ATT-025,2026-02-04,memo,83.7,5,62
WPQ-0059,DOC-1782,ATT-007,2026-01-13,motion,90.0,3,16
WPQ-0060,DOC-1824,ATT-014,2026-01-05,agreement,89.7,3,57
WPQ-0061,DOC-0280,ATT-015,2026-01-24,discovery_response,98.6,1,52
WPQ-0062,DOC-0261,ATT-002,2026-03-23,brief,86.8,0,119
WPQ-0063,DOC-0954,ATT-015,2026-01-14,discovery_response,85.7,2,87
WPQ-0064,DOC-0322,ATT-026,2026-03-26,agreement,97.4,4,80
WPQ-0065,DOC-1752,ATT-008,2026-02-03,opinion_letter,90.3,1,85
WPQ-0066,DOC-0970,ATT-027,2026-02-15,brief,94.4,5,41
WPQ-0067,DOC-0508,ATT-011,2026-03-14,memo,97.2,4,29
WPQ-0068,DOC-1872,ATT-019,2026-02-01,brief,82.7,3,103
WPQ-0069,DOC-1575,ATT-017,2026-02-02,opinion_letter,88.7,5,115
WPQ-0070,DOC-0201,ATT-015,2026-01-16,motion,91.5,0,98
WPQ-0071,DOC-1499,ATT-014,2026-01-07,discovery_response,87.0,5,21
WPQ-0072,DOC-0033,ATT-016,2026-02-22,contract,94.0,4,105
WPQ-0073,DOC-1196,ATT-001,2026-02-15,contract,96.9,3,33
WPQ-0074,DOC-1618,ATT-028,2026-03-12,research_memo,94.0,0,120
WPQ-0075,DOC-1285,ATT-003,2026-03-13,discovery_response,90.8,3,64
WPQ-0076,DOC-1542,ATT-009,2026-03-23,opinion_letter,81.2,3,110
WPQ-0077,DOC-1403,ATT-003,2026-02-20,brief,90.7,3,16
WPQ-0078,DOC-0228,ATT-013,2026-02-12,agreement,82.7,2,32
