review_id,attorney_id,timestamp,docs_reviewed,privilege_flags,coding_decisions
DPR-0001,ATT-008,2026-03-21T15:45:00Z,79,9,68
DPR-0002,ATT-018,2026-03-21T10:16:00Z,165,2,114
DPR-0003,ATT-004,2026-03-21T16:25:00Z,10,0,6
DPR-0004,ATT-026,2026-03-21T15:29:00Z,249,17,189
DPR-0005,ATT-019,2026-03-21T11:17:00Z,23,1,21
DPR-0006,ATT-016,2026-03-22T09:30:00Z,121,12,80
DPR-0007,ATT-004,2026-03-20T10:07:00Z,102,12,102
DPR-0008,ATT-002,2026-03-20T09:17:00Z,37,4,35
DPR-0009,ATT-009,2026-03-20T20:06:00Z,246,23,210
DPR-0010,ATT-014,2026-03-20T08:57:00Z,179,18,96
DPR-0011,ATT-001,2026-03-20T13:39:00Z,194,8,133
DPR-0012,ATT-014,2026-03-20T11:14:00Z,168,19,157
DPR-0013,ATT-025,2026-03-21T16:22:00Z,225,7,131
DPR-0014,ATT-001,2026-03-22T17:20:00Z,205,7,123
DPR-0015,ATT-026,2026-03-21T11:34:00Z,167,0,103
DPR-0016,ATT-003,2026-03-22T19:39:00Z,79,7,46
DPR-0017,ATT-004,2026-03-20T14:14:00Z,71,7,45
DPR-0018,ATT-029,2026-03-20T11:17:00Z,37,0,25
DPR-0019,ATT-022,2026-03-21T14:37:00Z,230,19,223
DPR-0020,ATT-013,2026-03-21T11:14:00Z,35,0,30
DPR-0021,ATT-023,2026-03-21T15:09:00Z,199,12,177
DPR-0022,ATT-025,2026-03-21T08:34:00Z,205,8,128
DPR-0023,ATT-029,2026-03-22T15:27:00Z,212,16,149
DPR-0024,ATT-011,2026-03-20T15:32:00Z,167,12,139
DPR-0025,ATT-020,2026-03-20T13:09:00Z,190,2,171
DPR-0026,ATT-027,2026-03-22T18:24:00Z,53,6,38
DPR-0027,ATT-007,2026-03-20T13:22:00Z,113,4,71
DPR-0028,ATT-023,2026-03-21T11:24:00Z,163,15,84
DPR-0029,ATT-022,2026-03-22T11:41:00Z,188,2,151
DPR-0030,ATT-023,2026-03-20T14:36:00Z,98,5,73
DPR-0031,ATT-001,2026-03-21T14:46:00Z,124,13,67
DPR-0032,ATT-014,2026-03-21T13:14:00Z,78,5,55
DPR-0033,ATT-016,2026-03-20T10:14:00Z,228,18,196
DPR-0034,ATT-017,2026-03-22T16:51:00Z,60,0,42
DPR-0035,ATT-012,2026-03-20T20:14:00Z,33,1,18
DPR-0036,ATT-020,2026-03-22T16:03:00Z,74,1,70
DPR-0037,ATT-030,2026-03-21T15:09:00Z,85,2,69
DPR-0038,ATT-009,2026-03-20T11:26:00Z,89,2,77
DPR-0039,ATT-003,2026-03-20T09:39:00Z,23,2,21
DPR-0040,ATT-026,2026-03-22T10:18:00Z,150,15,129
DPR-0041,ATT-029,2026-03-20T11:01:00Z,216,6,185
DPR-0042,ATT-023,2026-03-20T09:49:00Z,35,2,22
DPR-0043,ATT-018,2026-03-20T20:29:00Z,151,11,97
DPR-0044,ATT-005,2026-03-22T10:15:00Z,211,0,146
DPR-0045,ATT-028,2026-03-20T20:17:00Z,141,0,134
DPR-0046,ATT-017,2026-03-20T14:08:00Z,52,0,41
DPR-0047,ATT-005,2026-03-20T11:55:00Z,165,11,155
DPR-0048,ATT-026,2026-03-21T15:15:00Z,126,5,77
DPR-0049,ATT-023,2026-03-20T10:40:00Z,165,1,90
DPR-0050,ATT-013,2026-03-20T08:18:00Z,127,15,113
DPR-0051,ATT-018,2026-03-22T19:25:00Z,237,16,177
DPR-0052,ATT-021,2026-03-22T13:50:00Z,165,18,133
DPR-0053,ATT-025,2026-03-21T16:59:00Z,114,2,89
DPR-0054,ATT-028,2026-03-21T10:51:00Z,19,0,10
DPR-0055,ATT-020,2026-03-21T12:07:00Z,164,13,130
DPR-0056,ATT-013,2026-03-21T13:01:00Z,90,7,57
DPR-0057,ATT-025,2026-03-20T11:27:00Z,208,20,200
DPR-0058,ATT-005,2026-03-21T17:50:00Z,204,23,119
DPR-0059,ATT-021,2026-03-21T14:15:00Z,46,0,30
DPR-0060,ATT-029,2026-03-21T12:31:00Z,112,7,101
DPR-0061,ATT-015,2026-03-21T11:29:00Z,43,3,22
DPR-0062,ATT-008,2026-03-20T18:59:00Z,35,2,28
DPR-0063,ATT-002,2026-03-21T15:58:00Z,108,10,81
DPR-0064,ATT-003,2026-03-22T12:22:00Z,220,16,180
DPR-0065,ATT-016,2026-03-20T15:04:00Z,100,5,62
DPR-0066,ATT-010,2026-03-22T10:00:00Z,35,1,34
DPR-0067,ATT-009,2026-03-20T08:32:00Z,65,8,55
DPR-0068,ATT-001,2026-03-21T14:21:00Z,214,19,165
DPR-0069,ATT-012,2026-03-22T13:18:00Z,104,0,103
DPR-0070,ATT-017,2026-03-22T09:56:00Z,122,15,88
DPR-0071,ATT-025,2026-03-22T08:42:00Z,209,17,197
DPR-0072,ATT-024,2026-03-22T16:04:00Z,49,6,36
DPR-0073,ATT-011,2026-03-22T19:28:00Z,197,23,179
DPR-0074,ATT-009,2026-03-20T10:48:00Z,244,6,133
DPR-0075,ATT-020,2026-03-21T12:25:00Z,66,0,35
DPR-0076,ATT-010,2026-03-20T10:12:00Z,117,9,70
DPR-0077,ATT-014,2026-03-20T14:35:00Z,155,8,103
DPR-0078,ATT-001,2026-03-20T10:54:00Z,19,1,16
DPR-0079,ATT-026,2026-03-20T11:29:00Z,244,5,240
DPR-0080,ATT-022,2026-03-21T09:05:00Z,181,14,133
