activity_id,attorney_id,timestamp,document_id,action,matter_id,duration_sec
ACT-0001,ATT-001,2026-03-22T13:02:00Z,DOC-1284,compare,MAT-002,1362
ACT-0002,ATT-023,2026-03-20T17:07:00Z,DOC-0457,edit,MAT-017,1625
ACT-0003,ATT-016,2026-03-20T15:20:00Z,DOC-0137,view,MAT-011,1399
ACT-0004,ATT-023,2026-03-22T13:18:00Z,DOC-1906,annotate,MAT-009,588
ACT-0005,ATT-028,2026-03-21T08:48:00Z,DOC-1168,edit,MAT-039,1690
ACT-0006,ATT-029,2026-03-20T08:35:00Z,DOC-1811,compare,MAT-017,265
ACT-0007,ATT-017,2026-03-21T14:06:00Z,DOC-0074,edit,MAT-018,82
ACT-0008,ATT-027,2026-03-20T08:48:00Z,DOC-0795,edit,MAT-011,897
ACT-0009,ATT-020,2026-03-21T18:09:00Z,DOC-0760,compare,MAT-015,1362
ACT-0010,ATT-030,2026-03-20T19:13:00Z,DOC-1032,checkin,MAT-022,1169
ACT-0011,ATT-001,2026-03-20T12:55:00Z,DOC-1943,checkout,MAT-002,722
ACT-0012,ATT-015,2026-03-22T07:25:00Z,DOC-0411,email,MAT-015,602
ACT-0013,ATT-017,2026-03-20T09:40:00Z,DOC-0131,search,MAT-005,1352
ACT-0014,ATT-024,2026-03-20T20:28:00Z,DOC-0899,edit,MAT-028,1237
ACT-0015,ATT-017,2026-03-22T09:09:00Z,DOC-0590,annotate,MAT-005,121
ACT-0016,ATT-004,2026-03-20T13:33:00Z,DOC-1403,annotate,MAT-002,1271
ACT-0017,ATT-024,2026-03-22T21:20:00Z,DOC-0348,checkin,MAT-038,298
ACT-0018,ATT-029,2026-03-22T10:00:00Z,DOC-0213,email,MAT-034,1157
ACT-0019,ATT-002,2026-03-21T19:36:00Z,DOC-1667,edit,MAT-015,1565
ACT-0020,ATT-021,2026-03-22T15:04:00Z,DOC-0073,create,MAT-014,1175
ACT-0021,ATT-021,2026-03-21T17:39:00Z,DOC-0791,email,MAT-014,1537
ACT-0022,ATT-008,2026-03-21T16:16:00Z,DOC-1399,checkin,MAT-018,936
ACT-0023,ATT-016,2026-03-20T14:34:00Z,DOC-1883,checkin,MAT-024,300
ACT-0024,ATT-010,2026-03-22T09:24:00Z,DOC-1305,checkout,MAT-025,758
ACT-0025,ATT-024,2026-03-21T19:19:00Z,DOC-0043,view,MAT-038,946
ACT-0026,ATT-014,2026-03-22T20:14:00Z,DOC-1456,email,MAT-003,1725
ACT-0027,ATT-021,2026-03-20T13:26:00Z,DOC-0723,email,MAT-014,1507
ACT-0028,ATT-015,2026-03-21T14:23:00Z,DOC-0910,checkin,MAT-007,1367
ACT-0029,ATT-013,2026-03-22T15:13:00Z,DOC-0273,search,MAT-024,1464
ACT-0030,ATT-007,2026-03-20T20:46:00Z,DOC-1165,archive,MAT-038,953
ACT-0031,ATT-018,2026-03-21T12:41:00Z,DOC-1767,checkout,MAT-035,809
ACT-0032,ATT-005,2026-03-20T15:41:00Z,DOC-0964,compare,MAT-033,1710
ACT-0033,ATT-025,2026-03-22T13:03:00Z,DOC-1782,search,MAT-009,696
ACT-0034,ATT-018,2026-03-20T17:24:00Z,DOC-1823,annotate,MAT-016,374
ACT-0035,ATT-015,2026-03-22T10:24:00Z,DOC-0049,archive,MAT-015,564
ACT-0036,ATT-024,2026-03-22T19:09:00Z,DOC-1394,email,MAT-028,313
ACT-0037,ATT-014,2026-03-21T10:55:00Z,DOC-0649,view,MAT-015,652
ACT-0038,ATT-020,2026-03-22T15:47:00Z,DOC-1911,create,MAT-015,1616
ACT-0039,ATT-003,2026-03-20T07:58:00Z,DOC-0176,create,MAT-028,3522
ACT-0040,ATT-003,2026-03-21T10:47:00Z,DOC-0642,view,MAT-038,1289
ACT-0041,ATT-027,2026-03-21T16:58:00Z,DOC-0136,checkin,MAT-039,1701
ACT-0042,ATT-015,2026-03-21T18:11:00Z,DOC-0973,checkout,MAT-007,212
ACT-0043,ATT-026,2026-03-20T21:56:00Z,DOC-1151,view,MAT-004,855
ACT-0044,ATT-004,2026-03-22T13:10:00Z,DOC-1091,annotate,MAT-006,1438
ACT-0045,ATT-009,2026-03-20T08:42:00Z,DOC-1414,view,MAT-022,203
ACT-0046,ATT-025,2026-03-20T21:24:00Z,DOC-0081,compare,MAT-033,981
ACT-0047,ATT-006,2026-03-20T16:44:00Z,DOC-1572,checkin,MAT-013,1202
ACT-0048,ATT-019,2026-03-21T21:01:00Z,DOC-0373,compare,MAT-021,709
ACT-0049,ATT-029,2026-03-20T21:23:00Z,DOC-0696,edit,MAT-017,281
ACT-0050,ATT-020,2026-03-22T13:58:00Z,DOC-0615,view,MAT-015,1624
ACT-0051,ATT-022,2026-03-22T12:18:00Z,DOC-0404,edit,MAT-026,1239
ACT-0052,ATT-026,2026-03-20T16:57:00Z,DOC-1014,archive,MAT-008,351
ACT-0053,ATT-012,2026-03-21T10:32:00Z,DOC-1744,checkout,MAT-036,53
ACT-0054,ATT-016,2026-03-20T07:41:00Z,DOC-0653,search,MAT-011,543
ACT-0055,ATT-015,2026-03-21T07:17:00Z,DOC-0887,compare,MAT-006,686
ACT-0056,ATT-018,2026-03-20T20:59:00Z,DOC-0065,archive,MAT-035,1509
ACT-0057,ATT-019,2026-03-21T13:12:00Z,DOC-0040,compare,MAT-015,800
ACT-0058,ATT-002,2026-03-22T11:44:00Z,DOC-1424,email,MAT-009,756
ACT-0059,ATT-026,2026-03-21T13:45:00Z,DOC-1050,checkin,MAT-004,714
ACT-0060,ATT-024,2026-03-22T10:31:00Z,DOC-0536,checkout,MAT-026,175
ACT-0061,ATT-030,2026-03-22T08:51:00Z,DOC-0922,checkin,MAT-022,52
ACT-0062,ATT-026,2026-03-20T10:04:00Z,DOC-0264,view,MAT-008,138
ACT-0063,ATT-005,2026-03-20T19:05:00Z,DOC-1172,edit,MAT-015,1485
ACT-0064,ATT-001,2026-03-21T20:58:00Z,DOC-1509,archive,MAT-002,324
ACT-0065,ATT-019,2026-03-21T17:55:00Z,DOC-1283,checkin,MAT-025,1259
ACT-0066,ATT-004,2026-03-22T09:12:00Z,DOC-0116,edit,MAT-002,192
ACT-0067,ATT-023,2026-03-20T07:27:00Z,DOC-1949,search,MAT-017,107
ACT-0068,ATT-023,2026-03-21T12:40:00Z,DOC-0163,annotate,MAT-017,979
ACT-0069,ATT-027,2026-03-22T14:38:00Z,DOC-0405,view,MAT-028,594
ACT-0070,ATT-024,2026-03-22T20:55:00Z,DOC-1385,create,MAT-024,383
ACT-0071,ATT-017,2026-03-20T09:12:00Z,DOC-0013,checkout,MAT-018,1115
ACT-0072,ATT-019,2026-03-20T18:07:00Z,DOC-1993,edit,MAT-018,388
ACT-0073,ATT-028,2026-03-20T09:25:00Z,DOC-0659,archive,MAT-039,1236
ACT-0074,ATT-014,2026-03-22T11:13:00Z,DOC-1038,email,MAT-015,1693
ACT-0075,ATT-012,2026-03-20T15:00:00Z,DOC-1507,checkout,MAT-025,1549
ACT-0076,ATT-006,2026-03-20T08:31:00Z,DOC-0133,checkin,MAT-036,1274
ACT-0077,ATT-025,2026-03-21T08:43:00Z,DOC-1675,compare,MAT-009,1529
ACT-0078,ATT-022,2026-03-21T16:49:00Z,DOC-0181,checkin,MAT-014,1170
ACT-0079,ATT-009,2026-03-21T14:22:00Z,DOC-1490,compare,MAT-022,1028
ACT-0080,ATT-010,2026-03-21T12:34:00Z,DOC-1564,search,MAT-025,1207
