entry_id,attorney_id,timestamp,matter_id,task_type,duration_min,billable_flag
TT-0001,ATT-006,2026-03-22T18:26:00Z,MAT-036,TSK-015,231,true
TT-0002,ATT-015,2026-03-21T21:55:00Z,MAT-007,TSK-015,121,true
TT-0003,ATT-005,2026-03-22T19:26:00Z,MAT-015,TSK-001,229,true
TT-0004,ATT-005,2026-03-21T11:25:00Z,MAT-033,TSK-012,9,false
TT-0005,ATT-014,2026-03-20T12:13:00Z,MAT-003,TSK-004,10,true
TT-0006,ATT-013,2026-03-20T15:21:00Z,MAT-013,TSK-007,11,true
TT-0007,ATT-016,2026-03-20T16:53:00Z,MAT-023,TSK-018,77,true
TT-0008,ATT-008,2026-03-21T22:27:00Z,MAT-028,TSK-014,224,true
TT-0009,ATT-006,2026-03-22T08:22:00Z,MAT-013,TSK-004,23,true
TT-0010,ATT-011,2026-03-22T16:09:00Z,MAT-003,TSK-008,138,true
TT-0011,ATT-016,2026-03-21T22:00:00Z,MAT-024,TSK-010,167,false
TT-0012,ATT-006,2026-03-22T16:43:00Z,MAT-013,TSK-020,115,false
TT-0013,ATT-020,2026-03-22T11:33:00Z,MAT-015,TSK-010,93,false
TT-0014,ATT-024,2026-03-22T11:23:00Z,MAT-026,TSK-019,127,false
TT-0015,ATT-003,2026-03-21T18:26:00Z,MAT-038,TSK-008,59,true
TT-0016,ATT-011,2026-03-21T22:50:00Z,MAT-039,TSK-009,148,true
TT-0017,ATT-011,2026-03-22T13:57:00Z,MAT-017,TSK-005,88,true
TT-0018,ATT-026,2026-03-22T14:52:00Z,MAT-004,TSK-008,131,true
TT-0019,ATT-019,2026-03-20T17:32:00Z,MAT-015,TSK-004,104,true
TT-0020,ATT-025,2026-03-22T17:05:00Z,MAT-009,TSK-017,131,true
TT-0021,ATT-015,2026-03-20T21:24:00Z,MAT-007,TSK-007,208,true
TT-0022,ATT-025,2026-03-22T11:23:00Z,MAT-033,TSK-002,127,true
TT-0023,ATT-008,2026-03-22T07:20:00Z,MAT-028,TSK-012,217,false
TT-0024,ATT-020,2026-03-22T11:50:00Z,MAT-003,TSK-009,87,true
TT-0025,ATT-016,2026-03-22T13:52:00Z,MAT-011,TSK-007,158,true
TT-0026,ATT-020,2026-03-21T08:47:00Z,MAT-015,TSK-007,140,true
TT-0027,ATT-026,2026-03-20T19:27:00Z,MAT-008,TSK-001,82,true
TT-0028,ATT-009,2026-03-20T16:01:00Z,MAT-014,TSK-001,172,true
TT-0029,ATT-021,2026-03-20T18:29:00Z,MAT-014,TSK-005,120,true
TT-0030,ATT-021,2026-03-22T12:38:00Z,MAT-014,TSK-015,200,true
TT-0031,ATT-011,2026-03-21T21:17:00Z,MAT-023,TSK-007,186,true
TT-0032,ATT-020,2026-03-21T12:37:00Z,MAT-003,TSK-005,88,true
TT-0033,ATT-001,2026-03-20T17:35:00Z,MAT-002,TSK-016,100,true
TT-0034,ATT-005,2026-03-22T19:35:00Z,MAT-033,TSK-001,166,true
TT-0035,ATT-014,2026-03-21T12:20:00Z,MAT-015,TSK-020,220,false
TT-0036,ATT-025,2026-03-22T16:20:00Z,MAT-009,TSK-019,199,false
TT-0037,ATT-019,2026-03-22T08:46:00Z,MAT-025,TSK-005,133,true
TT-0038,ATT-003,2026-03-20T11:06:00Z,MAT-038,TSK-017,47,true
TT-0039,ATT-023,2026-03-20T18:22:00Z,MAT-017,TSK-011,26,false
TT-0040,ATT-014,2026-03-20T22:25:00Z,MAT-015,TSK-018,21,true
TT-0041,ATT-017,2026-03-22T19:44:00Z,MAT-005,TSK-005,146,true
TT-0042,ATT-027,2026-03-20T21:10:00Z,MAT-011,TSK-004,201,true
TT-0043,ATT-030,2026-03-20T14:03:00Z,MAT-019,TSK-018,12,true
