doc_id,producer_id,show_id,date,task_type,asset_id,doc_time_min,metadata_fields_completed,status
DOC-0001,PRD-001,SHW-001,2026-02-24,metadata_entry,AST-001001,62,78,Completed
DOC-0002,PRD-001,SHW-001,2026-02-24,delivery_prep,AST-001001,28,12,Completed
DOC-0003,PRD-002,SHW-002,2026-02-24,metadata_entry,AST-002001,38,65,Completed
DOC-0004,PRD-007,SHW-001,2026-02-24,metadata_entry,AST-001002,55,72,Completed
DOC-0005,PRD-003,SHW-003,2026-02-24,metadata_entry,AST-003001,42,58,Completed
DOC-0006,PRD-006,SHW-009,2026-02-24,metadata_entry,AST-009001,68,82,Completed
DOC-0007,PRD-013,SHW-012,2026-02-24,metadata_entry,AST-012001,15,32,Completed
DOC-0008,PRD-025,SHW-001,2026-02-24,archive_cataloging,AST-001001,52,88,Completed
DOC-0009,PRD-010,SHW-001,2026-02-24,rights_request,AST-001003,35,8,Completed
DOC-0010,PRD-021,SHW-001,2026-02-24,qc_review,AST-001001,40,15,Completed
DOC-0011,PRD-001,SHW-001,2026-02-25,metadata_entry,AST-001003,58,75,Completed
DOC-0012,PRD-015,SHW-005,2026-02-25,metadata_entry,AST-005001,72,85,Completed
DOC-0013,PRD-008,SHW-002,2026-02-25,metadata_entry,AST-002002,35,62,Completed
DOC-0014,PRD-003,SHW-003,2026-02-25,metadata_entry,AST-003002,44,55,Completed
DOC-0015,PRD-009,SHW-003,2026-02-25,metadata_entry,AST-003002,38,60,Completed
DOC-0016,PRD-022,SHW-005,2026-02-25,fcc_filing,AST-005001,85,22,Completed
DOC-0017,PRD-011,SHW-005,2026-02-25,talent_clearance,AST-005001,70,10,In Progress
DOC-0018,PRD-004,SHW-011,2026-02-25,metadata_entry,AST-011001,48,68,Completed
DOC-0019,PRD-005,SHW-006,2026-02-25,metadata_entry,AST-006001,25,42,Completed
DOC-0020,PRD-017,SHW-006,2026-02-25,delivery_prep,AST-006001,18,8,Completed
DOC-0021,PRD-001,SHW-001,2026-02-26,metadata_entry,AST-001004,60,76,Completed
DOC-0022,PRD-002,SHW-002,2026-02-26,metadata_entry,AST-002003,40,64,Completed
DOC-0023,PRD-006,SHW-009,2026-02-26,metadata_entry,AST-009002,70,80,Completed
DOC-0024,PRD-016,SHW-008,2026-02-26,metadata_entry,AST-008001,32,50,Completed
DOC-0025,PRD-012,SHW-009,2026-02-26,rights_request,AST-009002,40,6,Completed
DOC-0026,PRD-025,SHW-002,2026-02-26,archive_cataloging,AST-002003,48,85,Completed
DOC-0027,PRD-014,SHW-012,2026-02-26,metadata_entry,AST-012002,12,28,Completed
DOC-0028,PRD-020,SHW-013,2026-02-26,metadata_entry,AST-013001,20,35,Completed
DOC-0029,PRD-021,SHW-002,2026-02-26,technical_qc,AST-002003,50,18,Completed
DOC-0030,PRD-007,SHW-001,2026-02-26,metadata_entry,AST-001004,52,70,Completed
DOC-0031,PRD-015,SHW-005,2026-02-27,metadata_entry,AST-005002,78,88,Completed
DOC-0032,PRD-001,SHW-001,2026-02-27,delivery_prep,AST-001004,32,14,Completed
