alert_id,show_id,platform_id,timestamp,alert_type,severity,deadline_date,days_to_deadline
DA-001,SHW-001,PLT-001,2026-03-01T06:00:00.445Z,rights_expiring,Warning,2026-03-15,14
DA-002,SHW-001,PLT-002,2026-03-01T06:00:00.112Z,delivery_deadline,Info,2026-03-20,19
DA-003,SHW-005,PLT-001,2026-03-01T06:00:00.778Z,delivery_deadline,Info,2026-03-25,24
DA-004,SHW-005,PLT-003,2026-03-01T06:00:00.334Z,qc_failure,Critical,2026-03-10,9
DA-005,SHW-003,PLT-002,2026-03-01T06:00:00.667Z,delivery_deadline,Warning,2026-03-12,11
DA-006,SHW-012,PLT-004,2026-03-01T06:00:00.223Z,delivery_deadline,Info,2026-03-05,4
DA-007,SHW-009,PLT-003,2026-03-01T06:00:00.890Z,rights_pending,Warning,2026-03-18,17
DA-008,SHW-001,PLT-001,2026-03-03T06:00:00.445Z,metadata_incomplete,Warning,2026-03-15,12
DA-009,SHW-005,PLT-001,2026-03-03T06:00:00.112Z,vfx_incomplete,Critical,2026-03-20,17
DA-010,SHW-003,PLT-002,2026-03-03T06:00:00.778Z,delivery_deadline,Critical,2026-03-12,9
DA-011,SHW-010,PLT-002,2026-03-03T06:00:00.334Z,compliance_issue,Critical,2026-03-08,5
DA-012,SHW-002,PLT-001,2026-03-03T06:00:00.667Z,delivery_deadline,Info,2026-03-22,19
DA-013,SHW-001,PLT-001,2026-03-05T06:00:00.223Z,rights_expiring,Critical,2026-03-15,10
DA-014,SHW-005,PLT-001,2026-03-05T06:00:00.890Z,rights_pending,Warning,2026-03-25,20
DA-015,SHW-003,PLT-002,2026-03-05T06:00:00.445Z,delivery_deadline,Critical,2026-03-12,7
DA-016,SHW-005,PLT-003,2026-03-05T06:00:00.112Z,qc_resubmit,Warning,2026-03-10,5
DA-017,SHW-012,PLT-004,2026-03-05T06:00:00.778Z,delivery_complete,Info,2026-03-05,0
DA-018,SHW-009,PLT-003,2026-03-05T06:00:00.334Z,rights_cleared,Info,2026-03-18,13
DA-019,SHW-006,PLT-005,2026-03-05T06:00:00.667Z,delivery_deadline,Info,2026-03-30,25
DA-020,SHW-001,PLT-001,2026-03-07T06:00:00.223Z,delivery_deadline,Warning,2026-03-20,13
DA-021,SHW-005,PLT-001,2026-03-07T06:00:00.890Z,vfx_incomplete,Warning,2026-03-20,13
DA-022,SHW-003,PLT-002,2026-03-07T06:00:00.445Z,delivery_deadline,Critical,2026-03-12,5
DA-023,SHW-010,PLT-002,2026-03-07T06:00:00.112Z,compliance_cleared,Info,2026-03-08,1
DA-024,SHW-004,PLT-003,2026-03-07T06:00:00.778Z,delivery_deadline,Info,2026-03-28,21
DA-025,SHW-014,PLT-001,2026-03-07T06:00:00.334Z,delivery_deadline,Info,2026-04-01,25
DA-026,SHW-001,PLT-001,2026-03-09T06:00:00.667Z,rights_cleared,Info,2026-03-15,6
DA-027,SHW-005,PLT-001,2026-03-09T06:00:00.223Z,delivery_deadline,Warning,2026-03-25,16
DA-028,SHW-003,PLT-002,2026-03-09T06:00:00.890Z,delivery_deadline,Critical,2026-03-12,3
DA-029,SHW-005,PLT-003,2026-03-09T06:00:00.445Z,qc_passed,Info,2026-03-10,1
DA-030,SHW-008,PLT-001,2026-03-09T06:00:00.112Z,delivery_deadline,Info,2026-03-28,19
DA-031,SHW-001,PLT-001,2026-03-10T06:00:00.778Z,metadata_complete,Info,2026-03-20,10
DA-032,SHW-005,PLT-001,2026-03-10T06:00:00.334Z,rights_pending,Warning,2026-03-25,15
DA-033,SHW-003,PLT-002,2026-03-10T06:00:00.667Z,delivery_deadline,Critical,2026-03-12,2
DA-034,SHW-001,PLT-002,2026-03-10T06:00:00.223Z,delivery_deadline,Warning,2026-03-20,10
DA-035,SHW-002,PLT-001,2026-03-10T06:00:00.890Z,delivery_deadline,Info,2026-03-22,12
DA-036,SHW-011,PLT-006,2026-03-10T06:00:00.445Z,live_broadcast,Info,2026-03-10,0
DA-037,SHW-001,PLT-001,2026-03-12T06:00:00.112Z,delivery_deadline,Warning,2026-03-20,8
DA-038,SHW-005,PLT-001,2026-03-12T06:00:00.778Z,delivery_deadline,Warning,2026-03-25,13
DA-039,SHW-003,PLT-002,2026-03-12T06:00:00.334Z,delivery_overdue,Critical,2026-03-12,0
DA-040,SHW-009,PLT-003,2026-03-12T06:00:00.667Z,delivery_deadline,Info,2026-03-28,16
DA-041,SHW-001,PLT-001,2026-03-14T06:00:00.223Z,delivery_deadline,Warning,2026-03-20,6
DA-042,SHW-005,PLT-001,2026-03-14T06:00:00.890Z,rights_pending,Critical,2026-03-25,11
DA-043,SHW-003,PLT-002,2026-03-14T06:00:00.445Z,delivery_overdue,Critical,2026-03-12,-2
DA-044,SHW-001,PLT-002,2026-03-14T06:00:00.112Z,qc_passed,Info,2026-03-20,6
DA-045,SHW-007,PLT-005,2026-03-14T06:00:00.778Z,delivery_deadline,Info,2026-04-05,22
DA-046,SHW-001,PLT-001,2026-03-16T06:00:00.334Z,delivery_deadline,Critical,2026-03-20,4
DA-047,SHW-005,PLT-001,2026-03-16T06:00:00.667Z,delivery_deadline,Warning,2026-03-25,9
DA-048,SHW-003,PLT-002,2026-03-16T06:00:00.223Z,delivery_overdue,Critical,2026-03-12,-4
DA-049,SHW-005,PLT-003,2026-03-16T06:00:00.890Z,delivery_deadline,Info,2026-03-28,12
DA-050,SHW-013,PLT-008,2026-03-16T06:00:00.445Z,delivery_deadline,Info,2026-03-25,9
DA-051,SHW-001,PLT-001,2026-03-18T06:00:00.112Z,delivery_deadline,Critical,2026-03-20,2
DA-052,SHW-005,PLT-001,2026-03-18T06:00:00.778Z,rights_cleared,Info,2026-03-25,7
DA-053,SHW-001,PLT-002,2026-03-18T06:00:00.334Z,delivery_ready,Info,2026-03-20,2
DA-054,SHW-005,PLT-001,2026-03-18T06:00:00.667Z,delivery_deadline,Warning,2026-03-25,7
DA-055,SHW-002,PLT-001,2026-03-18T06:00:00.223Z,delivery_deadline,Info,2026-03-22,4
DA-056,SHW-001,PLT-001,2026-03-19T06:00:00.890Z,delivery_in_transit,Info,2026-03-20,1
DA-057,SHW-005,PLT-001,2026-03-19T06:00:00.445Z,qc_pending,Warning,2026-03-25,6
DA-058,SHW-001,PLT-002,2026-03-19T06:00:00.112Z,delivery_in_transit,Info,2026-03-20,1
DA-059,SHW-009,PLT-003,2026-03-19T06:00:00.778Z,delivery_deadline,Warning,2026-03-28,9
DA-060,SHW-015,PLT-001,2026-03-19T06:00:00.334Z,pre_production,Info,2026-06-01,74
