interaction_id,producer_id,timestamp,system,module,action,duration_ms,asset_id
MAM-0001,PRD-001,2026-03-01T08:02:15.342Z,Avid Media Composer,Timeline,open_project,4200,AST-001006
MAM-0002,PRD-001,2026-03-01T08:05:22.118Z,Avid Media Composer,Metadata,view_metadata,1850,AST-001006
MAM-0003,PRD-001,2026-03-01T08:12:45.890Z,Avid Media Composer,Metadata,edit_field,3200,AST-001006
MAM-0004,PRD-001,2026-03-01T08:18:10.455Z,Avid Media Composer,Metadata,edit_field,2800,AST-001006
MAM-0005,PRD-001,2026-03-01T08:25:33.221Z,Avid Media Composer,Metadata,save_metadata,1200,AST-001006
MAM-0006,PRD-007,2026-03-01T08:30:01.667Z,Avid Media Composer,Timeline,scrub_timeline,8500,AST-001006
MAM-0007,PRD-007,2026-03-01T08:42:18.334Z,Avid Media Composer,Timeline,add_marker,950,AST-001006
MAM-0008,PRD-007,2026-03-01T08:45:55.778Z,Avid Media Composer,Timeline,trim_clip,4100,AST-001006
MAM-0009,PRD-025,2026-03-01T09:00:12.445Z,MediaSilo,Asset Library,search_assets,2200,AST-001006
MAM-0010,PRD-025,2026-03-01T09:03:44.112Z,MediaSilo,Metadata,bulk_tag,5600,AST-001006
MAM-0011,PRD-015,2026-03-01T09:15:00.890Z,DaVinci Resolve,Timeline,open_project,5500,AST-005003
MAM-0012,PRD-015,2026-03-01T09:22:35.223Z,DaVinci Resolve,Color,grade_clip,12000,AST-005003
MAM-0013,PRD-015,2026-03-01T09:40:18.667Z,DaVinci Resolve,Metadata,edit_field,2400,AST-005003
MAM-0014,PRD-015,2026-03-01T09:45:50.334Z,DaVinci Resolve,Metadata,edit_field,3100,AST-005003
MAM-0015,PRD-010,2026-03-01T09:50:22.112Z,RightsTracker Pro,Clearance,search_rights,3800,AST-005003
MAM-0016,PRD-010,2026-03-01T09:58:45.556Z,RightsTracker Pro,Clearance,submit_request,4500,AST-005003
MAM-0017,PRD-002,2026-03-01T10:05:00.778Z,Avid Media Composer,Timeline,open_project,3800,AST-002006
MAM-0018,PRD-002,2026-03-01T10:10:22.334Z,Avid Media Composer,Metadata,view_metadata,1600,AST-002006
MAM-0019,PRD-008,2026-03-01T10:15:45.112Z,Avid Media Composer,Timeline,scrub_timeline,7200,AST-002006
MAM-0020,PRD-008,2026-03-01T10:28:10.889Z,Avid Media Composer,Timeline,render_preview,18000,AST-002006
MAM-0021,PRD-003,2026-03-01T10:32:00.445Z,Frame.io,Review,upload_cut,25000,AST-003004
MAM-0022,PRD-003,2026-03-01T10:58:15.223Z,Frame.io,Review,add_comment,1800,AST-003004
MAM-0023,PRD-009,2026-03-01T11:02:30.667Z,Avid Media Composer,Timeline,open_project,4000,AST-003004
MAM-0024,PRD-009,2026-03-01T11:08:45.334Z,Avid Media Composer,Timeline,apply_transition,2200,AST-003004
MAM-0025,PRD-006,2026-03-01T11:15:00.112Z,Avid Media Composer,Timeline,open_project,4800,AST-009004
MAM-0026,PRD-006,2026-03-01T11:22:25.889Z,Avid Media Composer,Metadata,edit_field,2600,AST-009004
MAM-0027,PRD-006,2026-03-01T11:28:40.556Z,Avid Media Composer,Metadata,edit_field,3400,AST-009004
MAM-0028,PRD-021,2026-03-01T11:35:00.223Z,Telestream Vantage,QC,run_qc_check,45000,AST-001006
MAM-0029,PRD-021,2026-03-01T12:22:15.890Z,Telestream Vantage,QC,review_results,8500,AST-001006
MAM-0030,PRD-021,2026-03-01T12:35:00.445Z,Telestream Vantage,QC,generate_report,6200,AST-001006
MAM-0031,PRD-013,2026-03-01T12:40:22.112Z,Frame.io,Review,upload_cut,8000,AST-012004
MAM-0032,PRD-013,2026-03-01T12:52:00.778Z,MediaSilo,Metadata,edit_field,1200,AST-012004
MAM-0033,PRD-013,2026-03-01T12:55:18.334Z,MediaSilo,Metadata,edit_field,1100,AST-012004
MAM-0034,PRD-022,2026-03-01T13:00:45.667Z,RightsTracker Pro,Compliance,fcc_check,8800,AST-005003
MAM-0035,PRD-022,2026-03-01T13:15:30.223Z,RightsTracker Pro,Compliance,generate_filing,12000,AST-005003
MAM-0036,PRD-011,2026-03-01T13:30:00.890Z,RightsTracker Pro,Clearance,search_rights,3500,AST-001006
MAM-0037,PRD-011,2026-03-01T13:38:22.445Z,RightsTracker Pro,Clearance,review_contract,15000,AST-001006
MAM-0038,PRD-011,2026-03-01T14:00:00.112Z,RightsTracker Pro,Clearance,submit_request,4800,AST-001006
MAM-0039,PRD-012,2026-03-01T14:10:15.778Z,RightsTracker Pro,Clearance,search_rights,2800,AST-009004
MAM-0040,PRD-012,2026-03-01T14:15:45.334Z,RightsTracker Pro,Clearance,submit_request,3200,AST-009004
MAM-0041,PRD-001,2026-03-02T08:05:10.445Z,Avid Media Composer,Timeline,open_project,3900,AST-001007
MAM-0042,PRD-001,2026-03-02T08:12:22.112Z,Avid Media Composer,Metadata,view_metadata,1700,AST-001007
MAM-0043,PRD-001,2026-03-02T08:18:45.889Z,Avid Media Composer,Metadata,edit_field,2900,AST-001007
MAM-0044,PRD-001,2026-03-02T08:25:00.556Z,Avid Media Composer,Metadata,edit_field,3300,AST-001007
MAM-0045,PRD-007,2026-03-02T08:35:15.223Z,Avid Media Composer,Timeline,scrub_timeline,9200,AST-001007
MAM-0046,PRD-007,2026-03-02T08:48:30.890Z,Avid Media Composer,Timeline,add_marker,880,AST-001007
MAM-0047,PRD-015,2026-03-02T09:00:00.445Z,DaVinci Resolve,Timeline,open_project,5200,AST-005004
MAM-0048,PRD-015,2026-03-02T09:08:22.112Z,DaVinci Resolve,Color,grade_clip,14000,AST-005004
MAM-0049,PRD-015,2026-03-02T09:30:00.778Z,DaVinci Resolve,VFX,apply_effect,8500,AST-005004
MAM-0050,PRD-023,2026-03-02T09:42:15.334Z,DaVinci Resolve,Metadata,edit_field,2200,AST-005004
MAM-0051,PRD-016,2026-03-02T09:48:30.667Z,Frame.io,Review,upload_cut,12000,AST-008003
MAM-0052,PRD-016,2026-03-02T10:05:00.223Z,Frame.io,Review,add_comment,1500,AST-008003
MAM-0053,PRD-002,2026-03-02T10:10:45.890Z,Avid Media Composer,Metadata,edit_field,2600,AST-002007
MAM-0054,PRD-002,2026-03-02T10:18:10.445Z,Avid Media Composer,Metadata,save_metadata,1100,AST-002007
MAM-0055,PRD-003,2026-03-02T10:25:00.112Z,Frame.io,Review,view_comments,4200,AST-003005
MAM-0056,PRD-003,2026-03-02T10:32:30.778Z,Frame.io,Review,approve_cut,2800,AST-003005
MAM-0057,PRD-024,2026-03-02T10:40:00.334Z,Avid Media Composer,Timeline,open_project,4500,AST-004003
MAM-0058,PRD-024,2026-03-02T10:48:18.667Z,Avid Media Composer,Metadata,edit_field,2400,AST-004003
MAM-0059,PRD-009,2026-03-02T10:55:00.223Z,Avid Media Composer,Timeline,scrub_timeline,7800,AST-004003
MAM-0060,PRD-006,2026-03-02T11:08:15.890Z,Avid Media Composer,Metadata,edit_field,3000,AST-009005
MAM-0061,PRD-006,2026-03-02T11:15:30.445Z,Avid Media Composer,Metadata,save_metadata,1400,AST-009005
MAM-0062,PRD-025,2026-03-02T11:22:00.112Z,MediaSilo,Asset Library,search_assets,2500,AST-009005
MAM-0063,PRD-025,2026-03-02T11:28:15.778Z,MediaSilo,Metadata,bulk_tag,6200,AST-009005
MAM-0064,PRD-021,2026-03-02T11:38:00.334Z,Telestream Vantage,QC,run_qc_check,42000,AST-002007
MAM-0065,PRD-021,2026-03-02T12:22:45.667Z,Telestream Vantage,QC,review_results,7800,AST-002007
MAM-0066,PRD-010,2026-03-02T12:35:00.223Z,RightsTracker Pro,Clearance,review_status,5500,AST-005004
MAM-0067,PRD-010,2026-03-02T12:45:30.890Z,RightsTracker Pro,Clearance,update_record,3800,AST-005004
MAM-0068,PRD-014,2026-03-02T12:52:00.445Z,MediaSilo,Metadata,edit_field,1400,AST-012005
MAM-0069,PRD-014,2026-03-02T12:55:22.112Z,MediaSilo,Metadata,edit_field,1200,AST-012005
MAM-0070,PRD-020,2026-03-02T13:00:00.778Z,Audition,Audio,edit_audio,16000,AST-013002
MAM-0071,PRD-020,2026-03-02T13:20:15.334Z,MediaSilo,Metadata,edit_field,1600,AST-013002
MAM-0072,PRD-022,2026-03-02T13:28:00.667Z,RightsTracker Pro,Compliance,gdpr_check,9200,AST-001007
MAM-0073,PRD-022,2026-03-02T13:42:30.223Z,RightsTracker Pro,Compliance,generate_report,8500,AST-001007
MAM-0074,PRD-011,2026-03-02T13:55:00.890Z,RightsTracker Pro,Clearance,review_contract,14000,AST-009005
MAM-0075,PRD-011,2026-03-02T14:18:15.445Z,RightsTracker Pro,Clearance,submit_request,4200,AST-009005
MAM-0076,PRD-012,2026-03-02T14:28:00.112Z,RightsTracker Pro,Clearance,search_rights,3200,AST-003005
MAM-0077,PRD-012,2026-03-02T14:35:22.778Z,RightsTracker Pro,Clearance,submit_request,3600,AST-003005
MAM-0078,PRD-017,2026-03-02T14:42:00.334Z,Aspera,Delivery,initiate_transfer,8000,AST-006002
MAM-0079,PRD-017,2026-03-02T14:55:15.667Z,Aspera,Delivery,monitor_transfer,2200,AST-006002
MAM-0080,PRD-005,2026-03-02T15:00:00.223Z,Frame.io,Review,view_comments,3800,AST-006002
MAM-0081,PRD-001,2026-03-03T08:08:22.445Z,Avid Media Composer,Metadata,view_metadata,1900,AST-001007
MAM-0082,PRD-001,2026-03-03T08:15:30.112Z,Avid Media Composer,Metadata,edit_field,3100,AST-001007
MAM-0083,PRD-015,2026-03-03T08:25:00.889Z,DaVinci Resolve,VFX,apply_effect,9800,AST-005004
MAM-0084,PRD-015,2026-03-03T08:40:15.556Z,DaVinci Resolve,Metadata,edit_field,2800,AST-005004
MAM-0085,PRD-008,2026-03-03T08:48:30.223Z,Avid Media Composer,Timeline,scrub_timeline,8800,AST-002008
MAM-0086,PRD-008,2026-03-03T09:02:00.890Z,Avid Media Composer,Timeline,render_preview,22000,AST-002008
MAM-0087,PRD-003,2026-03-03T09:28:15.445Z,Frame.io,Review,upload_cut,28000,AST-003005
MAM-0088,PRD-006,2026-03-03T10:00:00.112Z,Avid Media Composer,Timeline,open_project,4600,AST-009005
MAM-0089,PRD-006,2026-03-03T10:08:22.778Z,Avid Media Composer,Metadata,edit_field,2800,AST-009005
MAM-0090,PRD-021,2026-03-03T10:15:00.334Z,Telestream Vantage,QC,run_qc_check,48000,AST-005004
MAM-0091,PRD-019,2026-03-03T11:05:15.667Z,Pro Tools,Audio,mix_audio,35000,AST-001007
MAM-0092,PRD-019,2026-03-03T11:45:00.223Z,Pro Tools,Audio,export_stems,12000,AST-001007
MAM-0093,PRD-025,2026-03-03T12:00:00.890Z,MediaSilo,Asset Library,archive_asset,4800,AST-001006
MAM-0094,PRD-025,2026-03-03T12:08:15.445Z,MediaSilo,Metadata,bulk_tag,5400,AST-001006
MAM-0095,PRD-010,2026-03-03T12:18:00.112Z,RightsTracker Pro,Clearance,search_rights,3400,AST-001007
MAM-0096,PRD-010,2026-03-03T12:25:30.778Z,RightsTracker Pro,Clearance,submit_request,4200,AST-001007
MAM-0097,PRD-022,2026-03-03T12:35:00.334Z,RightsTracker Pro,Compliance,accessibility_check,11000,AST-010001
MAM-0098,PRD-022,2026-03-03T12:52:15.667Z,RightsTracker Pro,Compliance,generate_report,7500,AST-010001
MAM-0099,PRD-013,2026-03-03T13:00:00.223Z,Frame.io,Review,upload_cut,6500,AST-012006
MAM-0100,PRD-013,2026-03-03T13:10:30.890Z,MediaSilo,Metadata,edit_field,1100,AST-012006
MAM-0101,PRD-001,2026-03-04T08:00:15.445Z,Avid Media Composer,Timeline,open_project,4100,AST-001008
MAM-0102,PRD-001,2026-03-04T08:08:30.112Z,Avid Media Composer,Metadata,edit_field,2700,AST-001008
MAM-0103,PRD-015,2026-03-04T08:15:00.778Z,DaVinci Resolve,Timeline,open_project,5400,AST-005005
MAM-0104,PRD-015,2026-03-04T08:25:22.334Z,DaVinci Resolve,Color,grade_clip,15000,AST-005005
MAM-0105,PRD-007,2026-03-04T08:45:00.667Z,Avid Media Composer,Timeline,scrub_timeline,9500,AST-001008
MAM-0106,PRD-002,2026-03-04T09:00:15.223Z,Avid Media Composer,Metadata,edit_field,2500,AST-002009
MAM-0107,PRD-008,2026-03-04T09:08:30.890Z,Avid Media Composer,Timeline,apply_transition,2000,AST-002009
MAM-0108,PRD-009,2026-03-04T09:15:00.445Z,Avid Media Composer,Timeline,open_project,4200,AST-004004
MAM-0109,PRD-024,2026-03-04T09:25:15.112Z,Avid Media Composer,Metadata,edit_field,2600,AST-004004
MAM-0110,PRD-016,2026-03-04T09:32:00.778Z,Frame.io,Review,view_comments,3500,AST-008004
MAM-0111,PRD-006,2026-03-04T09:40:30.334Z,Avid Media Composer,Metadata,edit_field,3200,AST-009006
MAM-0112,PRD-006,2026-03-04T09:48:45.667Z,Avid Media Composer,Metadata,save_metadata,1300,AST-009006
MAM-0113,PRD-021,2026-03-04T10:00:00.223Z,Telestream Vantage,QC,run_qc_check,46000,AST-001008
MAM-0114,PRD-021,2026-03-04T10:48:15.890Z,Telestream Vantage,QC,review_results,9200,AST-001008
MAM-0115,PRD-025,2026-03-04T11:00:00.445Z,MediaSilo,Metadata,bulk_tag,5800,AST-005005
MAM-0116,PRD-010,2026-03-04T11:10:22.112Z,RightsTracker Pro,Clearance,review_status,4800,AST-005005
MAM-0117,PRD-011,2026-03-04T11:20:00.778Z,RightsTracker Pro,Clearance,review_contract,16000,AST-001008
MAM-0118,PRD-012,2026-03-04T11:45:15.334Z,RightsTracker Pro,Clearance,submit_request,3800,AST-009006
MAM-0119,PRD-022,2026-03-04T12:00:00.667Z,RightsTracker Pro,Compliance,fcc_check,10000,AST-001008
MAM-0120,PRD-022,2026-03-04T12:18:30.223Z,RightsTracker Pro,Compliance,generate_filing,13000,AST-001008
MAM-0121,PRD-001,2026-03-05T08:05:00.890Z,Avid Media Composer,Metadata,view_metadata,1800,AST-001008
MAM-0122,PRD-001,2026-03-05T08:10:22.445Z,Avid Media Composer,Metadata,edit_field,3000,AST-001008
MAM-0123,PRD-015,2026-03-05T08:18:00.112Z,DaVinci Resolve,VFX,apply_effect,11000,AST-005005
MAM-0124,PRD-015,2026-03-05T08:32:15.778Z,DaVinci Resolve,Metadata,edit_field,2600,AST-005005
MAM-0125,PRD-003,2026-03-05T08:42:00.334Z,Frame.io,Review,view_comments,3800,AST-003006
MAM-0126,PRD-003,2026-03-05T08:50:30.667Z,Frame.io,Review,approve_cut,2600,AST-003006
MAM-0127,PRD-002,2026-03-05T09:00:00.223Z,Avid Media Composer,Metadata,edit_field,2800,AST-002010
MAM-0128,PRD-008,2026-03-05T09:08:30.890Z,Avid Media Composer,Timeline,scrub_timeline,8200,AST-002010
MAM-0129,PRD-024,2026-03-05T09:20:00.445Z,Avid Media Composer,Metadata,edit_field,2400,AST-004005
MAM-0130,PRD-006,2026-03-05T09:28:30.112Z,Avid Media Composer,Metadata,edit_field,2800,AST-009006
