perf_id,show_id,producer_id,month,episodes_delivered,on_time_pct,doc_hours,creative_hours,budget_spent,rights_cleared,rights_pending,metadata_complete_pct,delivery_rejections,platforms_delivered
PP-001,SHW-001,PRD-001,2025-11,2,100,82,120,380000,18,0,94,0,4
PP-002,SHW-001,PRD-001,2025-12,2,100,88,115,395000,22,1,92,1,4
PP-003,SHW-001,PRD-001,2026-01,2,100,95,108,410000,20,2,90,1,4
PP-004,SHW-001,PRD-001,2026-02,3,67,110,98,440000,25,3,88,2,4
PP-005,SHW-001,PRD-001,2026-03,3,67,118,92,455000,22,4,86,2,4
PP-006,SHW-002,PRD-002,2025-11,3,100,48,85,145000,8,0,84,0,3
PP-007,SHW-002,PRD-002,2025-12,3,100,52,82,150000,10,0,82,1,3
PP-008,SHW-002,PRD-002,2026-01,3,100,55,78,155000,9,1,80,1,3
PP-009,SHW-002,PRD-002,2026-02,3,100,58,75,160000,12,0,82,0,3
PP-010,SHW-002,PRD-002,2026-03,3,67,62,72,165000,10,2,80,2,3
PP-011,SHW-003,PRD-003,2025-11,3,100,38,65,75000,6,0,76,1,2
PP-012,SHW-003,PRD-003,2025-12,3,100,42,62,78000,8,0,74,2,2
PP-013,SHW-003,PRD-003,2026-01,4,75,48,58,82000,10,1,72,2,2
PP-014,SHW-003,PRD-003,2026-02,4,75,52,55,85000,8,2,70,3,2
PP-015,SHW-003,PRD-003,2026-03,4,50,56,50,90000,6,3,68,3,2
PP-016,SHW-004,PRD-024,2026-01,2,100,45,72,105000,10,0,88,0,2
PP-017,SHW-004,PRD-024,2026-02,3,100,55,68,115000,14,1,86,1,2
PP-018,SHW-004,PRD-024,2026-03,3,67,62,60,125000,12,3,82,2,2
PP-019,SHW-005,PRD-015,2025-11,1,100,65,95,550000,12,0,96,0,3
PP-020,SHW-005,PRD-015,2025-12,1,100,72,90,580000,15,1,94,0,3
PP-021,SHW-005,PRD-015,2026-01,1,100,78,85,600000,18,2,92,1,3
PP-022,SHW-005,PRD-015,2026-02,2,50,92,78,650000,22,4,90,1,3
PP-023,SHW-005,PRD-015,2026-03,2,50,105,70,680000,20,6,88,2,3
PP-024,SHW-006,PRD-005,2025-11,4,100,22,55,70000,4,0,72,0,2
PP-025,SHW-006,PRD-005,2025-12,5,100,25,60,75000,5,0,74,0,2
PP-026,SHW-006,PRD-005,2026-01,4,100,28,52,72000,4,0,70,1,2
PP-027,SHW-006,PRD-005,2026-02,5,100,30,55,78000,6,0,72,0,2
PP-028,SHW-006,PRD-005,2026-03,4,100,26,58,74000,5,0,74,0,2
PP-029,SHW-008,PRD-016,2025-12,2,100,28,48,48000,6,0,78,0,2
PP-030,SHW-008,PRD-016,2026-01,3,100,35,52,55000,8,0,80,1,2
PP-031,SHW-008,PRD-016,2026-02,3,100,38,48,58000,8,1,76,1,2
PP-032,SHW-008,PRD-016,2026-03,2,100,32,45,52000,6,0,78,0,2
PP-033,SHW-009,PRD-006,2025-12,1,100,55,80,130000,10,0,92,0,3
PP-034,SHW-009,PRD-006,2026-01,1,100,62,75,140000,12,1,90,0,3
PP-035,SHW-009,PRD-006,2026-02,2,100,72,68,155000,15,2,88,1,3
PP-036,SHW-009,PRD-006,2026-03,2,50,85,60,170000,14,4,86,2,3
PP-037,SHW-010,PRD-022,2026-01,6,100,32,85,240000,8,0,86,0,2
PP-038,SHW-010,PRD-022,2026-02,7,100,38,90,260000,10,0,88,0,2
PP-039,SHW-010,PRD-022,2026-03,6,83,42,82,250000,8,1,84,1,2
PP-040,SHW-012,PRD-013,2025-12,30,100,18,42,14000,2,0,62,0,1
PP-041,SHW-012,PRD-013,2026-01,35,100,22,48,16000,3,0,64,1,1
PP-042,SHW-012,PRD-013,2026-02,32,100,20,45,15000,2,0,60,0,1
PP-043,SHW-012,PRD-013,2026-03,28,96,24,40,14500,4,1,58,2,1
PP-044,SHW-013,PRD-020,2026-01,12,100,15,32,7000,2,0,72,0,1
PP-045,SHW-013,PRD-020,2026-02,13,100,18,35,7500,3,0,74,0,1
