review_id,asset_id,producer_id,timestamp,regulation,finding,severity,remediation_time_min
REG-001,AST-001003,PRD-022,2026-03-01T08:30:00.112Z,FCC,Compliant,Info,0
REG-002,AST-001005,PRD-022,2026-03-01T09:15:00.334Z,content_rating,Compliant,Info,0
REG-003,AST-002002,PRD-022,2026-03-01T10:00:00.556Z,FCC,Compliant,Info,0
REG-004,AST-003004,PRD-022,2026-03-01T11:20:00.778Z,accessibility,Non-Compliant,High,45
REG-005,AST-005002,PRD-022,2026-03-01T13:00:00.890Z,FCC,Compliant,Info,0
REG-006,AST-010003,PRD-022,2026-03-02T08:00:00.223Z,accessibility,Non-Compliant,Critical,90
REG-007,AST-010003,PRD-022,2026-03-02T08:45:00.445Z,GDPR,Non-Compliant,High,60
REG-008,AST-004001,PRD-022,2026-03-02T10:30:00.667Z,content_rating,Compliant,Info,0
REG-009,AST-009003,PRD-022,2026-03-02T11:15:00.112Z,FCC,Compliant,Info,0
REG-010,AST-012002,PRD-022,2026-03-02T14:00:00.334Z,content_rating,Needs Review,Medium,25
REG-011,AST-001007,PRD-022,2026-03-03T08:30:00.556Z,FCC,Compliant,Info,0
REG-012,AST-005003,PRD-022,2026-03-03T09:45:00.778Z,GDPR,Compliant,Info,0
REG-013,AST-010003,PRD-022,2026-03-03T10:30:00.890Z,accessibility,Needs Review,Medium,30
REG-014,AST-003006,PRD-022,2026-03-03T11:30:00.223Z,content_rating,Compliant,Info,0
REG-015,AST-007002,PRD-022,2026-03-04T08:00:00.445Z,FCC,Compliant,Info,0
REG-016,AST-011003,PRD-022,2026-03-04T09:30:00.667Z,FCC,Non-Compliant,High,55
REG-017,AST-011003,PRD-022,2026-03-04T10:00:00.112Z,content_rating,Needs Review,Medium,20
REG-018,AST-002004,PRD-022,2026-03-04T11:15:00.334Z,CCPA,Compliant,Info,0
REG-019,AST-008002,PRD-022,2026-03-05T08:30:00.556Z,accessibility,Compliant,Info,0
REG-020,AST-001010,PRD-022,2026-03-05T09:45:00.778Z,FCC,Compliant,Info,0
REG-021,AST-005004,PRD-022,2026-03-05T10:30:00.890Z,GDPR,Needs Review,Medium,35
REG-022,AST-012004,PRD-022,2026-03-05T13:00:00.223Z,content_rating,Non-Compliant,High,40
REG-023,AST-012004,PRD-022,2026-03-06T08:00:00.445Z,content_rating,Needs Review,Medium,15
REG-024,AST-006002,PRD-022,2026-03-06T09:15:00.667Z,FCC,Compliant,Info,0
REG-025,AST-003008,PRD-022,2026-03-06T10:30:00.112Z,accessibility,Compliant,Info,0
REG-026,AST-009004,PRD-022,2026-03-07T08:30:00.334Z,FCC,Compliant,Info,0
REG-027,AST-010003,PRD-022,2026-03-07T09:00:00.556Z,accessibility,Compliant,Info,0
REG-028,AST-013002,PRD-022,2026-03-07T10:15:00.778Z,content_rating,Compliant,Info,0
REG-029,AST-004003,PRD-022,2026-03-07T11:30:00.890Z,FCC,Compliant,Info,0
REG-030,AST-001012,PRD-022,2026-03-08T08:00:00.223Z,GDPR,Compliant,Info,0
REG-031,AST-011003,PRD-022,2026-03-09T08:30:00.445Z,FCC,Needs Review,Medium,30
REG-032,AST-005005,PRD-022,2026-03-09T09:45:00.667Z,content_rating,Compliant,Info,0
REG-033,AST-014001,PRD-022,2026-03-09T10:30:00.112Z,FCC,Compliant,Info,0
REG-034,AST-002006,PRD-022,2026-03-10T08:00:00.334Z,CCPA,Compliant,Info,0
REG-035,AST-015001,PRD-022,2026-03-10T09:15:00.556Z,accessibility,Needs Review,Low,10
REG-036,AST-003010,PRD-022,2026-03-10T10:30:00.778Z,FCC,Compliant,Info,0
REG-037,AST-010003,PRD-022,2026-03-11T08:30:00.890Z,GDPR,Compliant,Info,0
REG-038,AST-007003,PRD-022,2026-03-11T09:45:00.223Z,FCC,Compliant,Info,0
REG-039,AST-001015,PRD-022,2026-03-12T08:00:00.445Z,content_rating,Compliant,Info,0
REG-040,AST-005006,PRD-022,2026-03-12T09:30:00.667Z,GDPR,Needs Review,Medium,25
REG-041,AST-011003,PRD-022,2026-03-12T10:15:00.112Z,FCC,Compliant,Info,0
REG-042,AST-008003,PRD-022,2026-03-13T08:30:00.334Z,accessibility,Compliant,Info,0
REG-043,AST-012006,PRD-022,2026-03-13T09:45:00.556Z,content_rating,Needs Review,Medium,20
REG-044,AST-006003,PRD-022,2026-03-14T08:00:00.778Z,FCC,Compliant,Info,0
REG-045,AST-003012,PRD-022,2026-03-14T09:30:00.890Z,FCC,Compliant,Info,0
REG-046,AST-009005,PRD-022,2026-03-15T08:00:00.223Z,GDPR,Compliant,Info,0
REG-047,AST-001018,PRD-022,2026-03-16T08:30:00.445Z,FCC,Compliant,Info,0
REG-048,AST-005007,PRD-022,2026-03-17T08:00:00.667Z,accessibility,Compliant,Info,0
REG-049,AST-010004,PRD-022,2026-03-18T09:00:00.112Z,CCPA,Compliant,Info,0
REG-050,AST-002008,PRD-022,2026-03-19T08:30:00.334Z,FCC,Compliant,Info,0
