metric_id,show_id,platform_id,timestamp,viewers,completion_rate,engagement_score
AM-001,SHW-001,PLT-001,2026-03-19T08:00:01.112Z,245000,0.82,7.8
AM-002,SHW-001,PLT-002,2026-03-19T08:00:02.334Z,189000,0.78,7.5
AM-003,SHW-002,PLT-001,2026-03-19T08:00:03.556Z,312000,0.85,8.2
AM-004,SHW-002,PLT-002,2026-03-19T08:00:04.778Z,156000,0.79,7.6
AM-005,SHW-003,PLT-002,2026-03-19T08:00:05.890Z,428000,0.71,7.1
AM-006,SHW-003,PLT-003,2026-03-19T08:00:06.223Z,95000,0.68,6.8
AM-007,SHW-004,PLT-003,2026-03-19T08:00:07.445Z,178000,0.88,8.5
AM-008,SHW-005,PLT-001,2026-03-19T08:00:08.667Z,520000,0.91,9.2
AM-009,SHW-005,PLT-003,2026-03-19T08:00:09.112Z,285000,0.89,9.0
AM-010,SHW-006,PLT-005,2026-03-19T08:00:10.334Z,142000,0.76,7.3
AM-011,SHW-007,PLT-005,2026-03-19T08:00:11.556Z,88000,0.83,8.1
AM-012,SHW-008,PLT-001,2026-03-19T08:00:12.778Z,198000,0.80,7.7
AM-013,SHW-009,PLT-003,2026-03-19T08:00:13.890Z,267000,0.86,8.4
AM-014,SHW-010,PLT-002,2026-03-19T08:00:14.223Z,345000,0.74,7.2
AM-015,SHW-011,PLT-006,2026-03-19T08:00:15.445Z,1250000,0.62,6.5
AM-016,SHW-012,PLT-004,2026-03-19T08:01:01.667Z,890000,0.45,5.8
AM-017,SHW-012,PLT-004,2026-03-19T08:01:02.112Z,920000,0.43,5.6
AM-018,SHW-013,PLT-008,2026-03-19T08:01:03.334Z,75000,0.92,8.8
AM-019,SHW-014,PLT-001,2026-03-19T08:01:04.556Z,135000,0.87,8.3
AM-020,SHW-015,PLT-009,2026-03-19T08:01:05.778Z,42000,0.94,9.1
AM-021,SHW-001,PLT-001,2026-03-19T08:02:01.890Z,248000,0.83,7.9
AM-022,SHW-002,PLT-001,2026-03-19T08:02:02.223Z,318000,0.86,8.3
AM-023,SHW-003,PLT-002,2026-03-19T08:02:03.445Z,422000,0.70,7.0
AM-024,SHW-005,PLT-001,2026-03-19T08:02:04.667Z,535000,0.92,9.3
AM-025,SHW-005,PLT-003,2026-03-19T08:02:05.112Z,290000,0.90,9.1
AM-026,SHW-009,PLT-003,2026-03-19T08:02:06.334Z,272000,0.87,8.5
AM-027,SHW-010,PLT-002,2026-03-19T08:02:07.556Z,340000,0.73,7.1
AM-028,SHW-011,PLT-006,2026-03-19T08:02:08.778Z,1180000,0.60,6.3
AM-029,SHW-012,PLT-004,2026-03-19T08:02:09.890Z,950000,0.42,5.5
AM-030,SHW-004,PLT-003,2026-03-19T08:03:01.223Z,182000,0.89,8.6
AM-031,SHW-006,PLT-005,2026-03-19T08:03:02.445Z,148000,0.77,7.4
