delivery_id,show_id,platform_id,timestamp,status,file_size_gb,transfer_pct
DT-001,SHW-001,PLT-001,2026-03-19T08:00:01.112Z,initiating,42.5,0
DT-002,SHW-001,PLT-001,2026-03-19T08:00:15.334Z,transferring,42.5,2
DT-003,SHW-001,PLT-001,2026-03-19T08:01:00.556Z,transferring,42.5,8
DT-004,SHW-001,PLT-001,2026-03-19T08:02:00.778Z,transferring,42.5,18
DT-005,SHW-001,PLT-001,2026-03-19T08:04:00.890Z,transferring,42.5,35
DT-006,SHW-001,PLT-001,2026-03-19T08:06:00.223Z,transferring,42.5,52
DT-007,SHW-001,PLT-001,2026-03-19T08:08:00.445Z,transferring,42.5,68
DT-008,SHW-001,PLT-001,2026-03-19T08:10:00.667Z,transferring,42.5,82
DT-009,SHW-001,PLT-001,2026-03-19T08:12:00.112Z,transferring,42.5,94
DT-010,SHW-001,PLT-001,2026-03-19T08:13:00.334Z,complete,42.5,100
DT-011,SHW-001,PLT-002,2026-03-19T08:00:02.556Z,initiating,38.2,0
DT-012,SHW-001,PLT-002,2026-03-19T08:00:18.778Z,transferring,38.2,3
DT-013,SHW-001,PLT-002,2026-03-19T08:01:30.890Z,transferring,38.2,12
DT-014,SHW-001,PLT-002,2026-03-19T08:03:00.223Z,transferring,38.2,28
DT-015,SHW-001,PLT-002,2026-03-19T08:05:00.445Z,transferring,38.2,48
DT-016,SHW-001,PLT-002,2026-03-19T08:07:00.667Z,transferring,38.2,66
DT-017,SHW-001,PLT-002,2026-03-19T08:09:00.112Z,transferring,38.2,84
DT-018,SHW-001,PLT-002,2026-03-19T08:11:00.334Z,transferring,38.2,96
DT-019,SHW-001,PLT-002,2026-03-19T08:11:30.556Z,complete,38.2,100
DT-020,SHW-005,PLT-001,2026-03-19T08:00:03.778Z,initiating,85.6,0
DT-021,SHW-005,PLT-001,2026-03-19T08:00:20.890Z,transferring,85.6,1
DT-022,SHW-005,PLT-001,2026-03-19T08:02:00.223Z,transferring,85.6,6
DT-023,SHW-005,PLT-001,2026-03-19T08:04:00.445Z,transferring,85.6,14
DT-024,SHW-005,PLT-001,2026-03-19T08:06:00.667Z,transferring,85.6,22
DT-025,SHW-005,PLT-001,2026-03-19T08:08:00.112Z,error,85.6,22
DT-026,SHW-005,PLT-001,2026-03-19T08:08:30.334Z,retrying,85.6,22
DT-027,SHW-005,PLT-001,2026-03-19T08:09:00.556Z,transferring,85.6,24
DT-028,SHW-005,PLT-001,2026-03-19T08:12:00.778Z,transferring,85.6,38
DT-029,SHW-005,PLT-001,2026-03-19T08:15:00.890Z,transferring,85.6,55
DT-030,SHW-005,PLT-001,2026-03-19T08:18:00.223Z,transferring,85.6,72
DT-031,SHW-005,PLT-003,2026-03-19T08:00:04.445Z,initiating,72.3,0
DT-032,SHW-005,PLT-003,2026-03-19T08:00:22.667Z,transferring,72.3,1
DT-033,SHW-005,PLT-003,2026-03-19T08:02:00.112Z,transferring,72.3,5
DT-034,SHW-005,PLT-003,2026-03-19T08:04:00.334Z,transferring,72.3,12
DT-035,SHW-005,PLT-003,2026-03-19T08:06:00.556Z,transferring,72.3,20
DT-036,SHW-005,PLT-003,2026-03-19T08:08:00.778Z,transferring,72.3,30
DT-037,SHW-005,PLT-003,2026-03-19T08:10:00.890Z,transferring,72.3,42
DT-038,SHW-005,PLT-003,2026-03-19T08:12:00.223Z,transferring,72.3,55
DT-039,SHW-005,PLT-003,2026-03-19T08:14:00.445Z,transferring,72.3,68
DT-040,SHW-005,PLT-003,2026-03-19T08:16:00.667Z,transferring,72.3,80
DT-041,SHW-003,PLT-002,2026-03-19T08:00:05.112Z,initiating,28.4,0
DT-042,SHW-003,PLT-002,2026-03-19T08:00:16.334Z,transferring,28.4,4
DT-043,SHW-003,PLT-002,2026-03-19T08:01:00.556Z,transferring,28.4,15
DT-044,SHW-003,PLT-002,2026-03-19T08:02:30.778Z,transferring,28.4,32
DT-045,SHW-003,PLT-002,2026-03-19T08:04:00.890Z,transferring,28.4,52
