ddr_id,engineer_id,well_id,date,depth_start,depth_end,footage_drilled,mud_weight,doc_time_min,incidents
DDR-0001,ENG-022,WELL-009,2024-05-09,11004,11182,178,15.7,198,0
DDR-0002,ENG-021,WELL-014,2024-03-11,3722,3773,51,11.2,106,0
DDR-0003,ENG-009,WELL-006,2024-04-23,12038,12306,268,13.0,104,0
DDR-0004,ENG-023,WELL-005,2024-05-19,3590,3829,239,13.2,108,0
DDR-0005,ENG-002,WELL-010,2024-04-03,17728,17798,70,15.7,116,0
DDR-0006,ENG-022,WELL-004,2024-03-31,15781,16117,336,15.6,142,1
DDR-0007,ENG-024,WELL-005,2024-03-01,17165,17298,133,16.3,193,0
DDR-0008,ENG-014,WELL-001,2024-02-15,15067,15287,220,14.8,142,0
DDR-0009,ENG-024,WELL-008,2024-03-09,5608,5713,105,11.6,94,0
DDR-0010,ENG-008,WELL-007,2024-04-27,8728,8934,206,15.1,201,0
DDR-0011,ENG-001,WELL-007,2024-04-12,8378,8570,192,15.4,188,0
DDR-0012,ENG-021,WELL-017,2024-04-12,14133,14457,324,11.1,93,0
DDR-0013,ENG-009,WELL-006,2024-05-28,7349,7418,69,9.4,145,0
DDR-0014,ENG-011,WELL-014,2024-06-04,11379,11488,109,11.6,163,0
DDR-0015,ENG-002,WELL-014,2024-01-01,11518,11843,325,14.0,210,0
DDR-0016,ENG-022,WELL-007,2024-04-03,10066,10151,85,16.1,207,0
DDR-0017,ENG-011,WELL-004,2024-03-17,11308,11516,208,13.8,131,0
DDR-0018,ENG-010,WELL-018,2024-02-02,6143,6408,265,13.8,138,0
DDR-0019,ENG-006,WELL-020,2024-05-25,7930,8187,257,12.9,90,0
DDR-0020,ENG-007,WELL-014,2024-05-28,12939,13324,385,11.1,146,0
DDR-0021,ENG-007,WELL-017,2024-05-01,16004,16140,136,13.8,126,0
DDR-0022,ENG-021,WELL-020,2024-03-26,4530,4700,170,13.9,118,0
DDR-0023,ENG-005,WELL-001,2024-01-12,7011,7304,293,13.4,188,0
DDR-0024,ENG-014,WELL-019,2024-02-19,14769,15015,246,12.5,121,0
DDR-0025,ENG-023,WELL-001,2024-01-28,15753,16020,267,10.3,192,1
DDR-0026,ENG-017,WELL-015,2024-01-13,12132,12309,177,15.8,105,0
DDR-0027,ENG-015,WELL-017,2024-05-23,12755,12967,212,16.1,204,0
DDR-0028,ENG-024,WELL-017,2024-04-19,16608,16938,330,12.1,110,0
DDR-0029,ENG-016,WELL-015,2024-03-07,15317,15493,176,15.2,125,0
DDR-0030,ENG-017,WELL-016,2024-06-09,6919,7109,190,12.0,181,0
DDR-0031,ENG-009,WELL-011,2024-03-22,17631,17957,326,9.1,109,0
DDR-0032,ENG-023,WELL-005,2024-06-29,6505,6587,82,11.8,132,0
DDR-0033,ENG-014,WELL-002,2024-02-22,16646,16911,265,11.6,188,0
DDR-0034,ENG-023,WELL-001,2024-05-27,9232,9526,294,8.5,135,0
DDR-0035,ENG-013,WELL-014,2024-05-17,15247,15576,329,14.9,204,0
DDR-0036,ENG-008,WELL-009,2024-04-21,10956,11020,64,11.6,175,0
DDR-0037,ENG-013,WELL-006,2024-04-29,5091,5459,368,12.8,206,0
DDR-0038,ENG-019,WELL-001,2024-01-22,13530,13799,269,9.6,149,0
DDR-0039,ENG-009,WELL-013,2024-03-24,6467,6749,282,11.1,187,0
DDR-0040,ENG-009,WELL-014,2024-03-05,16679,16770,91,12.3,185,0
DDR-0041,ENG-012,WELL-008,2024-06-15,4124,4507,383,8.8,61,0
DDR-0042,ENG-007,WELL-001,2024-06-08,5496,5668,172,9.5,175,0
DDR-0043,ENG-007,WELL-015,2024-06-28,7198,7436,238,9.8,167,1
DDR-0044,ENG-023,WELL-004,2024-02-11,8096,8201,105,13.1,208,0
DDR-0045,ENG-022,WELL-013,2024-04-11,14714,14865,151,9.1,178,0
DDR-0046,ENG-008,WELL-004,2024-06-27,15656,15860,204,15.3,166,0
DDR-0047,ENG-019,WELL-002,2024-03-29,11728,11997,269,13.8,98,0
DDR-0048,ENG-011,WELL-001,2024-04-17,16473,16773,300,9.3,136,0
DDR-0049,ENG-015,WELL-005,2024-04-21,5885,6202,317,16.2,124,0
DDR-0050,ENG-018,WELL-016,2024-04-29,10136,10489,353,10.6,199,0
DDR-0051,ENG-003,WELL-009,2024-04-25,6995,7282,287,13.1,248,0
DDR-0052,ENG-016,WELL-011,2024-02-16,10988,11146,158,11.3,123,0
DDR-0053,ENG-020,WELL-009,2024-05-22,3166,3480,314,16.1,100,0
DDR-0054,ENG-014,WELL-016,2024-05-22,15421,15594,173,14.0,172,0
DDR-0055,ENG-015,WELL-001,2024-01-24,7820,7983,163,11.7,121,0
DDR-0056,ENG-019,WELL-012,2024-05-01,12068,12389,321,11.3,185,0
DDR-0057,ENG-012,WELL-015,2024-03-10,8023,8201,178,10.3,72,0
DDR-0058,ENG-024,WELL-018,2024-06-25,6033,6181,148,10.2,151,0
DDR-0059,ENG-019,WELL-017,2024-06-01,7636,7737,101,15.2,127,0
DDR-0060,ENG-006,WELL-010,2024-01-04,14600,14923,323,9.5,95,1
DDR-0061,ENG-018,WELL-010,2024-06-27,5068,5444,376,15.4,152,0
DDR-0062,ENG-001,WELL-019,2024-03-13,10690,10985,295,12.0,113,1
DDR-0063,ENG-009,WELL-016,2024-01-30,16469,16552,83,11.7,99,0
DDR-0064,ENG-022,WELL-002,2024-02-08,5444,5782,338,16.1,100,2
DDR-0065,ENG-004,WELL-018,2024-04-16,12933,13288,355,14.8,118,0
DDR-0066,ENG-013,WELL-015,2024-04-23,7871,8222,351,16.4,129,0
DDR-0067,ENG-002,WELL-020,2024-01-26,15496,15652,156,13.5,123,0
DDR-0068,ENG-006,WELL-008,2024-02-14,12043,12131,88,9.8,142,0
DDR-0069,ENG-020,WELL-016,2024-03-15,3534,3702,168,10.8,126,0
DDR-0070,ENG-015,WELL-003,2024-06-24,6824,7009,185,14.8,170,0
DDR-0071,ENG-007,WELL-014,2024-01-30,11922,12087,165,13.7,206,0
DDR-0072,ENG-005,WELL-003,2024-01-16,5718,5925,207,13.3,195,0
DDR-0073,ENG-010,WELL-015,2024-02-01,10679,10884,205,14.1,210,0
DDR-0074,ENG-018,WELL-016,2024-04-22,4317,4673,356,8.8,145,0
DDR-0075,ENG-020,WELL-009,2024-01-07,4496,4663,167,16.2,197,0
DDR-0076,ENG-019,WELL-001,2024-06-21,16458,16645,187,13.1,187,0
DDR-0077,ENG-016,WELL-017,2024-06-15,10245,10437,192,10.0,164,0
DDR-0078,ENG-016,WELL-003,2024-04-30,8700,8959,259,11.2,175,0
DDR-0079,ENG-006,WELL-011,2024-04-15,14365,14668,303,10.8,210,0
DDR-0080,ENG-025,WELL-018,2024-01-10,10451,10546,95,11.0,131,0
DDR-0081,ENG-025,WELL-013,2024-05-11,16515,16565,50,13.8,159,0
DDR-0082,ENG-002,WELL-007,2024-05-12,8927,9295,368,14.6,170,0
DDR-0083,ENG-002,WELL-007,2024-03-09,11998,12115,117,15.9,146,0
DDR-0084,ENG-016,WELL-004,2024-01-08,13322,13683,361,14.9,180,0
DDR-0085,ENG-018,WELL-001,2024-05-21,9684,9781,97,10.3,197,0
DDR-0086,ENG-015,WELL-004,2024-06-14,16633,16761,128,12.5,181,0
DDR-0087,ENG-023,WELL-009,2024-04-16,16676,16973,297,16.3,121,0
DDR-0088,ENG-005,WELL-013,2024-02-18,12820,13130,310,14.5,107,0
DDR-0089,ENG-009,WELL-014,2024-03-28,15905,16214,309,10.6,90,0
DDR-0090,ENG-010,WELL-019,2024-05-28,13812,14112,300,15.4,147,0
DDR-0091,ENG-012,WELL-011,2024-05-21,15498,15826,328,11.5,80,0
DDR-0092,ENG-023,WELL-008,2024-05-26,9274,9443,169,15.3,142,0
DDR-0093,ENG-024,WELL-016,2024-06-29,17965,18210,245,11.6,174,0
DDR-0094,ENG-021,WELL-005,2024-05-06,3606,3720,114,12.5,165,0
DDR-0095,ENG-004,WELL-015,2024-01-26,11617,11900,283,8.6,108,0
DDR-0096,ENG-021,WELL-005,2024-01-20,10692,10877,185,11.2,178,0
DDR-0097,ENG-003,WELL-011,2024-06-21,17079,17402,323,11.5,240,0
DDR-0098,ENG-025,WELL-016,2024-05-18,3588,3954,366,9.0,170,0
DDR-0099,ENG-010,WELL-008,2024-01-24,10110,10210,100,14.6,180,0
DDR-0100,ENG-015,WELL-006,2024-06-26,7906,7970,64,8.9,191,0
DDR-0101,ENG-012,WELL-012,2024-04-20,5385,5560,175,12.7,96,0
DDR-0102,ENG-006,WELL-006,2024-02-14,4293,4655,362,15.5,169,0
DDR-0103,ENG-016,WELL-019,2024-02-06,6804,7090,286,13.6,148,0
DDR-0104,ENG-001,WELL-015,2024-03-14,14101,14430,329,9.8,146,0
DDR-0105,ENG-019,WELL-010,2024-06-12,9951,10129,178,12.2,128,0
DDR-0106,ENG-013,WELL-016,2024-01-28,6886,7131,245,13.1,163,0
DDR-0107,ENG-023,WELL-010,2024-01-06,16599,16986,387,11.7,91,0
DDR-0108,ENG-022,WELL-002,2024-06-04,15208,15512,304,15.2,205,0
DDR-0109,ENG-008,WELL-020,2024-03-31,6588,6963,375,10.0,122,0
DDR-0110,ENG-024,WELL-005,2024-06-09,4591,4962,371,13.7,129,0
DDR-0111,ENG-002,WELL-019,2024-04-03,14998,15115,117,9.2,127,0
DDR-0112,ENG-014,WELL-006,2024-02-21,5165,5491,326,15.5,136,0
DDR-0113,ENG-009,WELL-006,2024-03-06,17975,18271,296,16.2,127,0
DDR-0114,ENG-011,WELL-004,2024-04-29,4233,4355,122,14.5,118,0
DDR-0115,ENG-024,WELL-013,2024-05-22,8992,9088,96,14.8,91,0
DDR-0116,ENG-004,WELL-015,2024-04-04,14023,14417,394,10.6,138,0
DDR-0117,ENG-012,WELL-004,2024-06-21,6830,7121,291,8.7,95,0
DDR-0118,ENG-020,WELL-008,2024-06-14,4035,4410,375,15.1,206,0
DDR-0119,ENG-021,WELL-014,2024-01-30,5290,5363,73,16.1,128,2
DDR-0120,ENG-004,WELL-004,2024-03-01,17536,17861,325,9.6,148,0
DDR-0121,ENG-024,WELL-018,2024-04-17,12622,12751,129,15.6,173,0
DDR-0122,ENG-016,WELL-020,2024-04-14,7583,7649,66,14.0,117,0
DDR-0123,ENG-008,WELL-012,2024-01-26,14234,14472,238,12.9,172,0
DDR-0124,ENG-013,WELL-009,2024-02-18,5001,5283,282,9.2,117,0
DDR-0125,ENG-020,WELL-001,2024-01-13,15890,16110,220,10.4,106,0
DDR-0126,ENG-007,WELL-003,2024-05-21,6394,6744,350,10.2,201,0
DDR-0127,ENG-025,WELL-005,2024-06-01,3046,3237,191,15.4,108,1
DDR-0128,ENG-018,WELL-009,2024-02-14,4801,5189,388,15.4,106,0
DDR-0129,ENG-008,WELL-019,2024-03-23,3258,3397,139,10.6,106,0
DDR-0130,ENG-017,WELL-004,2024-01-17,10802,11081,279,14.7,155,0
DDR-0131,ENG-015,WELL-017,2024-02-26,13077,13149,72,14.3,206,0
DDR-0132,ENG-017,WELL-010,2024-04-27,13540,13605,65,9.0,151,0
DDR-0133,ENG-014,WELL-004,2024-05-05,14671,14948,277,9.1,100,0
DDR-0134,ENG-005,WELL-003,2024-02-02,7505,7874,369,13.6,160,0
DDR-0135,ENG-013,WELL-020,2024-05-15,7831,8113,282,12.5,145,0
DDR-0136,ENG-023,WELL-004,2024-06-16,13664,13996,332,14.3,117,0
DDR-0137,ENG-008,WELL-014,2024-03-27,16556,16838,282,11.7,183,0
DDR-0138,ENG-014,WELL-011,2024-06-19,7176,7417,241,16.1,177,0
DDR-0139,ENG-003,WELL-003,2024-01-22,4527,4798,271,9.3,247,0
DDR-0140,ENG-018,WELL-002,2024-05-30,12201,12538,337,11.1,105,0
DDR-0141,ENG-022,WELL-014,2024-01-14,7712,8069,357,11.0,103,0
DDR-0142,ENG-007,WELL-005,2024-06-17,10900,11064,164,15.3,134,0
DDR-0143,ENG-012,WELL-004,2024-03-12,12406,12571,165,15.0,95,1
DDR-0144,ENG-020,WELL-020,2024-06-21,13529,13864,335,8.7,208,0
DDR-0145,ENG-023,WELL-009,2024-01-08,5955,6144,189,14.1,129,0
DDR-0146,ENG-012,WELL-001,2024-02-16,17251,17374,123,13.0,85,0
DDR-0147,ENG-024,WELL-001,2024-01-24,15224,15545,321,10.2,143,0
DDR-0148,ENG-006,WELL-012,2024-03-20,14822,15038,216,14.7,162,0
DDR-0149,ENG-002,WELL-005,2024-02-10,15360,15726,366,8.9,100,0
