survey_id,engineer_id,date,rotation_fatigue_score,admin_burden_score,isolation_score,overtime_hours
FW-001,ENG-001,2024-05-24,6.9,5.7,3.6,9.0
FW-002,ENG-002,2024-04-20,3.4,3.4,2.9,9.0
FW-003,ENG-003,2024-05-22,8.7,9.0,7.1,16.7
FW-004,ENG-004,2024-06-22,5.4,5.0,3.4,0.3
FW-005,ENG-005,2024-01-27,4.2,6.7,2.3,10.0
FW-006,ENG-006,2024-02-06,4.4,4.4,5.1,6.3
FW-007,ENG-007,2024-03-30,4.9,4.8,4.8,3.8
FW-008,ENG-008,2024-03-17,3.2,5.8,2.1,4.1
FW-009,ENG-009,2024-01-28,5.7,3.7,5.9,2.9
FW-010,ENG-010,2024-02-14,5.2,4.3,3.7,5.5
FW-011,ENG-011,2024-04-13,5.5,3.7,4.6,4.7
FW-012,ENG-012,2024-06-06,3.8,2.7,2.9,0.0
FW-013,ENG-013,2024-02-24,3.8,6.0,5.2,0.8
FW-014,ENG-014,2024-01-27,6.2,5.1,3.5,2.4
FW-015,ENG-015,2024-01-30,4.0,6.5,4.1,7.7
FW-016,ENG-016,2024-06-01,4.6,4.6,2.5,4.2
FW-017,ENG-017,2024-04-27,5.5,6.3,4.8,3.6
FW-018,ENG-018,2024-06-06,6.2,8.8,4.6,10.4
FW-019,ENG-019,2024-01-30,3.7,5.8,4.0,5.0
FW-020,ENG-020,2024-02-05,5.3,4.7,3.9,6.4
FW-021,ENG-021,2024-06-14,6.7,3.7,2.7,3.5
FW-022,ENG-022,2024-02-17,4.3,4.8,2.2,4.3
FW-023,ENG-023,2024-01-03,4.9,3.8,3.5,6.7
FW-024,ENG-024,2024-06-16,5.0,5.7,3.7,10.1
FW-025,ENG-025,2024-05-05,3.7,5.3,5.2,2.6
