inspection_id,engineer_id,facility_id,timestamp,type,findings_count,critical_findings,doc_time_min
INSP-0001,ENG-015,FAC-004,2024-01-06T05:05:00Z,routine,2,1,68
INSP-0002,ENG-021,FAC-008,2024-01-25T02:42:23Z,environmental,4,1,52
INSP-0003,ENG-016,FAC-004,2024-01-06T12:33:07Z,routine,4,1,38
INSP-0004,ENG-020,FAC-006,2024-04-22T19:57:45Z,regulatory,6,1,90
INSP-0005,ENG-023,FAC-002,2024-03-13T11:14:54Z,incident_follow_up,0,1,50
INSP-0006,ENG-019,FAC-001,2024-01-29T09:02:54Z,management_walkthrough,7,2,47
INSP-0007,ENG-012,FAC-003,2024-01-11T06:28:38Z,management_walkthrough,5,1,75
INSP-0008,ENG-002,FAC-005,2024-02-26T15:15:11Z,incident_follow_up,1,2,54
INSP-0009,ENG-025,FAC-003,2024-05-28T11:42:38Z,routine,2,2,71
INSP-0010,ENG-011,FAC-005,2024-02-22T17:05:25Z,environmental,5,0,98
INSP-0011,ENG-019,FAC-006,2024-06-08T20:55:30Z,pre-job,0,0,96
INSP-0012,ENG-010,FAC-006,2024-05-31T05:30:27Z,regulatory,6,1,50
INSP-0013,ENG-004,FAC-004,2024-01-31T00:16:41Z,incident_follow_up,3,0,97
INSP-0014,ENG-018,FAC-002,2024-03-22T00:58:28Z,regulatory,6,1,96
INSP-0015,ENG-001,FAC-008,2024-03-08T14:46:32Z,management_walkthrough,5,0,86
INSP-0016,ENG-020,FAC-006,2024-02-03T10:32:36Z,environmental,4,0,45
INSP-0017,ENG-008,FAC-003,2024-06-15T09:02:53Z,environmental,2,2,59
INSP-0018,ENG-010,FAC-003,2024-02-10T17:55:47Z,pre-job,1,1,44
INSP-0019,ENG-003,FAC-001,2024-05-30T10:19:40Z,regulatory,6,0,55
INSP-0020,ENG-004,FAC-001,2024-06-02T23:54:18Z,environmental,8,2,37
INSP-0021,ENG-016,FAC-002,2024-06-25T10:03:12Z,management_walkthrough,0,0,68
INSP-0022,ENG-022,FAC-001,2024-05-26T12:27:32Z,routine,1,2,56
INSP-0023,ENG-019,FAC-004,2024-02-05T21:08:44Z,environmental,5,0,41
INSP-0024,ENG-005,FAC-005,2024-04-22T13:50:13Z,management_walkthrough,5,0,94
INSP-0025,ENG-025,FAC-004,2024-04-08T01:02:51Z,incident_follow_up,1,0,31
INSP-0026,ENG-017,FAC-004,2024-05-18T23:55:26Z,pre-job,4,0,98
INSP-0027,ENG-001,FAC-002,2024-06-28T11:14:01Z,pre-job,8,2,90
INSP-0028,ENG-012,FAC-003,2024-03-26T08:59:28Z,environmental,1,0,75
INSP-0029,ENG-013,FAC-007,2024-02-11T14:35:21Z,incident_follow_up,3,1,44
INSP-0030,ENG-025,FAC-006,2024-01-25T00:05:22Z,regulatory,1,2,47
INSP-0031,ENG-016,FAC-006,2024-05-16T20:17:02Z,management_walkthrough,8,2,35
INSP-0032,ENG-003,FAC-006,2024-04-05T20:52:06Z,routine,6,1,88
INSP-0033,ENG-020,FAC-005,2024-05-13T09:52:08Z,regulatory,3,2,82
INSP-0034,ENG-010,FAC-007,2024-02-06T15:48:06Z,routine,7,2,77
INSP-0035,ENG-006,FAC-001,2024-05-10T21:48:29Z,regulatory,1,1,86
INSP-0036,ENG-017,FAC-002,2024-01-24T03:35:43Z,pre-job,6,1,43
INSP-0037,ENG-024,FAC-003,2024-01-13T13:34:20Z,management_walkthrough,3,1,55
INSP-0038,ENG-020,FAC-007,2024-01-24T20:06:47Z,pre-job,6,2,93
INSP-0039,ENG-009,FAC-005,2024-05-26T20:37:37Z,environmental,6,1,90
INSP-0040,ENG-022,FAC-007,2024-04-04T02:05:12Z,incident_follow_up,4,0,88
INSP-0041,ENG-004,FAC-002,2024-02-18T16:17:57Z,regulatory,7,0,47
INSP-0042,ENG-001,FAC-002,2024-05-23T06:23:22Z,routine,1,1,33
INSP-0043,ENG-006,FAC-007,2024-04-27T09:33:55Z,environmental,5,0,68
INSP-0044,ENG-020,FAC-002,2024-05-27T14:39:20Z,routine,8,1,89
INSP-0045,ENG-007,FAC-005,2024-05-08T13:34:41Z,regulatory,7,2,63
INSP-0046,ENG-018,FAC-006,2024-06-06T04:27:27Z,incident_follow_up,13,1,84
INSP-0047,ENG-014,FAC-002,2024-03-15T11:50:41Z,regulatory,5,1,86
INSP-0048,ENG-015,FAC-001,2024-01-07T09:08:15Z,pre-job,8,2,68
INSP-0049,ENG-023,FAC-003,2024-04-05T10:27:39Z,regulatory,2,1,79
INSP-0050,ENG-016,FAC-002,2024-04-20T11:03:26Z,environmental,7,2,100
INSP-0051,ENG-022,FAC-008,2024-04-02T09:54:22Z,incident_follow_up,2,2,37
INSP-0052,ENG-013,FAC-005,2024-04-06T01:25:39Z,incident_follow_up,6,2,75
INSP-0053,ENG-025,FAC-005,2024-03-03T05:33:28Z,routine,0,2,35
INSP-0054,ENG-005,FAC-006,2024-03-08T17:53:01Z,environmental,0,2,73
INSP-0055,ENG-013,FAC-002,2024-03-24T03:18:54Z,management_walkthrough,5,1,74
INSP-0056,ENG-002,FAC-004,2024-02-18T01:57:52Z,pre-job,4,2,40
INSP-0057,ENG-023,FAC-002,2024-06-17T17:33:13Z,management_walkthrough,1,1,51
INSP-0058,ENG-001,FAC-006,2024-01-08T06:11:32Z,regulatory,6,2,95
INSP-0059,ENG-014,FAC-005,2024-01-04T23:04:53Z,environmental,7,2,32
INSP-0060,ENG-011,FAC-007,2024-04-20T18:02:24Z,regulatory,5,2,42
INSP-0061,ENG-016,FAC-002,2024-05-14T03:39:33Z,environmental,3,1,93
INSP-0062,ENG-017,FAC-006,2024-02-02T08:32:20Z,incident_follow_up,4,1,85
INSP-0063,ENG-007,FAC-008,2024-05-03T09:23:04Z,routine,8,0,66
INSP-0064,ENG-009,FAC-001,2024-02-27T17:36:46Z,incident_follow_up,6,0,41
INSP-0065,ENG-023,FAC-002,2024-04-24T22:17:21Z,management_walkthrough,4,0,97
INSP-0066,ENG-016,FAC-007,2024-02-10T17:27:19Z,management_walkthrough,1,2,68
INSP-0067,ENG-017,FAC-005,2024-03-25T01:30:32Z,environmental,8,1,55
INSP-0068,ENG-014,FAC-007,2024-02-18T18:58:43Z,incident_follow_up,8,1,100
INSP-0069,ENG-006,FAC-001,2024-05-01T21:57:53Z,environmental,8,0,93
INSP-0070,ENG-007,FAC-008,2024-02-22T00:40:19Z,environmental,8,2,85
INSP-0071,ENG-019,FAC-001,2024-04-11T09:57:09Z,pre-job,5,1,48
INSP-0072,ENG-008,FAC-003,2024-05-24T22:37:56Z,environmental,4,1,82
INSP-0073,ENG-011,FAC-002,2024-05-03T02:18:58Z,pre-job,6,1,66
INSP-0074,ENG-021,FAC-003,2024-02-19T19:07:40Z,environmental,3,1,60
INSP-0075,ENG-004,FAC-003,2024-02-07T06:23:36Z,routine,3,1,89
INSP-0076,ENG-016,FAC-007,2024-03-22T22:45:06Z,environmental,0,0,50
INSP-0077,ENG-009,FAC-003,2024-01-06T15:48:39Z,management_walkthrough,4,2,100
INSP-0078,ENG-006,FAC-001,2024-05-20T06:58:22Z,regulatory,0,0,40
INSP-0079,ENG-011,FAC-005,2024-06-17T09:18:48Z,routine,6,1,41
INSP-0080,ENG-013,FAC-003,2024-02-15T20:01:53Z,routine,8,0,96
INSP-0081,ENG-022,FAC-005,2024-04-06T09:37:47Z,routine,3,2,45
INSP-0082,ENG-025,FAC-006,2024-03-04T22:35:00Z,incident_follow_up,6,2,60
INSP-0083,ENG-014,FAC-004,2024-01-29T00:23:01Z,routine,2,0,65
INSP-0084,ENG-015,FAC-007,2024-02-19T09:09:05Z,incident_follow_up,0,1,98
INSP-0085,ENG-012,FAC-002,2024-03-02T10:57:00Z,incident_follow_up,6,1,61
INSP-0086,ENG-009,FAC-003,2024-03-11T11:41:36Z,regulatory,5,1,32
INSP-0087,ENG-021,FAC-001,2024-06-12T09:32:53Z,environmental,0,2,60
INSP-0088,ENG-009,FAC-007,2024-03-01T01:17:44Z,environmental,5,2,45
INSP-0089,ENG-018,FAC-004,2024-06-15T12:55:31Z,regulatory,11,1,130
INSP-0090,ENG-009,FAC-005,2024-01-18T12:35:49Z,pre-job,4,0,50
INSP-0091,ENG-015,FAC-006,2024-06-19T18:36:51Z,environmental,6,0,65
INSP-0092,ENG-003,FAC-008,2024-04-01T11:26:40Z,environmental,6,1,84
INSP-0093,ENG-004,FAC-003,2024-05-15T15:09:46Z,management_walkthrough,8,0,75
INSP-0094,ENG-014,FAC-006,2024-03-29T00:21:10Z,environmental,0,0,53
INSP-0095,ENG-021,FAC-008,2024-06-02T14:25:01Z,environmental,2,0,81
INSP-0096,ENG-007,FAC-005,2024-03-01T22:02:58Z,incident_follow_up,1,0,50
INSP-0097,ENG-008,FAC-003,2024-06-13T11:07:18Z,incident_follow_up,6,1,87
INSP-0098,ENG-016,FAC-003,2024-02-20T14:51:22Z,pre-job,5,1,55
INSP-0099,ENG-003,FAC-007,2024-03-12T09:08:17Z,pre-job,6,1,58
INSP-0100,ENG-001,FAC-001,2024-06-28T06:00:55Z,incident_follow_up,3,0,89
