ptw_id,engineer_id,facility_id,date,work_type,hazard_level,signatories_required,signatories_obtained,doc_time_min
PTW-0001,ENG-011,FAC-005,2024-05-11,diving,critical,4,1,49
PTW-0002,ENG-010,FAC-006,2024-01-13,lifting_operations,high,2,2,80
PTW-0003,ENG-013,FAC-008,2024-04-08,lifting_operations,medium,5,4,72
PTW-0004,ENG-017,FAC-005,2024-01-22,diving,low,5,5,48
PTW-0005,ENG-018,FAC-005,2024-03-23,confined_space,low,4,3,64
PTW-0006,ENG-015,FAC-007,2024-02-12,radiography,high,5,1,70
PTW-0007,ENG-020,FAC-007,2024-03-11,hot_work,low,5,3,90
PTW-0008,ENG-024,FAC-003,2024-01-08,working_at_heights,critical,2,1,33
PTW-0009,ENG-008,FAC-006,2024-04-02,diving,low,3,3,82
PTW-0010,ENG-012,FAC-006,2024-04-23,confined_space,medium,4,4,65
PTW-0011,ENG-021,FAC-005,2024-03-04,confined_space,low,3,2,74
PTW-0012,ENG-018,FAC-002,2024-03-08,excavation,critical,3,3,61
PTW-0013,ENG-023,FAC-008,2024-02-21,confined_space,medium,2,2,47
PTW-0014,ENG-023,FAC-008,2024-01-23,lifting_operations,high,2,2,63
PTW-0015,ENG-006,FAC-003,2024-04-02,electrical_isolation,low,3,1,55
PTW-0016,ENG-016,FAC-001,2024-04-02,lifting_operations,critical,3,3,36
PTW-0017,ENG-003,FAC-005,2024-04-11,radiography,critical,5,5,34
PTW-0018,ENG-005,FAC-006,2024-06-13,confined_space,critical,5,5,69
PTW-0019,ENG-005,FAC-003,2024-02-03,diving,low,2,1,63
PTW-0020,ENG-006,FAC-003,2024-03-23,electrical_isolation,high,4,1,57
PTW-0021,ENG-007,FAC-005,2024-02-02,excavation,low,3,3,44
PTW-0022,ENG-006,FAC-006,2024-05-24,hot_work,low,2,1,58
PTW-0023,ENG-021,FAC-004,2024-05-26,diving,low,5,5,62
PTW-0024,ENG-021,FAC-005,2024-05-03,electrical_isolation,critical,4,4,34
PTW-0025,ENG-023,FAC-001,2024-02-10,radiography,critical,5,4,51
PTW-0026,ENG-011,FAC-003,2024-03-21,lifting_operations,high,5,2,72
PTW-0027,ENG-017,FAC-002,2024-03-22,electrical_isolation,critical,2,2,82
PTW-0028,ENG-008,FAC-003,2024-01-25,hot_work,high,5,5,78
PTW-0029,ENG-008,FAC-003,2024-03-24,lifting_operations,medium,3,2,90
PTW-0030,ENG-015,FAC-008,2024-03-19,radiography,low,2,2,89
PTW-0031,ENG-015,FAC-004,2024-02-25,lifting_operations,low,2,2,88
PTW-0032,ENG-020,FAC-008,2024-03-14,hot_work,low,5,2,58
PTW-0033,ENG-024,FAC-006,2024-04-13,lifting_operations,low,5,1,49
PTW-0034,ENG-012,FAC-005,2024-01-19,diving,critical,4,1,41
PTW-0035,ENG-004,FAC-007,2024-04-05,lifting_operations,high,3,1,90
PTW-0036,ENG-013,FAC-001,2024-01-12,hot_work,medium,4,4,83
PTW-0037,ENG-005,FAC-003,2024-03-24,lifting_operations,medium,5,5,63
PTW-0038,ENG-019,FAC-006,2024-05-09,radiography,high,5,1,72
PTW-0039,ENG-011,FAC-002,2024-04-16,excavation,low,5,3,54
PTW-0040,ENG-024,FAC-001,2024-05-29,radiography,medium,5,2,56
PTW-0041,ENG-002,FAC-002,2024-02-18,hot_work,critical,4,4,44
PTW-0042,ENG-014,FAC-004,2024-04-15,radiography,low,3,3,51
PTW-0043,ENG-018,FAC-006,2024-06-18,radiography,critical,4,2,83
PTW-0044,ENG-018,FAC-006,2024-05-19,lifting_operations,high,5,2,56
PTW-0045,ENG-009,FAC-005,2024-02-27,excavation,high,3,3,87
PTW-0046,ENG-011,FAC-008,2024-03-30,excavation,high,2,2,75
PTW-0047,ENG-012,FAC-003,2024-03-15,hot_work,high,2,2,81
PTW-0048,ENG-021,FAC-005,2024-05-02,electrical_isolation,medium,4,3,42
PTW-0049,ENG-004,FAC-004,2024-03-03,hot_work,medium,3,1,37
PTW-0050,ENG-014,FAC-006,2024-04-30,confined_space,medium,2,1,77
PTW-0051,ENG-021,FAC-008,2024-05-02,electrical_isolation,high,4,3,32
PTW-0052,ENG-025,FAC-002,2024-06-15,electrical_isolation,low,3,2,47
PTW-0053,ENG-002,FAC-007,2024-05-06,working_at_heights,high,2,1,63
PTW-0054,ENG-019,FAC-002,2024-03-26,excavation,critical,5,2,89
PTW-0055,ENG-015,FAC-005,2024-02-19,confined_space,high,3,3,83
PTW-0056,ENG-021,FAC-005,2024-02-17,hot_work,high,4,2,47
PTW-0057,ENG-020,FAC-007,2024-04-19,lifting_operations,low,5,1,48
PTW-0058,ENG-005,FAC-008,2024-03-23,electrical_isolation,low,4,4,55
PTW-0059,ENG-015,FAC-005,2024-03-25,excavation,low,4,3,55
PTW-0060,ENG-002,FAC-002,2024-04-29,excavation,medium,5,5,64
PTW-0061,ENG-023,FAC-002,2024-06-12,excavation,high,3,1,42
PTW-0062,ENG-016,FAC-003,2024-04-26,lifting_operations,critical,5,5,52
PTW-0063,ENG-025,FAC-004,2024-06-23,confined_space,critical,4,1,39
PTW-0064,ENG-002,FAC-004,2024-05-26,working_at_heights,medium,4,4,39
